SA2_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
501011001,0,0,0,3,3,0,10,0,0,0,4,0,0,3,0,14,3,15,10,0,35,5,5,0,11,9,0,31,6,0,0,27,6,0,45,12,0,4,28,5,0,48,40,0,0,56,3,0,106,57,0,0,62,6,0,117,25,0,0,6,0,0,36,5,0,0,9,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,17,14,3,38,164,21,10,250,46,8,494
501011003,0,0,0,4,0,0,9,0,0,0,5,0,0,8,0,3,0,11,10,0,27,9,4,0,11,8,0,36,17,5,0,24,4,0,49,3,0,0,28,8,0,39,16,0,0,29,9,0,57,81,0,0,86,4,0,170,131,0,0,57,4,0,191,63,0,0,20,0,0,81,18,0,0,5,0,0,26,3,0,0,4,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,10,5,0,0,28,9,0,45,348,23,4,309,68,4,759
501011004,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,12,3,0,38,0,15,3,22,6,0,46,12,5,0,18,0,0,27,17,13,0,29,0,0,53,45,16,0,66,6,0,128,194,5,0,148,4,0,347,96,0,0,55,4,0,159,12,0,0,23,0,0,34,3,0,0,4,13,0,18,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,13,7,3,37,391,76,7,381,50,3,903
501011293,0,5,0,6,0,0,9,0,4,0,0,0,0,4,0,58,5,4,0,0,60,5,40,15,7,7,0,75,0,13,0,13,0,0,31,8,24,0,9,7,0,51,92,15,0,57,5,0,175,262,9,0,85,4,0,363,113,0,0,20,0,0,131,19,0,0,6,0,0,28,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,5,4,0,27,514,168,25,223,33,5,970
501011294,5,9,0,5,0,0,18,0,11,0,0,0,0,12,0,110,10,9,11,0,148,5,54,19,18,10,0,103,7,19,5,30,20,0,73,18,34,15,40,11,0,121,127,26,5,117,32,0,309,424,9,0,202,27,0,660,202,0,0,47,3,5,252,31,0,0,8,0,0,39,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,17,3,8,12,0,57,835,290,54,487,119,11,1796
501021005,0,3,0,3,0,0,4,0,8,4,0,0,0,12,6,36,5,11,0,0,50,5,23,0,7,9,0,40,11,9,3,21,3,0,51,19,17,6,29,6,0,67,174,10,6,120,9,0,321,387,5,0,122,16,0,531,86,0,0,16,0,0,100,9,0,0,6,0,0,14,4,0,0,3,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,11,7,6,35,715,100,18,344,50,7,1236
501021007,0,5,0,0,0,0,5,0,0,0,0,4,0,0,0,13,0,4,0,0,15,0,14,3,10,5,0,31,4,5,4,5,0,0,17,7,3,0,15,0,0,34,29,0,0,41,0,0,78,68,0,0,37,0,0,103,10,0,0,3,0,0,20,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,8,4,0,18,124,41,9,128,16,0,326
501021008,0,10,0,0,0,0,13,0,21,0,4,0,0,29,3,82,7,11,0,0,104,4,41,21,16,4,0,80,13,21,11,24,0,0,64,117,22,7,60,10,3,216,234,6,0,117,5,0,365,100,0,15,31,15,3,165,14,0,0,3,3,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,14,4,4,41,493,211,58,279,39,10,1098
501021009,0,0,0,7,0,0,3,0,9,0,0,0,0,3,3,45,0,14,0,0,67,18,20,5,27,5,0,67,25,20,0,40,4,0,87,95,22,0,60,7,0,186,82,6,0,46,14,0,146,32,0,0,18,4,0,56,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,6,4,37,257,128,12,227,37,3,665
501021010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,13,0,0,4,10,9,0,20,0,0,0,6,7,0,16,0,0,0,17,3,0,24,17,0,0,19,4,0,32,16,0,0,10,0,0,25,7,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,12,38,3,12,80,24,0,162
