SA2_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
501011001,4,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,0,27,0,0,0,0,0,0,0,3,0,12,0,22,3,5,0,3,0,0,0,10,4,79,0,98,4,9,0,0,0,0,0,11,3,43,0,78,3,9,0,8,0,6,0,8,0,38,0,77,11,18,0,12,0,10,0,7,0,37,0,97,6,12,0,14,0,6,0,0,0,13,0,59,3,5,0,21,0,8,0,6,0,13,0,60,18,10,0,31,11,14,0,8,6,9,0,95,11,3,0,25,3,0,3,5,0,3,0,55,10,4,0,7,5,5,0,0,0,5,0,39,9,0,0,9,0,0,0,0,0,0,0,15,12,3,0,9,0,5,0,0
501011003,0,0,0,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,0,0,11,0,13,0,3,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,3,0,9,0,8,0,4,0,0,0,5,0,24,0,38,0,0,0,0,0,0,0,8,0,11,0,22,0,0,0,0,0,0,0,6,0,78,0,89,3,5,0,5,0,0,0,20,4,50,0,85,5,20,0,10,0,4,3,22,0,84,3,146,5,21,3,19,0,14,0,15,0,59,0,149,0,8,0,18,3,9,3,7,0,23,0,69,14,13,3,18,4,6,3,13,0,34,0,105,42,22,7,51,0,18,3,12,4,29,0,180,33,0,0,26,4,9,3,6,0,20,0,112,21,10,0,24,6,10,5,4,4,15,0,81,22,0,3,19,0,3,6,0,0,4,0,51,50,18,5,31,7,16,3,7
501011004,0,0,0,0,0,0,0,0,0,9,0,8,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,10,0,15,0,27,0,0,0,0,0,0,0,6,0,11,0,18,0,0,0,4,0,0,0,3,0,38,0,52,0,3,0,0,0,4,0,13,0,31,0,57,0,11,0,5,0,8,3,12,0,39,0,74,5,13,0,30,3,4,6,10,0,30,0,99,7,6,0,18,0,6,0,5,0,5,0,46,16,5,0,21,3,10,0,8,0,16,0,82,48,15,0,40,8,7,4,4,0,18,0,144,39,5,0,29,6,9,0,4,0,3,0,101,25,4,0,18,0,5,0,0,3,3,0,57,19,0,0,5,0,0,0,0,0,0,0,33,25,7,0,12,0,6,3,4
501011293,0,0,0,0,0,0,0,0,0,21,0,27,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,4,0,20,0,21,0,0,0,0,0,0,0,4,0,21,0,29,0,5,0,0,0,7,0,13,0,129,0,157,4,9,0,0,0,10,0,16,3,71,0,106,0,4,0,5,0,3,0,11,3,83,0,116,8,10,0,15,0,9,0,14,0,75,0,142,4,10,0,17,0,9,0,6,0,12,0,53,13,6,0,16,0,13,0,9,0,16,0,69,41,7,0,46,7,9,4,6,0,24,0,142,39,9,4,24,3,3,0,0,0,4,0,94,20,3,0,14,0,3,5,4,0,9,0,55,13,0,0,6,0,4,0,0,0,4,0,29,26,3,0,25,4,9,0,0
501011294,0,0,0,0,0,0,0,0,0,25,0,31,0,0,0,0,0,0,0,3,0,15,0,22,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,10,0,73,0,83,0,3,0,0,0,0,0,13,0,32,0,54,0,3,0,0,0,3,0,27,0,276,4,318,0,6,0,0,0,7,0,22,0,146,3,192,5,18,3,10,0,19,0,36,4,162,3,255,9,29,3,37,0,16,0,23,4,101,0,219,9,14,5,32,3,22,3,12,0,40,0,132,23,12,0,36,0,10,5,9,0,47,0,131,68,14,5,64,5,34,8,5,3,43,3,253,51,8,0,72,3,14,0,3,4,13,0,166,49,6,0,33,8,4,4,0,0,13,0,114,29,0,0,12,4,3,5,6,0,4,0,65,50,4,0,24,0,9,5,5
501021005,0,0,0,0,0,0,0,0,0,37,0,41,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,5,0,13,0,17,0,0,0,0,0,0,0,5,0,13,0,21,0,0,0,0,0,0,0,9,0,46,0,54,0,0,0,0,0,0,0,17,0,19,0,39,0,9,0,0,0,3,0,17,0,198,0,232,3,6,0,0,0,6,0,18,0,120,0,149,0,11,0,9,0,20,0,20,4,117,0,181,5,6,0,15,5,16,0,20,0,92,0,169,12,7,0,8,0,15,0,15,3,28,0,89,6,3,0,27,0,36,6,4,5,30,0,118,80,12,4,59,6,54,6,10,5,31,3,257,82,9,3,78,10,7,0,4,3,9,0,203,68,3,7,56,6,12,7,5,0,10,0,164,47,0,3,23,0,3,4,0,0,0,0,85,82,3,0,23,4,18,5,4
501021007,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,0,4,0,13,0,27,0,0,0,0,0,0,0,3,0,11,0,19,0,0,0,0,0,3,0,8,5,72,0,87,0,4,0,0,0,5,0,10,0,24,4,42,0,3,0,3,0,8,0,13,0,26,0,58,7,3,3,15,0,10,0,9,0,32,0,74,0,0,3,13,0,4,0,0,0,4,0,38,8,3,0,12,0,9,0,4,0,6,0,39,22,4,0,23,0,10,4,5,3,11,0,87,19,3,0,14,0,5,0,0,0,3,0,46,22,0,5,9,6,8,0,5,0,0,0,46,13,0,0,5,0,0,0,0,0,0,0,17,22,4,0,8,0,3,0,3
501021008,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,3,0,3,0,6,0,17,0,0,0,0,0,0,0,4,0,81,0,91,0,0,0,0,0,0,0,7,0,43,0,52,4,0,0,6,0,0,0,10,4,33,0,65,8,3,0,8,0,3,3,10,0,22,0,52,5,3,0,17,0,4,0,7,0,4,0,41,7,3,0,11,3,3,0,0,0,3,0,35,32,3,0,25,5,14,0,0,0,4,0,96,26,0,0,21,0,0,0,0,0,3,0,50,15,0,0,6,0,0,0,0,0,3,0,31,11,0,0,0,0,0,0,0,0,0,0,9,10,0,0,4,3,3,0,0
501021009,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,9,0,10,0,0,0,0,0,0,0,8,5,33,0,46,0,0,0,0,0,0,0,0,0,23,0,31,0,0,0,0,0,0,0,14,0,160,3,183,0,0,0,0,0,3,0,7,0,56,0,74,0,6,0,3,0,11,0,14,0,40,0,81,0,6,0,5,0,13,0,23,4,43,0,99,5,3,0,10,0,10,0,7,0,10,0,46,5,0,0,17,0,13,0,5,5,5,0,61,18,7,5,22,0,25,0,4,0,12,0,88,17,0,0,21,0,10,0,3,3,4,0,68,29,0,0,12,4,13,0,0,0,7,0,64,14,0,0,7,0,0,0,0,0,0,0,25,18,0,0,11,0,10,0,0
501021010,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,4,0,4,0,9,0,6,0,0,0,0,0,8,0,39,0,48,0,0,0,0,0,3,0,4,0,18,0,31,0,5,0,4,0,5,0,3,0,18,0,33,6,0,0,0,0,5,0,9,0,14,0,38,0,0,0,3,0,4,0,0,0,4,0,15,0,0,0,6,0,3,0,0,0,0,0,15,18,3,0,10,0,8,0,3,0,6,0,53,19,0,0,6,4,5,0,0,0,0,0,34,15,0,0,8,0,4,0,0,0,6,0,34,15,0,0,0,0,0,0,0,0,0,0,17,15,3,0,14,0,7,0,0
