SA2_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
501011001,19,32,19,9,7,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,43,33,17,20,5,0,132,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,23,44,35,17,20,5,0,139,3,10,6,5,3,0,0,25,0,0,0,0,0,0,0,9,23,59,40,20,19,0,0,169
501011003,9,39,38,26,31,3,0,145,0,0,5,0,0,0,0,7,0,3,0,0,0,0,0,6,13,65,61,44,63,5,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,65,62,45,63,5,0,252,4,18,9,7,7,0,0,53,0,0,0,0,0,0,0,6,21,85,77,54,69,5,0,310
501011004,20,57,57,26,33,4,0,191,0,4,11,3,4,0,0,20,0,3,0,3,0,0,0,11,33,76,88,59,70,4,0,333,0,5,0,0,0,0,0,9,0,3,0,0,3,0,0,3,0,3,3,0,3,0,0,11,33,78,87,62,75,4,0,338,17,20,10,3,7,3,0,61,0,0,0,0,0,0,0,3,48,101,104,69,80,4,0,401
501011293,12,44,41,19,25,0,0,142,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,85,61,37,59,4,0,267,0,0,3,0,0,0,0,4,0,7,0,0,0,0,0,6,0,4,3,0,0,0,0,11,20,87,63,37,62,4,0,275,38,40,20,15,16,0,0,133,0,3,0,0,0,0,0,9,59,130,88,56,78,4,4,416
501011294,43,109,88,69,67,7,0,386,3,7,0,3,0,0,0,25,0,0,0,0,0,0,0,0,62,153,148,132,144,11,3,656,0,4,3,0,0,0,0,7,0,0,0,3,0,0,0,13,0,5,8,5,3,0,0,18,66,158,157,139,142,11,3,674,65,56,23,24,22,0,0,194,0,6,0,0,0,0,0,6,124,222,181,166,164,10,0,871
501021005,48,76,53,62,56,4,0,308,10,3,13,3,0,0,0,25,3,0,0,0,4,0,0,12,82,146,114,102,139,13,0,599,0,0,5,5,0,0,0,16,4,17,5,4,0,0,0,32,5,14,16,6,0,0,0,49,84,161,125,109,148,13,0,651,92,92,40,18,20,5,0,276,4,0,0,0,0,0,0,4,178,253,170,131,169,19,0,931
501021007,9,27,24,21,9,3,0,88,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,7,11,39,39,27,19,9,0,147,0,3,0,10,4,0,0,15,0,0,0,0,0,0,0,0,0,3,3,9,4,0,0,20,11,43,45,36,23,7,0,167,22,24,10,13,11,0,0,81,0,0,0,0,0,0,0,0,39,70,51,50,31,5,0,247
501021008,14,21,24,18,14,7,0,104,5,6,6,0,0,0,0,14,4,0,0,0,0,0,0,4,31,56,41,30,39,5,0,206,0,0,0,0,0,0,0,0,7,5,3,0,0,0,0,17,8,5,10,0,0,0,0,19,35,57,47,34,39,5,0,221,72,61,42,27,22,3,3,226,0,0,0,0,0,0,0,6,111,115,88,58,64,8,3,452
501021009,10,30,22,16,19,0,0,99,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,7,16,46,33,31,34,5,0,174,0,11,4,0,0,0,0,18,0,6,4,3,7,0,0,20,0,9,7,8,9,0,0,33,23,56,42,39,44,5,0,209,63,66,30,24,23,0,3,211,0,0,0,0,0,0,0,0,85,130,72,65,63,8,3,423
501021010,5,13,9,6,6,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,15,4,14,0,0,56,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,7,20,15,8,14,0,0,61,8,12,4,5,4,0,0,28,0,0,0,0,0,0,0,0,16,26,24,12,16,0,0,89
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,23,54,36,29,36,8,0,186,8,0,0,0,0,0,0,12,0,3,0,0,0,0,0,3,61,99,74,59,74,10,3,376,0,10,5,4,0,0,0,17,0,4,3,0,3,0,0,11,4,8,7,3,0,0,0,30,59,107,83,65,73,8,3,406,43,43,26,11,18,0,0,133,3,0,0,0,0,0,0,4,104,150,108,71,95,13,3,544
501021014,10,26,26,14,23,0,0,99,0,0,4,0,0,0,0,7,0,0,4,0,0,0,0,3,14,50,52,33,34,4,0,191,4,0,0,0,0,0,0,5,4,8,0,3,0,0,0,14,6,12,0,3,0,0,0,19,23,61,50,39,40,4,0,207,32,30,16,9,10,0,0,98,0,0,0,0,0,0,0,0,52,86,70,45,41,4,0,303
501021015,17,38,26,14,19,4,0,110,4,3,0,3,3,0,0,10,3,4,0,0,0,0,0,7,25,58,53,33,35,7,0,215,0,5,4,3,3,0,0,11,0,3,4,9,7,0,0,17,3,11,7,5,5,0,0,29,27,69,59,39,41,7,0,245,52,43,29,11,18,6,0,147,0,0,0,0,0,0,0,0,79,117,87,56,57,9,0,397
501021016,3,4,8,7,11,0,0,30,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8,4,17,19,11,16,3,0,78,0,5,0,0,0,0,0,8,7,4,4,0,0,0,0,11,3,4,8,0,0,0,0,21,8,21,23,12,19,3,0,93,14,13,8,8,4,0,0,50,0,0,0,0,0,0,0,3,21,35,29,26,27,5,0,143
501021251,27,62,46,34,28,0,0,194,5,3,4,7,5,0,0,22,0,0,0,0,0,0,0,7,42,96,85,81,83,4,4,400,0,3,3,0,0,0,0,10,0,0,0,4,0,0,0,11,6,9,3,4,0,0,0,24,53,108,90,87,83,4,4,427,55,57,32,20,17,3,0,178,0,0,0,0,0,0,0,7,106,164,118,106,101,9,4,605
501021252,4,0,6,0,4,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,10,7,9,15,0,0,41,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,9,0,6,6,0,0,0,0,8,4,8,12,5,15,0,0,51,6,13,5,5,4,0,0,27,0,0,0,0,0,0,0,0,4,21,19,17,16,0,0,79
501021253,20,51,35,28,33,3,0,171,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,35,97,64,61,85,9,6,352,0,0,0,0,0,0,0,6,0,11,5,0,0,0,0,20,5,11,4,0,5,0,0,27,42,104,71,62,86,9,6,374,46,38,21,16,11,0,0,126,0,0,0,0,0,0,0,0,87,139,90,83,97,9,6,501
