SA2_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
501011001,50,31,17,17,14,10,5,11,3,154,30,23,23,27,28,9,0,21,0,165,110,16,305,87,54,44,64,92,15,786,5,0,4,12,14,13,5,10,0,65,13,0,3,15,9,7,8,9,0,63,9,5,0,0,5,5,0,4,0,22,14,4,13,5,5,5,3,14,3,64,390,434,412,235,178,127,88,199,23,2089
501011003,75,92,32,39,43,42,3,29,0,355,92,49,72,66,64,43,15,24,0,417,170,59,594,139,103,60,92,145,24,1388,4,6,20,11,14,19,7,23,0,108,24,9,12,25,19,23,3,15,0,123,13,15,4,3,4,0,4,3,0,52,24,19,10,18,10,20,9,11,10,131,745,1105,817,399,387,259,154,346,66,4286
501011004,48,74,19,43,22,15,9,24,3,264,64,39,51,73,39,16,23,61,5,362,131,51,517,151,59,67,89,132,18,1220,10,5,19,13,12,9,7,13,0,92,14,7,10,25,19,17,5,12,0,116,0,7,8,0,3,5,5,3,0,35,9,3,15,17,0,3,11,12,9,93,522,975,752,456,253,224,169,362,48,3746
501011293,28,50,22,16,23,12,12,20,4,171,47,33,41,62,40,19,8,25,3,280,106,39,446,168,122,71,105,105,14,1177,8,4,3,22,9,33,9,26,0,101,16,4,5,28,11,9,7,14,0,96,3,8,5,0,0,0,0,4,0,25,8,7,6,16,11,14,9,8,10,79,343,649,561,377,280,175,150,211,42,2795
501011294,61,83,39,55,47,29,15,21,9,359,86,70,76,140,74,40,13,35,4,537,228,92,999,366,241,162,233,260,40,2616,19,7,24,34,29,40,10,47,0,215,21,8,13,48,24,13,19,27,3,175,9,6,6,5,13,6,4,3,0,56,13,13,17,22,13,22,22,29,18,158,655,1200,1236,831,554,344,329,485,83,5720
501021005,32,73,37,49,42,17,22,14,0,287,84,85,101,127,101,25,26,35,11,593,179,119,1275,423,312,152,349,230,56,3092,14,7,32,31,45,42,32,43,3,244,9,11,24,57,37,18,19,19,0,193,5,7,5,4,7,3,5,9,3,42,16,19,10,18,9,15,21,20,18,146,529,1243,1559,804,670,319,497,408,89,6126
501021007,17,15,6,17,15,0,11,7,4,91,21,20,22,34,24,9,6,7,3,155,65,33,292,124,77,30,87,91,5,791,0,0,9,9,10,11,4,13,0,53,6,0,3,10,4,7,3,12,0,51,0,0,0,0,0,0,0,0,0,3,7,6,4,14,6,11,10,6,12,67,188,349,356,222,171,65,123,151,25,1649
501021008,16,14,15,19,8,4,7,3,0,86,17,17,31,36,21,12,4,22,0,152,51,40,253,141,69,47,98,108,18,823,0,0,16,15,11,10,7,17,0,79,3,0,0,10,8,8,3,9,0,50,0,4,0,5,0,0,6,0,0,12,0,7,4,5,3,3,8,12,8,52,129,311,345,270,143,98,144,198,36,1661
501021009,7,14,11,25,12,0,4,6,0,73,15,20,27,38,21,3,19,11,0,154,65,32,549,169,110,47,189,109,28,1288,4,0,12,16,13,15,9,24,0,90,9,4,6,16,11,3,14,6,5,82,3,0,0,0,0,0,3,3,0,14,5,0,10,9,3,6,14,10,4,52,136,268,629,294,190,83,252,171,37,2061
501021010,15,13,9,7,12,0,4,0,0,71,21,19,15,19,20,3,3,4,4,96,65,10,189,54,52,20,62,54,8,503,4,0,3,9,11,9,0,9,0,42,4,0,0,4,9,4,7,0,0,28,3,0,0,5,0,0,0,0,0,10,10,6,3,5,0,0,3,8,3,34,192,241,231,114,112,39,87,84,18,1112
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,33,37,23,33,22,3,7,3,0,166,41,57,41,93,47,25,11,16,15,342,131,88,759,257,195,115,204,154,30,1937,9,0,20,20,29,33,23,28,0,160,9,7,11,27,20,16,5,14,0,117,0,0,9,6,3,3,0,9,0,27,12,12,7,12,20,10,17,16,11,107,309,722,918,513,409,237,294,262,66,3739
501021014,23,26,21,15,6,3,3,13,0,122,29,34,35,47,33,10,19,30,7,239,120,55,518,163,118,49,138,139,23,1316,12,5,12,15,23,10,10,29,0,115,13,4,6,10,11,0,4,11,0,66,0,4,11,3,0,3,4,21,0,43,19,7,5,6,6,9,8,26,11,91,323,422,649,311,238,86,209,378,58,2670
501021015,18,29,8,21,13,8,7,0,0,104,21,28,28,64,19,13,16,17,0,206,68,36,386,157,101,65,95,110,14,1031,10,0,15,14,14,11,10,19,0,98,5,6,3,15,16,13,8,9,3,74,0,4,4,0,6,0,0,9,0,26,4,5,6,6,7,0,9,10,5,61,193,377,488,322,207,127,152,215,33,2122
501021016,13,10,5,13,10,0,0,5,0,64,15,12,20,11,7,4,10,3,0,79,43,11,257,65,42,17,77,47,15,567,4,0,15,0,4,0,10,5,0,44,3,0,5,8,5,3,6,7,0,38,4,0,3,0,0,0,0,4,0,12,13,4,5,5,4,4,7,8,12,60,121,137,311,126,89,36,113,81,27,1041
