SA2_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
501011001,2439,2459,4900,142,165,313,18,13,31,14,13,29,9,4,11,3,0,5,275,285,556,5,3,8,0,3,3,0,0,0,4,0,7,322,325,652,15,11,30,4,6,14,485,518,1002,331,306,634,3249,3283,6534
501011003,4542,4559,9100,374,398,776,19,15,34,25,29,47,12,13,25,5,6,5,377,399,780,0,0,0,5,7,9,0,0,0,0,0,0,440,467,907,32,47,76,18,6,22,865,915,1781,486,420,904,5895,5898,11786
501011004,3759,3876,7632,333,340,677,33,32,58,24,18,47,19,12,35,4,9,10,305,345,652,6,3,11,5,6,11,0,0,0,3,5,5,396,421,823,93,47,139,11,19,32,833,831,1672,440,333,771,5030,5037,10072
501011293,3490,3698,7186,189,199,383,12,10,26,15,15,31,10,17,24,3,6,11,446,503,952,5,3,10,4,3,7,0,0,0,0,0,0,502,558,1056,27,23,48,21,4,28,739,787,1527,300,256,558,4526,4743,9271
501011294,7191,7989,15176,494,530,1027,19,23,41,26,24,43,21,22,51,10,9,17,753,843,1599,11,10,15,5,7,12,0,0,0,0,0,0,841,933,1780,43,50,87,27,27,51,1403,1545,2946,512,472,983,9104,10008,19109
501021005,7682,7943,15630,406,431,839,17,19,41,16,17,33,17,23,37,9,10,12,669,763,1434,13,8,22,9,6,16,5,3,7,0,0,0,747,851,1600,30,32,58,18,14,32,1212,1325,2533,505,366,866,9393,9635,19022
501021007,2133,2273,4403,68,73,138,0,5,7,3,8,6,0,0,0,0,0,0,207,224,430,3,5,3,0,5,5,0,0,0,0,0,0,218,244,462,8,4,12,6,3,13,300,325,623,198,176,371,2633,2771,5401
501021008,2235,2560,4795,73,93,168,14,8,19,9,3,12,8,8,22,3,5,10,359,396,753,5,6,8,8,7,14,0,3,3,0,0,0,412,430,842,14,15,28,12,10,21,507,547,1059,774,282,1053,3518,3391,6909
501021009,3518,3429,6945,261,272,539,4,5,9,0,5,3,10,4,10,4,5,8,229,241,469,4,0,3,3,4,5,0,0,0,0,0,0,250,264,514,16,18,36,19,13,32,546,571,1112,339,315,655,4402,4311,8715
501021010,1379,1339,2721,24,18,41,4,0,4,6,3,6,0,0,0,0,0,0,135,125,252,0,0,6,0,0,0,0,0,0,0,0,0,141,129,267,3,0,4,6,0,5,171,147,323,119,101,222,1674,1583,3259
501021011,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,0,6,3,0,3,10,0,8
501021012,4790,5013,9800,184,170,356,12,10,20,11,17,32,14,15,30,4,3,8,545,630,1177,0,0,3,4,0,4,0,0,0,0,0,0,589,688,1274,19,23,37,12,12,27,811,887,1696,383,296,678,5981,6192,12173
501021014,3798,3610,7411,175,188,362,0,4,5,10,4,13,4,9,11,3,7,6,320,346,661,0,6,8,4,0,7,0,0,0,0,0,0,339,372,713,39,45,83,10,10,21,568,612,1184,354,282,636,4716,4510,9228
501021015,2734,2920,5647,72,81,154,14,4,19,4,6,12,16,9,22,0,0,0,404,427,836,3,3,9,8,4,15,0,0,0,0,0,0,452,460,906,21,16,35,7,5,16,548,564,1113,174,181,346,3455,3657,7112
