SA2_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
504031056,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,0,10,20,35,73,71,30,16,256,6,16,16,38,76,71,30,16,269,1318,1138,1014,1061,1284,678,260,62,6807,51,70,55,52,57,31,13,6,333,1375,1218,1087,1149,1420,769,308,86,7406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,12,5,13,9,0,45,0,3,5,12,7,13,9,0,54,1195,1100,1103,1276,1369,725,326,103,7207,48,59,47,45,34,32,21,3,282,1248,1163,1153,1339,1411,770,352,109,7540,0,0,0,0,4,0,0,0,4,4,7,0,0,0,0,0,0,10,3,15,17,47,78,85,38,20,305,8,17,21,51,86,85,38,20,320,2512,2235,2114,2335,2649,1403,588,176,14016,100,122,102,97,91,55,34,12,618,2619,2377,2241,2486,2826,1542,657,198,14950
504031057,0,0,4,0,0,0,0,0,4,0,0,3,3,4,0,0,0,15,3,11,17,30,38,87,23,13,219,5,12,28,34,39,87,23,13,238,1305,1582,1646,1127,988,639,203,35,7529,57,112,99,63,58,21,10,3,420,1367,1711,1759,1221,1090,747,241,47,8185,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,9,11,4,0,0,30,0,5,7,12,11,4,0,0,34,1237,1673,1578,1219,1096,678,257,99,7837,80,189,136,63,52,29,25,15,583,1326,1867,1716,1296,1152,705,284,109,8459,0,5,4,0,0,0,0,0,10,0,4,3,3,4,0,0,0,11,6,14,26,41,45,88,27,13,247,11,22,29,44,50,88,27,13,273,2546,3253,3226,2349,2083,1317,463,134,15371,138,304,229,127,108,45,38,15,1007,2693,3581,3479,2516,2237,1453,525,159,16646
504031058,38,24,0,0,3,0,0,0,68,0,0,4,3,0,0,0,0,4,0,3,11,31,30,53,21,0,149,38,30,18,41,32,53,21,0,218,369,307,264,344,301,212,89,11,1886,32,37,22,43,32,20,3,3,197,433,373,304,421,366,282,106,13,2303,7,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,7,8,9,0,0,24,7,9,0,6,8,9,0,0,47,312,324,333,399,354,226,88,17,2050,28,23,18,34,18,5,3,0,134,346,348,354,441,382,244,92,20,2228,47,28,0,0,3,0,0,0,80,0,0,3,3,0,0,0,0,5,0,3,14,40,39,54,21,0,171,44,34,22,48,38,54,21,0,262,672,627,592,741,652,434,174,30,3935,60,59,41,80,54,27,7,3,328,782,726,653,862,747,524,201,38,4527
504031060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,11,14,25,9,8,82,0,5,12,11,14,25,9,8,82,173,81,103,235,225,119,55,15,1004,8,5,14,23,19,8,3,4,98,185,85,132,269,256,149,71,24,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,18,0,0,3,7,3,0,0,0,20,166,92,161,260,235,131,62,12,1117,13,3,13,13,11,5,4,0,68,176,97,172,279,246,142,68,17,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,18,30,16,10,95,0,5,10,15,18,30,16,10,100,338,166,262,499,456,251,117,31,2121,25,11,28,45,30,18,14,4,169,360,185,308,555,504,293,142,37,2385
504031061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,9,21,23,25,3,6,94,0,13,9,21,24,25,3,6,100,254,391,386,294,280,198,100,21,1929,13,26,27,16,12,10,7,0,101,262,421,426,325,313,238,114,30,2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,0,0,18,0,0,3,5,7,4,0,0,18,231,427,439,348,294,241,105,31,2112,3,14,14,16,18,13,6,0,88,239,436,455,369,317,253,113,35,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,8,28,26,31,8,7,113,0,13,8,28,30,31,8,7,115,488,813,823,642,573,439,205,56,4042,15,36,43,33,33,25,10,3,196,508,861,879,693,638,490,220,61,4352
504031062,0,5,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,8,0,11,14,17,38,40,16,7,142,0,15,22,21,37,40,16,7,156,684,876,981,718,568,353,164,32,4371,50,65,52,56,33,22,23,3,299,735,949,1052,790,639,420,203,36,4822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,7,0,0,30,0,0,3,10,4,7,0,0,31,591,999,945,750,646,456,195,44,4627,38,48,28,32,24,17,20,0,210,628,1046,980,790,675,485,213,44,4870,0,5,0,0,0,0,0,0,5,0,3,7,5,0,0,0,0,11,0,11,18,26,42,50,20,7,174,0,15,23,28,41,50,20,7,186,1275,1870,1931,1461,1213,808,357,75,8998,92,110,80,92,54,41,43,3,505,1365,2002,2032,1580,1316,904,415,84,9693
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,4,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,10,11,0,0,0,0,0,21
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4,0,14,32,37,25,12,122,0,3,5,14,32,37,25,12,124,322,315,316,334,333,245,142,39,2047,14,23,22,28,19,10,13,0,136,334,341,345,372,394,296,171,52,2303,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,6,8,4,6,3,27,4,4,3,6,8,4,6,3,27,311,362,320,347,382,290,162,49,2226,22,14,20,22,12,26,5,9,129,336,382,342,376,401,316,168,58,2386,0,6,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,3,0,4,5,21,34,44,28,14,147,4,9,11,21,34,44,28,14,156,635,677,640,677,725,529,299,94,4272,36,38,40,48,33,34,19,9,265,675,725,685,747,792,609,347,108,4692
504031066,0,3,0,0,0,0,0,0,12,0,5,0,5,0,0,0,0,6,0,11,20,33,57,50,21,21,212,4,16,17,39,58,50,21,21,223,658,792,675,627,582,423,212,76,4037,60,84,77,78,67,38,36,65,504,719,892,776,744,705,516,270,152,4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,12,15,4,4,6,48,3,0,6,12,16,4,4,6,49,615,764,654,701,624,478,287,161,4292,53,64,47,51,32,49,63,108,467,666,824,711,770,673,540,359,272,4807,0,3,0,0,3,0,0,0,7,0,5,0,8,0,0,0,0,7,4,11,26,44,74,58,25,18,256,5,16,30,48,72,58,25,18,274,1274,1562,1333,1326,1204,904,497,236,8334,112,143,126,135,99,89,99,175,976,1391,1716,1484,1512,1374,1047,632,426,9580
