SA2_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
501011001,129,14,148,1091,315,78,1481,3366,491,5343
501011003,125,21,143,2130,745,94,2969,5743,784,9492
501011004,124,15,139,1960,500,125,2589,4773,661,8018
501011293,171,21,184,1367,532,69,1960,5272,529,7764
501011294,641,69,715,3041,975,179,4196,10604,892,15691
501021005,178,16,200,3590,1109,223,4918,9218,771,14910
501021007,51,11,62,859,361,59,1272,2783,346,4400
501021008,163,25,190,876,371,50,1297,3573,947,5818
501021009,123,52,183,1175,607,78,1865,4753,624,7239
501021010,39,5,44,527,200,27,756,1723,201,2685
501021011,0,0,0,0,0,0,0,11,3,8
501021012,230,81,315,2175,736,119,3023,6137,635,9798
501021014,180,21,202,1322,544,61,1925,5241,529,7695
501021015,153,17,169,1116,460,50,1631,3960,330,5914
501021016,79,27,106,578,260,35,869,2337,334,3533
501021251,39,7,48,2022,453,103,2575,4372,382,7327
501021252,26,6,32,493,201,29,723,1659,104,2487
501021253,432,106,543,1836,903,111,2847,7223,772,10838
501021254,48,9,57,704,316,50,1071,2735,354,4165
501031017,117,16,135,1013,347,44,1411,3907,523,5839
501031018,115,7,127,854,350,49,1248,3522,363,5132
501031019,118,9,128,752,262,40,1054,3068,318,4443
501031020,108,15,123,583,206,28,820,3197,493,4511
502011021,67,12,80,1309,552,55,1914,4603,373,6890
502011022,174,9,184,1312,645,70,2026,5727,434,8190
502011023,372,129,506,1257,550,85,1887,5643,641,8166
502011024,498,76,580,2757,1275,126,4162,11583,940,16678
502011025,288,108,399,1033,588,46,1667,6315,1022,9001
502011026,115,13,126,826,445,47,1317,3828,441,5581
502011027,430,27,463,3969,1317,221,5509,9998,915,16426
502011028,440,59,507,1281,696,71,2049,6952,673,9675
502011029,197,60,254,1524,568,87,2173,5314,711,8200
503011030,296,12,319,1149,466,52,1675,3738,195,5601
503011031,402,49,452,1305,616,53,1980,5488,465,7932
503011032,161,47,210,1235,662,49,1942,4241,349,6534
503011033,151,12,172,1779,608,76,2464,4105,164,6739
503011034,211,41,254,1711,699,66,2473,5972,505,8952
503011035,454,28,493,2966,1239,118,4314,10946,620,15885
503011036,221,57,282,1773,654,88,2511,4821,347,7683
503021037,4,0,4,0,3,0,4,30,13,48
503021038,232,12,243,2342,528,88,2959,6191,437,9582
503021039,328,58,392,2556,931,97,3582,10218,691,14493
503021040,216,25,246,1623,513,78,2215,5576,406,8186
503021042,362,83,444,2797,1069,101,3968,9974,834,14766
