SA2_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
501011001,1565,1561,3129,312,307,618,17,26,43,17,18,39,19,14,35,12,10,25,690,777,1472,0,5,4,11,7,21,3,4,4,4,0,7,769,872,1644,85,89,181,22,19,42,1195,1289,2481,327,297,620,3083,3146,6225
501011003,2956,2827,5783,789,836,1628,47,54,95,41,40,83,27,32,59,8,10,19,1058,1153,2207,0,0,0,10,12,22,0,0,0,0,0,0,1192,1297,2490,182,204,391,14,22,41,2176,2367,4544,497,431,928,5629,5622,11253
501011004,2297,2336,4626,752,778,1529,54,55,108,43,44,82,22,26,44,13,20,31,823,894,1721,8,15,23,8,14,21,5,6,9,0,0,0,981,1063,2046,271,237,502,25,40,70,2033,2118,4151,457,342,796,4780,4792,9576
501011293,2209,2321,4527,394,390,781,22,32,57,30,27,55,30,32,56,9,5,15,1202,1344,2543,11,13,30,15,28,46,4,5,3,0,0,0,1331,1475,2805,87,103,199,34,24,57,1846,1997,3840,308,260,573,4361,4581,8944
501011294,4630,5098,9734,1134,1250,2387,45,60,101,44,58,103,45,58,101,20,20,35,2011,2279,4290,15,20,34,14,18,35,5,8,6,0,0,0,2193,2513,4710,156,192,354,44,43,91,3538,4005,7537,532,519,1052,8703,9622,18320
501021005,5101,5248,10346,1007,1067,2078,42,59,98,40,36,83,51,73,125,20,13,28,1795,2016,3813,18,17,31,35,26,55,5,3,6,0,0,0,2001,2243,4243,134,178,319,72,44,115,3214,3537,6752,500,378,878,8815,9166,17979
501021007,1537,1616,3155,146,172,310,3,9,8,4,17,27,9,17,20,0,8,3,571,617,1184,4,0,3,10,8,19,0,0,0,0,0,0,603,666,1270,26,20,48,15,8,22,784,866,1651,203,180,381,2522,2664,5189
501021008,1489,1610,3096,147,192,340,23,17,35,15,15,28,25,22,45,9,7,15,732,937,1668,4,6,10,10,9,16,0,0,0,0,0,0,819,1004,1826,91,100,196,28,42,71,1092,1333,2428,782,293,1075,3365,3238,6598
501021009,2652,2511,5161,544,600,1151,11,17,34,0,10,12,17,14,36,5,0,8,495,542,1039,6,8,17,16,12,23,0,0,0,0,0,0,564,604,1160,34,37,73,40,32,68,1177,1273,2446,378,352,725,4204,4135,8336
501021010,1054,998,2048,48,53,105,3,0,6,8,9,14,4,0,3,0,0,0,338,337,675,4,8,6,7,9,7,0,0,0,0,0,0,358,360,714,13,18,31,4,3,7,431,437,861,127,102,226,1605,1532,3135
