SA2_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
501011001,..,635,635,912,46,949,302,14,318,335,0,335,123,0,123,34,0,34,1704,690,2399
501011003,..,800,800,1501,87,1582,590,23,612,682,15,700,268,0,271,85,0,83,3133,919,4055
501011004,..,784,784,1081,98,1177,570,41,609,590,28,620,229,4,229,65,4,66,2526,956,3487
501011293,..,939,939,1410,71,1479,472,20,488,439,6,443,191,0,191,67,0,67,2579,1030,3616
501011294,..,1991,1991,2572,151,2716,949,25,970,1018,4,1026,410,0,409,176,0,172,5121,2176,7292
501021005,..,1235,1235,2308,98,2408,1067,14,1080,1203,5,1211,505,4,503,238,5,237,5317,1358,6668
501021007,..,414,414,778,42,821,285,3,289,283,0,282,135,0,135,51,0,51,1532,454,1990
501021008,..,982,982,818,98,919,328,20,347,270,3,279,99,0,99,52,0,57,1580,1099,2677
501021009,..,1067,1067,1150,79,1223,425,9,434,415,0,415,190,0,188,82,0,82,2253,1149,3404
501021010,..,251,251,463,14,477,171,0,171,190,0,190,83,0,83,30,0,30,927,268,1192
501021011,..,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
501021012,..,995,995,1537,85,1620,699,13,710,685,7,686,309,0,309,123,0,123,3352,1100,4448
501021014,..,827,827,1269,63,1336,424,10,433,460,0,463,242,3,243,107,7,110,2495,911,3409
501021015,..,840,840,1018,72,1095,384,14,401,344,0,346,125,0,125,75,3,76,1948,940,2887
501021016,..,443,443,589,37,628,181,0,184,179,0,179,101,0,101,52,0,58,1101,481,1584
501021251,..,572,572,944,55,993,588,10,605,668,6,669,321,0,323,112,0,112,2639,643,3277
501021252,..,117,117,375,15,383,158,3,163,205,0,205,73,0,73,47,0,47,852,129,984
501021253,..,1944,1944,1815,149,1962,596,18,615,574,9,588,191,0,191,66,0,62,3237,2128,5365
501021254,..,708,708,642,61,701,289,16,304,223,0,227,96,0,98,48,0,49,1299,784,2082
501031017,..,755,755,1126,46,1173,279,7,285,290,0,292,148,0,148,61,0,61,1910,809,2718
501031018,..,565,565,952,43,992,266,4,268,278,0,285,130,0,130,62,0,62,1691,616,2305
501031019,..,715,715,741,40,778,243,4,248,235,0,233,116,0,116,57,0,57,1387,760,2146
501031020,..,587,587,814,39,857,232,0,232,186,0,186,81,0,81,29,5,29,1335,634,1972
502011021,..,622,622,1240,46,1287,441,3,448,458,0,458,191,0,191,90,0,90,2431,673,3104
502011022,..,997,997,1589,75,1661,491,9,499,455,0,455,182,4,187,67,0,67,2782,1083,3867
502011023,..,1338,1338,1367,93,1466,548,4,552,394,3,405,178,0,176,119,0,119,2605,1446,4053
502011024,..,2018,2018,3115,122,3236,1012,21,1027,990,5,993,398,0,408,149,0,149,5669,2167,7834
502011025,..,2073,2073,1530,129,1663,442,22,467,290,6,293,123,0,129,43,0,43,2430,2237,4664
502011026,..,651,651,1016,52,1071,321,9,325,298,0,301,122,0,122,66,0,66,1822,716,2539
502011027,..,1357,1357,2365,118,2478,1201,33,1234,1383,0,1385,585,0,585,269,0,271,5808,1507,7318
502011028,..,1516,1516,1759,108,1863,579,14,587,424,5,429,178,4,180,96,0,96,3027,1648,4673
502011029,..,894,894,1332,55,1384,502,6,516,516,3,516,244,0,242,140,0,140,2730,959,3691
503011030,..,411,411,754,13,761,294,11,307,500,11,513,239,5,243,65,0,63,1857,448,2309
503011031,..,1339,1339,1219,111,1332,446,27,473,429,12,442,177,0,174,37,0,36,2306,1495,3798
503011032,..,732,732,973,77,1044,385,32,420,414,17,432,214,0,213,52,0,52,2034,858,2892
503011033,..,418,418,830,35,859,439,9,449,721,7,725,313,0,312,81,0,81,2377,466,2846
