SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
501011001,28,46,73,368,398,771,0,0,0,37,33,70,0,0,0,296,346,646,3,4,5,8,13,19,7,10,21,0,6,3,7,7,23,0,0,0,8,15,23,5,8,12,26,31,60,0,0,4,4,0,4,58,88,150,81,99,187,0,3,4,920,1062,1981,3,5,10,4,7,8,9,0,9,0,0,0,4,4,4,5,15,15,6,16,23,1908,1793,3704,9,5,17,3,4,11,1922,1803,3726,393,367,758,3291,3307,6595
501011003,58,68,122,744,879,1626,0,0,0,32,45,79,0,0,0,800,932,1730,7,11,18,22,21,37,28,25,52,9,3,13,12,11,26,0,0,0,19,23,43,25,24,49,58,63,118,3,4,8,9,8,18,104,149,257,122,139,258,5,6,6,2001,2342,4342,23,6,31,4,10,12,11,6,16,0,0,0,7,0,13,6,17,25,18,20,35,3209,2958,6168,13,14,32,9,21,30,3233,2994,6224,603,517,1113,5942,5958,11900
501011004,72,74,146,344,443,789,0,0,0,35,49,85,0,0,0,507,586,1098,3,8,10,14,13,28,36,44,80,0,0,3,10,13,20,0,0,0,6,10,16,14,12,17,34,33,66,0,0,0,0,0,0,39,76,116,74,81,152,0,0,3,1120,1363,2482,14,13,29,12,19,33,5,7,5,0,6,4,8,0,13,18,19,30,28,26,50,3235,3101,6335,18,14,37,7,16,26,3260,3135,6394,592,466,1058,5094,5099,10193
501011293,29,56,87,709,841,1552,0,0,0,71,73,143,0,0,0,609,756,1366,20,20,44,5,15,15,40,57,99,5,3,9,6,16,18,0,0,0,19,18,43,21,22,47,56,63,118,4,6,10,24,22,45,106,147,251,103,115,215,0,5,12,1807,2179,3985,17,10,22,49,36,82,0,0,0,0,0,0,8,19,28,8,11,23,19,32,53,2258,2139,4399,10,7,19,4,6,10,2276,2160,4431,380,324,698,4564,4794,9359
501011294,55,119,173,1177,1613,2792,0,0,0,130,164,296,0,0,0,1262,1551,2812,67,77,148,16,12,27,57,94,155,15,16,30,20,31,51,0,0,0,20,41,60,49,56,109,91,125,215,6,19,26,26,36,68,215,335,552,295,343,637,7,3,12,3463,4512,7977,38,43,75,52,40,96,4,0,3,0,4,8,17,15,34,17,25,40,39,39,78,4806,4681,9483,27,14,36,17,26,40,4847,4710,9556,697,628,1325,9192,10095,19292
501021005,39,79,117,986,1258,2241,0,0,0,179,184,364,0,0,0,1526,1734,3265,13,20,37,19,19,35,81,106,195,35,37,74,13,16,30,0,0,0,24,36,65,47,66,115,117,137,258,9,16,21,20,19,43,137,208,348,337,359,695,6,18,25,3560,4253,7813,60,53,109,59,60,115,9,11,15,0,0,0,11,8,24,27,32,55,40,36,80,5042,4695,9738,21,20,41,15,14,35,5076,4730,9807,687,514,1199,9521,9730,19256
501021007,20,21,39,355,419,774,0,0,0,31,23,56,0,0,0,320,398,714,4,10,15,3,5,10,4,7,15,8,12,19,3,8,16,0,0,0,9,6,20,13,16,22,61,49,112,3,4,10,9,15,29,61,93,156,66,83,143,9,6,11,954,1152,2109,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3,5,12,20,4,15,24,1413,1354,2767,8,7,17,3,6,11,1424,1363,2790,254,235,487,2658,2800,5457
501021008,14,38,53,315,473,785,0,0,0,41,48,92,0,0,0,463,551,1013,6,13,17,10,15,20,17,32,48,16,16,37,0,7,12,0,4,3,12,10,23,21,24,41,26,27,49,9,21,29,11,20,34,55,74,130,88,95,181,6,3,7,1093,1427,2515,4,11,13,23,29,51,0,0,0,0,0,0,10,4,6,5,31,38,10,31,46,1574,1556,3129,12,12,22,3,5,12,1595,1574,3167,811,317,1125,3552,3422,6976
501021009,6,24,31,485,625,1110,0,0,0,54,62,119,0,0,0,685,720,1407,25,25,44,0,3,6,24,22,48,4,9,8,4,3,16,0,0,0,19,14,38,13,18,36,28,31,58,8,7,17,8,14,24,82,107,187,67,81,145,7,3,10,1516,1753,3262,3,9,8,9,8,18,0,0,0,0,3,3,0,0,0,13,18,34,12,27,39,2435,2103,4548,10,13,18,0,10,14,2447,2130,4574,468,408,873,4468,4347,8812
501021010,12,10,20,234,260,489,0,0,0,14,11,16,0,0,0,304,315,621,0,0,0,0,4,5,0,0,3,0,3,4,0,4,9,0,0,0,10,4,9,5,5,4,23,27,52,3,6,9,10,10,19,41,39,78,61,57,119,3,4,7,711,739,1451,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,8,9,0,9,10,776,684,1458,0,0,3,0,0,0,782,688,1470,181,149,331,1694,1594,3286
