SA2_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
507011148,0,0,4,9,6,5,0,0,0,25,0,0,0,0,8,3,0,0,0,18,0,0,12,31,8,8,5,0,0,66,0,20,26,173,70,42,36,10,4,381,16,25,24,89,33,23,13,10,11,235,807,1693,1395,3737,1506,916,624,269,138,11086,0,0,0,9,0,0,0,0,0,9,1570,2943,2038,3546,1540,773,561,258,119,13342,0,0,5,33,4,0,0,0,0,44,0,0,0,11,3,3,0,0,0,26,0,3,0,26,0,4,0,0,0,35,0,0,0,5,0,0,0,0,0,6,0,3,6,22,9,6,0,0,0,43,0,0,0,4,9,3,0,4,0,17,3,17,50,251,93,35,36,7,0,483,0,0,0,15,0,0,10,0,7,36,0,0,0,4,0,0,0,0,3,15,3,65,115,353,314,274,168,91,25,1408,0,0,0,5,0,3,7,0,0,8,0,0,3,8,0,4,0,0,0,18
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,0,0,0,4,0,0,0,0,0,7,0,0,5,5,7,5,0,0,0,14,0,0,0,3,0,0,0,0,0,13,0,3,0,68,33,53,37,28,7,234,9,23,14,52,28,23,32,28,0,211,264,630,541,1231,711,689,554,277,79,4979,0,0,0,4,0,0,0,0,0,4,507,1088,901,1563,899,755,498,192,69,6482,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,15,8,0,0,41,0,0,0,12,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,5,3,0,0,21,0,0,0,8,3,3,0,0,0,10,0,0,8,5,8,6,0,0,0,36,0,0,0,19,9,54,68,53,13,220,0,0,0,3,0,0,0,0,0,7,6,24,40,163,123,167,130,74,14,736,0,0,0,4,4,0,0,0,0,3,0,0,0,12,3,7,3,0,0,25
507011153,0,5,0,14,3,4,0,0,0,20,0,0,0,4,6,0,0,0,0,10,0,0,5,7,6,4,5,0,0,23,0,4,10,64,38,34,32,15,0,200,11,18,14,66,23,16,26,20,8,192,205,464,510,1317,596,495,393,287,81,4347,0,0,0,3,0,0,3,0,0,4,446,785,807,1542,720,497,355,293,58,5497,0,0,0,6,0,0,0,0,0,10,0,0,0,5,4,4,0,0,0,17,0,0,0,16,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,15,3,0,0,34,0,0,0,6,4,7,3,0,0,17,0,4,3,37,4,4,0,4,0,64,0,0,0,0,4,3,12,5,0,25,0,0,0,3,0,5,0,0,4,15,0,10,36,103,96,126,97,68,29,554,0,0,0,0,4,4,0,0,0,8,0,0,0,20,5,0,0,0,0,26
507011154,0,0,0,7,4,0,3,0,0,17,0,0,0,8,0,5,0,0,0,16,0,0,0,8,0,5,0,0,0,15,0,10,14,90,39,56,46,37,13,303,8,24,36,94,42,37,40,42,44,359,282,573,615,1789,761,678,595,346,187,5826,0,0,0,5,3,0,0,0,0,9,577,955,976,2012,895,660,483,235,85,6870,0,0,0,4,0,0,0,0,0,4,0,0,3,16,5,8,10,0,0,43,0,0,0,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,7,23,7,7,6,0,0,48,0,0,0,12,10,4,3,0,0,27,0,0,3,11,4,5,3,3,0,35,0,0,0,6,5,22,32,17,23,114,0,0,4,0,0,0,5,0,0,10,0,14,31,188,124,169,134,57,28,741,0,0,0,0,0,0,0,0,0,0,0,3,8,54,11,4,0,0,0,79
507011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011158,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,6,0,0,0,0,0,5,0,0,0,35,19,22,10,8,5,99,5,0,13,25,9,9,7,4,3,74,78,134,180,535,265,359,215,82,54,1905,0,0,0,0,0,0,0,0,0,0,157,261,264,600,302,346,240,82,31,2283,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,0,0,5,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,29,0,0,3,5,5,5,7,3,4,23,0,0,0,0,5,0,0,4,0,7,3,8,13,72,65,129,79,24,19,405,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,7
507011159,0,0,0,11,3,15,0,0,0,26,0,0,0,0,3,3,0,5,0,10,0,0,0,5,4,3,0,0,0,15,0,5,18,76,38,60,35,12,5,251,16,23,24,88,22,35,20,18,16,265,339,598,730,1681,772,779,531,274,147,5851,0,0,0,6,0,0,0,0,0,3,642,1045,1127,1966,836,777,498,215,103,7211,0,4,0,8,0,3,0,0,0,13,0,0,0,12,8,4,5,6,0,28,0,3,0,17,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,3,0,3,0,30,0,0,3,0,8,5,8,0,3,20,0,5,17,79,41,28,18,3,5,193,0,0,0,7,5,8,18,0,5,39,0,0,0,3,0,0,3,0,0,10,0,16,41,138,112,171,124,91,34,728,0,0,0,0,0,3,0,0,0,4,0,0,0,15,0,3,0,0,0,27
507011160,0,0,0,4,4,0,0,0,0,16,0,0,0,0,0,6,0,0,3,10,0,0,0,6,0,4,0,0,0,12,0,4,19,94,45,72,76,40,21,372,7,15,24,59,25,23,21,13,3,193,311,525,639,1566,707,723,669,426,221,5779,0,0,0,5,0,0,0,0,0,5,635,915,953,1856,874,700,547,296,99,6881,0,0,0,0,0,0,0,0,0,0,0,0,6,23,14,19,17,6,0,94,0,3,0,18,5,0,0,0,0,24,0,0,0,4,0,0,0,0,0,4,0,0,4,14,7,0,3,0,0,28,0,0,0,0,5,4,3,0,0,11,0,6,0,15,11,0,0,0,0,37,0,0,0,37,24,60,107,73,63,369,0,0,0,0,0,0,5,6,0,12,0,13,26,161,101,138,91,98,23,650,0,0,0,3,0,5,0,0,0,4,0,0,3,23,8,3,0,0,0,43
