SA2_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
501011001,30,109,28,47,0,227,23,19,78,43,59,5,225,0,3,10,6,9,0,30,4,0,15,13,46,0,82,0,3,25,15,30,7,74,95,93,588,329,906,86,2089
501011003,66,177,31,59,8,380,52,41,225,91,80,10,501,5,0,23,22,14,4,68,0,5,18,26,84,7,138,4,0,48,36,62,29,179,221,183,1304,768,1620,187,4286
501011004,56,201,38,87,6,433,58,37,185,95,80,8,463,0,0,27,11,21,0,61,3,3,19,18,81,6,124,11,3,39,23,51,18,145,234,169,1165,634,1425,129,3746
501011293,37,135,42,69,4,311,42,35,173,83,143,14,484,4,0,0,0,14,0,20,3,0,13,13,101,3,134,3,0,13,14,35,13,79,123,115,626,445,1379,101,2795
501011294,95,251,94,168,6,662,67,56,330,176,332,30,994,0,0,10,9,41,4,64,10,6,23,25,187,7,252,3,0,21,18,86,25,163,204,227,1162,901,3007,215,5720
501021005,93,282,100,193,5,706,53,34,274,155,403,25,952,0,0,7,12,28,0,50,0,0,13,47,185,8,253,3,5,13,19,117,25,186,198,191,1130,890,3532,189,6126
501021007,22,73,23,52,6,185,15,16,76,57,114,11,288,0,0,0,3,14,0,24,4,4,8,11,58,0,81,0,0,5,5,32,20,67,47,56,331,247,898,76,1649
501021008,21,51,24,45,4,147,13,22,107,49,151,12,349,0,0,3,0,11,0,16,0,0,12,6,68,0,91,0,0,10,8,32,9,59,47,58,298,233,955,68,1661
501021009,20,71,34,96,10,238,8,8,67,45,132,12,267,0,0,0,0,12,0,12,0,0,6,17,90,0,108,0,0,4,8,44,6,59,37,42,220,229,1466,68,2061
501021010,12,48,18,19,0,105,3,9,64,24,38,4,138,0,0,5,0,5,0,14,0,0,4,5,38,4,54,0,0,8,9,10,7,39,24,36,262,171,576,49,1112
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,39,128,48,124,5,368,30,29,189,114,230,14,609,0,0,0,10,16,3,29,0,4,16,14,138,6,179,6,0,17,8,73,23,129,101,110,653,519,2216,136,3739
501021014,42,110,38,89,8,298,19,14,92,60,140,8,340,0,4,8,0,27,0,38,4,0,13,6,70,0,95,3,0,16,7,45,10,79,79,86,510,366,1496,137,2670
501021015,24,80,40,68,3,224,27,15,105,69,152,12,378,0,0,6,4,14,0,23,0,0,8,7,85,0,103,0,0,8,9,40,17,75,63,60,401,313,1196,88,2122
501021016,9,31,14,34,0,91,0,0,32,25,49,9,119,0,0,0,0,4,0,7,0,0,0,4,31,0,36,3,0,4,3,18,8,39,21,18,134,145,649,73,1041
501021251,51,152,47,118,11,407,74,38,302,108,216,23,763,0,0,6,4,14,5,31,12,5,23,24,95,4,168,3,0,18,14,59,22,120,189,128,830,487,1711,123,3465
501021252,21,75,15,23,8,151,28,16,76,28,46,3,199,0,0,0,6,3,0,12,5,3,14,10,29,0,60,0,0,0,3,14,3,24,67,61,293,169,510,26,1130
501021253,89,237,54,101,12,562,117,47,391,124,203,25,905,0,0,9,0,18,0,39,17,9,20,24,99,6,165,3,3,19,18,61,19,128,352,217,1227,648,1815,146,4395
501021254,11,44,17,43,0,121,3,10,59,46,92,6,223,0,0,3,3,5,0,11,0,0,3,3,39,0,49,5,0,3,10,26,7,48,30,30,195,164,726,45,1194
501031017,24,105,30,57,3,225,11,10,84,63,88,5,261,0,0,6,9,7,0,18,0,0,8,9,57,3,78,5,0,8,3,26,6,49,68,66,444,319,996,79,1973
501031018,27,70,24,39,3,190,11,20,70,38,91,9,241,0,0,5,0,10,0,19,3,0,9,4,50,4,70,8,0,14,7,35,11,68,68,77,363,302,913,76,1795
501031019,18,77,15,51,4,178,9,10,60,40,84,7,209,0,0,0,4,6,0,16,0,0,4,8,63,5,80,3,0,10,0,33,3,53,41,33,251,192,812,61,1393
501031020,18,48,14,28,4,128,13,12,48,37,56,5,173,0,3,5,3,14,0,22,0,0,8,0,33,3,40,10,0,4,11,12,15,54,78,61,324,233,639,99,1426
502011021,31,107,40,64,9,272,14,15,104,71,119,7,337,0,0,7,3,9,0,28,5,0,12,15,57,4,98,3,3,3,13,51,11,89,80,68,432,385,1236,87,2293
502011022,50,141,47,80,8,355,18,11,113,96,121,15,378,0,3,8,6,18,3,39,0,0,7,19,93,9,131,4,0,10,18,50,22,93,95,96,495,452,1376,125,2646
502011023,20,57,42,74,7,213,14,10,100,68,175,9,388,0,0,0,0,17,0,21,3,3,4,13,74,0,100,4,0,12,4,45,9,81,50,49,294,331,1230,99,2064
502011024,61,303,84,157,14,678,63,43,303,192,282,26,908,3,0,13,15,23,3,60,7,3,17,53,149,13,236,8,0,28,27,96,42,203,261,169,1127,971,2658,235,5418
502011025,32,69,32,53,8,206,24,13,108,63,138,15,357,0,0,5,4,17,4,25,0,4,10,11,63,3,90,0,0,14,27,41,20,109,106,67,451,383,1152,121,2285
502011026,20,53,29,44,4,160,9,12,55,47,79,8,205,0,0,4,9,5,0,13,0,0,7,12,62,5,76,0,0,4,5,39,10,57,43,45,219,260,963,73,1599
502011027,81,331,98,212,15,804,71,58,355,236,384,36,1140,3,0,10,10,25,6,55,4,0,29,57,180,12,277,13,11,31,40,158,11,261,301,224,1391,1143,3351,204,6618
502011028,32,73,40,53,4,216,26,16,107,102,213,10,480,0,0,4,6,14,0,33,4,3,12,15,70,4,99,0,0,13,10,55,23,105,97,91,383,442,1278,127,2408
