SA2_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
501011001,2237,5297,53,81,16,19,70,98,15,28,0,0,0,0,0,0,0,0,13,30,34,53,22,31,8,3,3,7,58,95,18,29,2399,5555,1124,..,3526,5555
501011003,3674,9378,182,410,78,176,257,588,23,38,0,0,0,3,0,0,5,13,26,58,15,35,60,86,9,8,0,0,81,130,12,25,4055,10178,2894,..,6949,10178
501011004,3201,8198,129,204,86,149,207,355,18,37,0,0,0,0,0,0,4,7,27,44,12,18,17,57,0,0,0,0,30,75,22,55,3487,8723,1111,..,4599,8723
501011293,3236,7828,221,339,36,69,256,404,11,14,0,0,0,0,0,0,8,23,23,41,14,20,70,99,0,5,6,24,94,141,3,15,3616,8423,778,..,4394,8423
501011294,6297,15713,767,1153,93,170,859,1320,0,0,0,0,17,26,0,0,14,27,31,50,52,90,28,36,5,13,8,19,95,163,17,30,7292,17277,1422,..,8716,17277
501021005,6275,17183,245,384,6,9,246,391,43,74,0,0,0,0,0,0,0,0,43,74,61,84,24,43,12,7,0,0,97,133,10,12,6668,17788,576,..,7251,17788
501021007,1902,4724,79,132,3,8,82,138,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,6,11,20,0,3,1990,4891,320,..,2310,4891
501021008,2217,5026,447,721,6,8,456,724,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,4,0,2677,5757,255,..,2927,5757
501021009,3165,7451,108,164,0,0,108,164,104,149,0,0,0,0,0,0,0,8,104,155,15,24,0,3,3,0,0,11,17,42,16,20,3404,7830,462,..,3864,7830
501021010,1125,2862,4,18,0,6,6,28,0,0,0,0,0,0,0,0,0,0,0,0,35,45,23,29,5,4,0,0,58,74,0,4,1192,2973,139,..,1332,2973
