SA2_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
507041176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,10,6,0,4,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,5,4,21,0,6,8,16,12,7,9,6,6,66,0,0,0,10,0,6,3,3,0,30,0,0,0,4,5,0,3,0,0,24,0,0,0,8,3,0,0,0,0,15,0,0,0,6,9,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10
507041177,0,0,0,0,0,0,7,5,0,9,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,5,0,10,3,0,27,0,0,12,42,39,44,24,5,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9,0,0,0,19,4,10,9,0,0,48,0,0,0,5,4,0,6,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,6,14,11,22,22,8,11,99,0,3,6,15,8,5,3,10,3,45,0,0,10,37,16,9,10,5,0,94,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,4,8,20,5,6,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,5,0,16,3,6,0,5,0,37
507041178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,4,4,4,0,0,10,0,0,4,7,0,0,0,0,0,10,0,0,4,4,0,6,3,5,3,22,0,6,16,29,21,24,17,5,4,109,0,0,0,0,0,0,0,0,0,6,0,3,0,6,0,3,0,0,0,15,0,0,0,0,3,0,0,0,0,5,0,0,7,20,10,10,5,6,0,59,0,0,0,4,4,5,4,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,3,14,20,18,19,8,9,90,0,0,20,42,21,15,23,9,3,135,0,8,15,24,42,28,19,12,3,148,0,0,0,15,13,7,3,0,0,41,0,0,0,12,0,0,4,0,0,23,0,0,0,13,12,7,5,0,0,39,0,0,0,0,0,0,0,0,0,7,0,9,4,15,8,0,0,0,0,39
507041179,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,9,0,5,3,15,5,13,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,9,15,4,48,0,9,19,26,25,12,16,8,0,111,0,3,15,9,12,8,11,13,3,70,0,0,8,7,13,13,4,0,5,57,0,3,0,9,0,5,0,0,0,19,0,3,0,9,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,12
507041180,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,0,0,17,0,0,0,0,3,6,0,0,0,9,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,3,5,0,11,0,9,3,22,13,21,16,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,3,4,0,0,33,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,14,19,7,0,75,0,4,19,39,22,21,25,7,0,133,0,3,11,28,25,18,10,5,0,108,0,0,3,8,11,10,0,3,0,31,0,0,0,10,3,4,9,0,0,22,0,0,0,10,6,0,6,0,0,23,0,0,0,0,0,0,0,0,0,0,3,5,3,7,7,6,6,3,0,27
507041181,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,9,7,23,0,9,11,41,35,36,12,13,4,155,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,6,9,12,11,9,4,0,0,39,0,0,0,6,4,0,5,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,4,18,15,27,12,11,8,96,0,7,3,12,15,13,11,0,0,59,0,8,13,37,38,29,15,3,4,146,0,0,0,5,9,0,0,0,0,15,0,0,0,5,0,0,0,0,0,3,0,5,0,9,13,6,4,0,0,37,0,0,0,4,0,0,0,0,0,4,0,3,4,20,5,8,0,0,0,36
507041182,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,4,0,7,3,0,0,18,0,0,0,7,0,0,0,0,0,7,0,0,0,0,4,0,6,5,4,23,0,5,13,29,14,20,13,5,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,28,34,16,11,0,4,0,97,0,0,0,6,0,3,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,8,10,4,3,42,0,8,28,33,14,26,17,3,3,140,0,4,21,18,24,17,5,9,4,105,0,0,5,13,4,9,14,4,0,45,0,0,0,19,3,3,4,0,0,25,0,3,4,11,3,13,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,7,5,0,4,38
507041183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,15,0,3,9,21,9,9,3,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12,0,0,0,0,0,29,0,0,0,4,0,4,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,8,6,24,0,0,0,3,3,0,0,0,0,10,0,0,0,12,7,4,5,0,3,32,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,8,5,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,4,0,0,19
507041184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,7,4,11,11,4,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,6,5,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,5,3,4,0,26,0,7,7,25,14,39,28,9,4,130,0,0,10,9,13,4,8,3,0,53,0,0,0,7,0,6,14,0,4,32,0,0,0,4,7,3,3,0,0,19,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,8
507051186,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,7,0,0,0,5,0,0,0,0,0,7,0,0,0,0,4,0,11,4,4,21,0,17,18,73,40,40,18,9,0,210,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,13,10,24,21,11,8,4,0,89,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,16,20,13,5,67,0,0,0,0,0,0,3,0,0,9,0,0,0,7,8,13,10,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,11,10,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,0,0,13
