SED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SED50106,5293,183,12,173,16,5666,4704,89,12,7,9,4818,1349,241,16,4,0,1603,432,165,7,0,3,605,96,158,10,0,0,270,1023,90,4,6,0,1125,164,40,9,85,5,303,15,16,0,0,0,33,3076,704,48,93,11,3938,284,96,6,14,0,408,604,105,0,115,8,835,13967,1175,74,401,53,15664
SED50202,3544,406,17,152,9,4123,8108,479,24,7,0,8621,2061,863,55,3,8,2984,269,295,32,0,0,602,24,93,25,0,0,148,1094,225,14,3,0,1341,115,53,3,48,0,221,19,17,4,0,0,36,3589,1546,134,53,11,5337,155,123,25,8,7,303,936,251,31,79,10,1308,16323,2807,235,298,34,19689
SED50304,3792,1394,95,0,0,5289,3642,2472,260,0,0,6373,1310,2244,718,0,0,4276,141,564,22,0,5,728,19,101,15,0,0,136,635,927,176,0,0,1737,79,114,27,0,0,226,17,27,4,0,0,46,2196,3976,968,0,7,7154,102,145,3,0,0,263,362,498,121,0,3,993,10097,8495,1457,0,20,20067
SED50405,2914,101,4,61,0,3083,10910,155,14,4,9,11089,2821,175,87,0,0,3084,141,32,47,0,0,227,13,9,16,0,0,33,889,40,6,3,0,940,245,10,5,20,0,289,14,0,0,0,0,15,4126,268,153,29,9,4585,114,102,0,3,0,222,777,24,12,25,0,839,18839,654,184,119,15,19814
SED50502,4318,352,86,0,3,4761,6267,540,107,0,6,6917,1462,341,96,0,3,1909,316,280,67,0,0,663,61,57,0,0,0,122,909,169,33,0,4,1116,88,17,0,0,0,105,18,10,0,0,0,26,2856,873,200,8,6,3938,127,63,11,0,0,206,554,171,24,4,0,759,14121,2012,423,10,16,16578
SED50605,5954,916,259,0,6,7142,4324,678,199,0,0,5202,1364,660,376,4,0,2400,48,94,10,0,0,155,11,18,0,0,0,26,585,225,96,0,3,910,35,11,14,0,0,61,5,9,3,0,0,20,2060,1013,496,4,6,3578,157,78,6,0,0,242,248,93,75,0,3,425,12749,2782,1035,6,18,16592
SED50702,3574,481,388,22,6,4469,4815,878,690,0,11,6390,2365,1211,1541,0,4,5121,504,469,68,0,0,1042,72,70,8,0,0,153,1003,343,299,0,3,1653,137,51,24,6,13,231,36,11,5,0,0,54,4118,2159,1946,9,24,8253,169,43,28,0,0,240,637,264,216,20,19,1144,13314,3820,3263,47,58,20502
SED50805,4376,1285,185,4,18,5868,4273,1178,285,0,5,5735,864,837,362,4,5,2074,54,244,27,0,0,325,11,24,4,0,0,36,436,366,118,4,5,923,22,16,4,0,0,39,8,6,4,0,0,12,1395,1493,514,11,8,3416,131,78,45,0,0,256,250,163,76,9,5,510,10423,4194,1106,26,31,15784
SED50906,4279,508,70,82,6,4946,5754,346,51,0,15,6165,1980,683,254,3,4,2929,290,448,30,0,0,773,45,151,71,0,0,269,1107,270,52,0,4,1429,111,60,9,24,4,207,23,15,3,0,0,44,3551,1636,422,30,14,5644,141,136,25,5,3,310,609,272,75,74,8,1040,14329,2904,639,190,44,18108
SED51004,3251,289,33,0,0,3575,8137,246,77,0,9,8463,1697,276,142,0,0,2116,146,92,0,0,0,240,18,26,0,0,0,47,890,102,32,3,0,1025,63,7,0,0,0,67,10,0,0,0,0,5,2816,500,178,3,4,3500,96,35,5,0,0,128,446,65,19,12,0,548,14748,1139,306,13,9,16219
