SED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED50106,149,144,161,134,45,7,779,11,71,102,155,150,104,27,9,631,124,575,727,739,640,517,217,44,3582,92,323,468,574,639,508,252,56,2910,674,1297,1140,1174,1113,703,302,105,6503,330,113,90,73,75,39,16,3,735,37,42,59,124,155,130,41,14,606,1035,1456,1289,1371,1337,869,363,128,7838,8,21,29,34,32,59,33,11,224,280,315,270,318,380,378,362,229,2535,1560,2890,3037,3332,3339,2563,1292,485,18511
SED50202,324,159,85,55,22,3,845,14,113,130,79,69,32,20,0,465,186,916,986,581,351,219,89,22,3349,195,737,851,546,491,290,117,30,3256,1010,2074,1673,1290,1181,787,301,64,8381,382,234,106,80,62,28,21,4,924,62,103,126,131,118,101,38,6,682,1454,2412,1904,1502,1361,922,356,74,9987,31,41,53,44,43,35,34,12,285,522,642,554,470,415,376,334,191,3503,2405,5054,4803,3382,2810,1930,976,322,21683
SED50304,927,371,195,93,27,9,2772,18,288,277,172,129,74,22,8,987,530,2911,2182,1080,631,387,130,41,7898,245,921,918,671,509,378,156,28,3813,516,1230,1020,871,771,481,265,79,5244,145,89,70,57,58,34,12,0,467,32,75,107,124,112,81,37,17,591,700,1393,1205,1051,944,594,317,101,6304,16,84,66,52,44,33,34,15,346,265,559,434,312,290,251,261,173,2548,1843,7245,6011,3714,2744,1808,935,366,24663
SED50405,488,222,100,32,18,0,1158,22,184,223,174,69,30,15,0,723,273,1376,1671,875,373,205,87,6,4859,254,978,1197,914,524,233,92,20,4218,1074,2836,2209,1678,1083,558,248,40,9731,375,223,139,81,50,23,9,0,899,84,131,166,182,122,82,38,3,794,1530,3184,2515,1941,1253,660,293,46,11420,27,42,69,49,38,24,29,6,280,338,491,461,314,223,239,204,77,2355,2455,6544,6626,4489,2581,1428,732,152,25010
SED50502,451,241,155,80,24,3,1341,16,152,186,186,136,59,20,0,746,345,1390,1294,825,561,337,127,22,4894,176,574,684,610,511,322,123,31,3041,626,1197,1236,1071,1017,676,236,62,6121,218,121,90,69,53,29,7,0,579,57,44,107,128,130,98,44,8,628,895,1365,1433,1268,1202,803,294,72,7326,23,26,42,41,55,44,34,6,277,285,395,321,267,273,246,194,80,2078,1779,4263,4399,3436,2887,1897,817,219,19700
SED50605,1009,858,588,430,142,33,3760,14,186,277,306,305,200,81,17,1382,750,1925,2458,1992,1432,1134,504,134,10325,166,294,522,671,754,695,335,125,3565,422,489,488,601,644,465,249,91,3445,146,37,41,33,30,45,10,3,345,33,31,60,115,134,138,85,31,629,598,550,591,742,814,652,343,129,4425,19,31,41,40,56,63,62,16,334,146,177,192,186,208,229,155,95,1391,1754,3806,5090,4800,4164,3400,1618,548,25182
SED50702,812,341,166,105,42,0,2354,28,212,216,167,124,72,16,0,833,525,2700,1929,1032,624,370,117,45,7324,330,1034,898,708,604,366,126,29,4097,771,1572,1244,1051,944,598,272,91,6543,269,128,73,59,54,30,16,0,634,48,86,115,120,147,89,36,15,654,1089,1790,1434,1225,1150,716,320,101,7832,28,78,74,59,50,45,36,21,384,462,793,674,592,468,329,284,171,3769,2494,7451,6033,4129,3191,1992,942,371,26600
SED50805,619,608,445,281,117,24,2517,11,190,286,344,293,179,47,10,1358,450,1630,1856,1708,1128,709,320,105,7909,120,343,539,735,627,462,260,88,3171,415,600,618,725,703,474,248,119,3899,128,25,46,47,46,31,21,3,354,27,33,67,141,147,107,53,33,622,573,661,735,916,898,611,324,157,4876,15,24,41,42,44,39,43,22,280,116,176,192,228,186,238,275,311,1720,1306,3423,4272,4580,3629,2526,1378,721,21834
SED50906,235,211,157,96,35,6,922,14,96,147,183,136,84,23,5,674,173,865,981,883,614,394,158,46,4116,97,419,555,562,565,406,176,48,2837,1002,1569,1499,1460,1236,771,309,66,7911,316,187,90,97,57,45,18,3,810,56,64,106,137,151,90,49,12,656,1379,1822,1702,1687,1445,898,368,83,9381,10,27,48,39,42,46,25,12,249,302,407,387,375,349,354,279,203,2660,1986,3798,4050,3948,3303,2278,1070,403,20833
SED51004,344,373,228,70,23,4,1289,15,137,165,186,142,49,20,0,718,428,1169,1319,1282,690,277,107,18,5282,222,578,838,1094,837,360,102,26,4058,778,1400,1355,1601,1393,620,192,50,7389,281,115,89,72,47,35,12,0,648,52,70,110,184,154,78,44,10,703,1110,1589,1548,1857,1595,728,251,60,8740,21,32,52,83,60,39,27,10,320,245,237,292,295,228,154,132,87,1663,2060,3970,4554,5165,3785,1687,651,192,22067
SED51104,304,208,111,74,23,10,919,20,157,200,192,77,46,18,3,709,254,1183,1277,849,420,219,102,24,4332,261,928,1053,1032,611,351,139,26,4404,974,2447,2073,1827,1182,653,285,60,9505,335,176,123,103,53,35,10,4,841,79,124,173,195,111,72,58,16,815,1392,2748,2372,2119,1351,753,349,78,11166,25,57,88,61,40,48,37,9,366,374,449,424,363,286,239,282,188,2606,2337,5702,5729,4825,2892,1728,950,339,24502
SED51205,923,353,193,123,33,4,3042,30,236,220,133,104,58,23,0,809,629,2924,2318,1061,618,418,160,32,8158,458,1172,996,579,492,373,146,29,4241,812,1297,1173,1000,899,641,283,82,6198,262,121,72,58,48,37,13,3,601,48,108,103,116,117,93,50,16,650,1118,1533,1344,1173,1062,775,348,101,7450,25,94,86,61,35,43,27,8,383,481,731,524,356,283,235,214,118,2936,2810,8031,6418,3723,2784,2022,946,287,27015
SED51304,697,640,413,308,103,22,2481,9,126,334,348,271,189,42,9,1328,466,1162,2152,1886,1173,1054,383,62,8331,98,254,592,802,714,748,344,66,3623,430,576,777,823,743,649,361,64,4434,133,32,52,29,33,52,20,0,346,18,27,82,127,134,158,83,18,658,583,636,917,976,907,864,470,90,5437,11,16,43,56,53,69,53,17,317,76,119,149,175,138,211,236,145,1245,1275,2588,4873,4883,3661,3451,1631,406,22762
SED51401,102,79,91,55,12,0,430,6,67,75,90,79,66,10,0,400,119,538,581,455,396,285,110,26,2496,48,227,312,409,493,365,147,28,2025,490,1095,1029,1060,1131,734,239,56,5833,184,115,86,91,76,42,11,0,609,30,46,65,94,123,121,43,13,537,699,1255,1184,1245,1330,901,296,72,6982,15,14,29,21,34,43,27,6,191,508,670,693,808,781,723,507,204,4894,1398,2846,2969,3115,3207,2439,1107,334,17422
SED51504,1296,1121,665,356,167,40,4559,12,231,329,411,293,178,82,11,1550,653,2009,2616,2453,1519,915,468,151,10782,153,373,597,663,625,479,334,157,3385,364,484,454,444,464,326,165,97,2799,102,25,33,33,33,29,16,5,272,34,49,62,107,101,86,68,44,548,494,550,551,586,594,435,256,147,3621,14,45,56,52,38,62,41,22,333,98,216,192,154,137,181,184,182,1337,1497,4278,5637,5443,3866,2604,1539,706,25566
SED51605,608,354,194,63,28,0,1702,21,188,280,208,101,36,9,0,844,450,1761,1848,1164,559,281,80,12,6155,239,711,975,851,543,300,82,17,3712,849,1623,1639,1551,1062,544,200,42,7518,272,110,90,91,58,26,7,5,643,58,72,121,170,129,81,26,5,668,1184,1805,1846,1803,1241,652,238,52,8828,25,37,56,65,51,37,15,12,305,234,314,322,273,216,207,160,69,1796,2191,5242,5937,4711,2908,1571,605,170,23332
SED51706,132,103,92,75,18,0,500,8,65,117,122,130,66,28,4,543,84,575,756,678,495,377,124,25,3115,80,350,529,563,578,401,156,32,2689,851,1774,1773,1567,1423,833,318,59,8607,322,150,113,76,66,34,7,5,772,40,61,112,155,128,117,46,12,667,1217,1993,1998,1792,1613,992,375,71,10045,8,23,26,30,41,54,28,12,215,271,304,339,348,388,424,369,208,2653,1675,3381,3902,3630,3330,2389,1089,363,19759
SED51804,978,1167,922,598,270,102,4805,14,180,254,358,331,214,94,25,1477,807,2016,2023,2469,1883,1460,768,240,11672,108,245,367,563,626,590,458,154,3117,235,334,294,327,346,268,160,77,2055,62,24,24,23,35,13,17,5,205,20,26,41,86,94,107,93,27,494,327,386,363,441,476,391,269,109,2758,17,30,39,61,47,76,61,34,367,222,210,235,235,257,278,323,325,2081,1559,3773,4267,5303,4537,3603,2245,992,26270
SED51902,273,215,148,91,29,7,893,3,134,172,156,127,71,15,0,686,192,899,1022,790,535,364,134,22,3974,164,619,813,778,645,375,158,20,3578,946,2084,1849,1513,1286,793,265,46,8785,297,110,90,65,62,26,11,0,656,67,77,120,163,140,102,47,11,730,1309,2270,2058,1745,1488,915,325,64,10166,20,33,49,40,45,49,21,3,267,225,272,311,284,237,216,167,73,1783,1940,4342,4704,4012,3227,2079,847,193,21345
SED52006,127,157,154,97,42,3,662,7,57,89,127,132,106,38,12,566,135,509,667,623,581,519,219,45,3279,109,330,487,627,715,610,320,66,3266,635,1125,1186,1351,1323,1124,555,111,7413,219,79,63,63,82,64,17,8,592,49,51,87,112,161,168,90,15,739,904,1259,1335,1528,1569,1357,669,134,8748,18,22,25,41,56,71,56,13,294,178,180,208,211,251,375,364,191,1951,1350,2425,2933,3314,3441,3135,1705,460,18762
SED52102,377,165,99,55,25,6,995,15,91,141,95,75,45,11,4,471,186,986,1152,628,395,237,100,37,3719,191,520,741,605,464,306,115,25,2968,770,1543,1462,1224,1073,694,286,72,7126,273,112,89,64,50,22,7,0,608,52,65,109,137,132,87,36,14,635,1088,1725,1658,1424,1251,801,330,89,8369,12,39,30,38,32,36,27,4,211,278,336,396,264,271,249,160,74,2021,1783,3948,4494,3215,2587,1734,763,235,18766
SED52205,756,645,534,348,101,20,3012,12,237,258,288,279,160,47,4,1280,445,2069,1782,1413,1072,726,209,44,7760,153,536,670,696,683,498,171,20,3439,524,1120,1008,891,855,608,237,63,5307,177,64,62,55,53,26,13,3,462,46,70,91,103,153,109,56,20,640,747,1264,1162,1045,1066,744,303,80,6411,23,37,58,49,62,64,23,6,319,305,524,469,475,416,404,330,294,3223,1706,5260,5152,4614,4113,2933,1191,476,25443
SED52301,161,128,101,57,6,7,568,9,97,128,126,102,55,14,4,530,145,620,680,615,380,249,86,16,2794,115,354,479,500,501,330,116,28,2418,648,1360,1221,1292,1114,703,261,62,6652,281,165,109,86,77,38,16,4,781,33,49,79,110,107,81,33,13,514,966,1571,1413,1491,1297,827,307,77,7945,12,24,19,37,35,28,23,18,193,447,485,554,478,456,422,359,231,3433,1704,3250,3433,3383,2865,1970,912,369,17889
SED52404,448,386,290,148,34,3,1609,16,161,242,221,226,126,29,0,1021,378,1328,1602,1306,911,578,168,26,6306,127,497,749,749,755,584,175,36,3664,531,1203,1274,1087,1066,800,295,47,6311,126,54,55,36,51,51,16,0,384,39,53,113,139,118,122,74,13,674,699,1307,1440,1263,1236,976,385,66,7365,11,37,55,57,43,69,34,8,311,133,174,210,211,186,186,133,77,1319,1388,3783,4744,4193,3652,2659,950,218,21590
SED52505,1433,588,327,178,31,0,3433,19,242,351,239,163,89,16,3,1119,563,2864,3419,1552,913,510,123,29,9967,220,929,1260,936,751,452,118,20,4685,659,1509,1440,1072,900,561,188,31,6361,214,100,82,59,51,26,10,3,548,59,78,129,134,126,99,35,5,669,931,1693,1656,1263,1081,687,232,43,7572,21,51,94,66,57,38,14,9,347,232,263,312,185,176,179,102,48,1499,2046,6860,8525,4833,3465,2116,635,149,28622
SED52604,383,403,326,144,34,6,1648,22,135,196,225,184,75,22,3,874,459,1236,1316,1242,880,474,143,14,5754,238,444,651,863,863,490,169,34,3743,659,1027,1090,1158,1307,828,253,51,6364,211,67,52,40,64,46,14,0,491,52,52,98,156,187,120,42,5,718,925,1142,1239,1350,1558,996,308,59,7575,23,27,36,56,48,46,34,8,273,229,259,280,278,294,278,293,280,2190,1926,3565,4098,4421,4153,2502,991,401,22053
SED52702,311,413,302,233,112,18,1514,9,94,217,253,226,138,62,5,1007,265,651,1175,1297,888,839,359,87,5565,109,276,535,735,766,670,379,101,3570,501,807,962,1172,1131,791,399,107,5874,197,47,50,50,43,40,18,0,456,25,17,67,136,161,146,72,29,650,722,880,1082,1356,1332,975,488,140,6974,3,16,25,38,56,72,55,14,288,133,112,165,201,227,258,288,193,1575,1255,2154,3504,4288,3794,3193,1753,554,20497
