SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED50106,559,410,509,465,460,450,337,192,106,3493,6798,4196,4154,4214,4881,5284,4591,2784,1144,38047
SED50202,1170,660,752,633,545,407,259,176,103,4712,11095,6201,7641,7013,5728,5271,4152,2166,760,50027
SED50304,449,336,601,445,385,336,220,158,65,2993,6913,4410,8697,7312,5239,4593,3762,2451,1126,44493
SED50405,1088,493,586,566,418,278,170,130,57,3788,14727,6847,9165,8776,6426,4486,3015,1562,333,55335
SED50502,696,404,451,421,385,356,231,105,37,3100,8102,4970,5862,6048,5435,5258,3942,1931,724,42268
SED50605,326,258,209,268,288,250,219,121,56,1983,7569,5513,4415,5681,5700,5500,4964,2717,1166,43233
SED50702,645,536,834,723,638,491,291,193,129,4478,7835,5567,9421,7581,5995,5328,3858,2079,937,48593
SED50805,405,257,230,255,329,263,191,179,150,2261,6903,4502,4000,4860,5506,4766,3753,2363,1381,38031
SED50906,688,508,671,587,556,441,297,178,107,4031,8130,5091,5419,5611,5852,5408,4365,2390,1015,43276
SED51004,622,441,332,388,423,312,153,73,26,2759,8965,6325,5425,5791,6983,5664,3120,1427,434,44131
SED51104,1056,562,549,560,510,294,173,132,59,3891,13380,7014,8105,7821,7054,4785,3414,2046,750,54374
SED51205,715,520,715,545,388,303,205,147,87,3622,9683,6587,10074,8141,5600,4901,4054,2124,768,51929
SED51304,419,218,161,242,301,188,203,124,47,1904,8532,4495,3066,5538,5803,4876,5257,2782,848,41192
SED51401,863,548,720,718,822,788,579,361,133,5544,6358,3376,4110,4381,5227,6029,5152,2633,895,38163
SED51504,359,243,236,225,243,207,174,110,58,1854,8621,5294,4873,6190,6223,4729,3613,2393,1304,43222
SED51605,620,418,385,409,392,268,184,109,48,2831,10059,6081,6764,7526,6738,4816,3113,1444,450,46997
SED51706,758,402,376,403,470,424,379,237,142,3587,8706,4471,4710,5330,5559,5781,4841,2527,815,42744
SED51804,390,379,277,293,344,311,273,215,200,2689,7248,5785,4270,4687,5994,5431,4638,3202,1488,42737
SED51902,758,357,412,490,458,342,215,112,43,3185,10782,5425,6058,6414,6096,5324,3821,1757,461,46134
