SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SED50106,0,0,0,9,27,30,273,128,35,24,24,29,9,3,6,597,9,3,5,3,10,6,4,0,3,0,0,0,0,0,0,45,0,0,4,6,4,3,9,3,0,0,0,4,0,0,3,37,0,5,10,20,34,44,190,83,14,14,16,28,0,0,3,467,0,3,3,0,0,6,3,7,0,0,10,0,0,0,0,38,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,19,0,0,0,0,4,11,45,47,15,0,5,0,3,0,5,148,106,232,1007,627,390,221,301,129,14,8,18,20,7,0,109,3185,0,0,5,33,26,16,28,9,7,0,0,7,3,0,0,143,0,0,0,3,0,7,8,7,0,0,3,5,0,0,15,41,17,29,66,60,69,51,166,95,35,16,25,17,9,42,36,741,193,499,1309,941,842,572,1369,710,156,103,131,159,53,63,303,7393
SED50202,0,0,3,20,60,43,422,492,88,44,39,33,26,3,21,1297,3,0,0,4,19,6,8,0,0,4,0,0,0,0,0,48,0,0,7,24,26,22,89,22,4,5,0,0,0,0,3,222,0,0,0,35,38,41,214,92,8,7,11,16,4,5,6,477,0,5,0,0,3,20,96,136,8,10,3,3,12,0,5,291,0,0,0,0,3,7,7,16,0,0,5,0,0,0,0,40,0,0,0,5,19,28,166,83,19,21,14,12,5,4,6,385,48,182,1354,940,723,347,367,166,15,16,16,16,3,9,117,4316,0,7,7,18,22,15,28,14,5,0,3,4,0,0,0,125,0,0,0,5,9,16,14,11,0,4,3,10,3,0,0,88,12,29,138,125,152,179,1112,516,91,52,64,63,13,15,55,2620,114,466,1787,1504,1692,1215,4175,2883,387,280,290,308,121,66,334,15617
SED50304,0,0,3,10,40,46,128,137,31,34,24,26,9,0,3,507,10,7,10,7,79,29,19,14,0,0,0,0,0,0,6,190,0,5,13,19,43,33,79,23,0,10,0,4,8,0,6,238,0,0,5,28,64,113,193,66,17,10,0,0,8,6,11,525,0,0,3,9,22,8,31,20,8,8,7,33,14,0,0,171,0,0,0,0,16,19,14,53,8,6,10,11,0,0,4,140,0,0,0,9,18,20,49,51,12,9,6,5,10,4,7,195,25,81,370,298,334,198,412,216,38,25,25,27,25,0,41,2119,0,0,10,11,14,19,46,27,3,3,4,4,4,3,9,157,0,0,0,77,212,99,101,69,24,21,20,10,7,0,20,659,32,35,179,156,262,513,850,721,250,256,292,503,154,10,63,4274,187,911,1582,1179,1824,1898,3747,3299,770,682,764,1036,434,61,411,18771
SED50405,0,0,0,7,39,51,632,677,104,89,62,71,28,13,16,1794,0,0,0,6,15,4,26,15,0,0,0,0,0,0,0,61,3,0,0,12,14,19,93,33,0,10,9,0,0,0,0,199,0,0,9,26,59,109,665,279,55,31,34,38,19,8,9,1340,0,0,0,0,4,4,27,25,0,6,0,0,3,0,0,82,0,0,0,0,0,0,8,9,0,0,0,3,0,0,4,31,0,0,0,0,7,12,48,41,8,4,8,9,7,5,3,161,37,113,899,767,756,494,1730,1093,64,57,62,57,18,0,93,6258,4,0,9,11,16,29,48,15,5,7,5,0,5,4,3,165,0,0,0,0,0,8,46,12,4,0,4,10,10,0,6,99,8,18,90,88,130,215,966,517,90,71,62,47,28,14,39,2361,78,249,1169,1141,1477,1438,6524,4666,552,435,468,422,214,93,306,19220
SED50502,0,0,0,16,76,97,172,218,39,33,27,30,15,0,11,746,5,3,13,10,74,21,14,4,0,3,4,0,0,0,0,158,3,0,12,45,50,18,42,8,6,0,3,3,0,0,0,198,0,0,8,15,54,57,147,30,0,4,6,4,0,3,8,340,0,3,5,15,37,14,35,33,8,4,6,7,0,0,4,166,0,0,0,0,3,3,11,24,5,0,0,8,0,0,3,69,0,0,0,0,34,33,79,34,9,4,11,7,4,0,6,225,38,128,701,444,398,197,364,168,19,9,13,15,8,8,45,2570,0,0,3,5,9,22,28,13,3,4,0,3,3,0,0,102,0,0,0,111,313,281,227,133,34,25,17,35,24,4,52,1267,25,46,191,231,257,532,719,327,51,51,63,42,13,7,60,2622,145,412,1368,1340,2113,2111,3499,1990,308,251,314,304,147,52,319,14678
SED50605,0,0,5,12,48,15,56,96,18,9,13,14,12,3,11,318,4,0,0,9,35,7,13,6,0,0,0,0,4,0,0,81,4,4,24,76,232,168,251,101,18,18,16,37,16,3,9,981,0,3,15,76,106,127,293,86,19,19,15,19,25,4,7,816,0,0,3,6,76,83,75,23,0,0,3,5,8,0,0,291,0,0,0,0,26,30,27,36,4,5,3,8,4,0,3,148,0,0,0,9,13,18,63,29,6,7,4,7,10,0,6,173,40,137,616,504,585,319,574,329,30,29,42,30,26,18,46,3322,0,8,4,27,23,30,56,36,8,11,5,8,7,11,9,239,0,0,0,50,50,19,24,15,5,16,13,6,3,5,6,206,30,34,139,194,308,280,413,292,43,59,50,77,72,3,24,2016,152,459,1198,1507,3249,2556,3750,2193,383,383,375,490,359,87,257,17396
SED50702,0,0,0,13,70,50,286,436,77,66,58,95,18,3,26,1208,12,14,9,10,60,17,13,9,0,0,0,0,3,0,6,143,6,0,8,59,89,64,113,53,7,8,21,12,13,0,8,469,0,0,6,22,52,50,168,73,9,0,15,19,5,7,8,428,0,0,0,21,24,27,100,63,17,9,24,39,21,0,8,351,0,0,0,0,5,18,43,85,13,11,16,14,0,0,4,213,0,0,0,3,29,41,96,57,16,10,13,6,10,3,6,291,37,137,755,466,354,212,355,251,25,16,18,36,16,3,65,2756,0,3,3,15,9,22,29,29,3,9,8,6,0,3,6,154,0,0,0,45,70,44,103,67,19,10,12,14,7,0,24,421,18,48,183,176,240,337,905,576,196,161,180,222,84,32,70,3410,158,446,1341,1219,1740,1655,4609,3835,792,693,793,998,389,108,419,19185
SED50805,0,0,0,0,18,9,35,29,0,3,6,3,7,0,7,132,5,3,0,10,28,8,3,4,3,0,0,0,0,0,0,72,0,3,16,17,26,23,28,13,3,11,5,5,0,0,4,175,0,4,10,36,78,91,175,44,7,10,10,6,4,3,3,481,0,0,0,6,10,7,6,3,3,0,0,4,0,0,0,45,0,0,0,0,5,0,6,10,0,0,0,0,0,0,0,19,0,0,0,4,10,4,27,24,3,10,5,0,5,0,3,104,67,138,617,545,595,389,794,355,55,39,33,29,21,7,63,3753,0,0,16,18,36,27,45,31,8,0,7,9,6,6,10,217,0,0,0,13,14,0,6,3,0,0,0,0,0,0,4,41,29,38,157,124,184,154,306,213,31,44,25,38,24,4,32,1405,182,477,1149,1067,1471,1068,2021,1122,160,165,157,158,123,37,206,9555
SED50906,0,0,0,11,29,43,254,215,39,36,39,48,30,4,19,758,3,4,4,5,22,6,6,6,0,0,0,0,0,0,3,63,0,7,6,5,9,3,22,5,0,4,7,0,4,0,0,61,0,0,10,21,47,59,431,186,20,40,16,32,15,7,18,900,0,0,3,0,5,4,19,12,7,5,0,0,0,4,0,58,0,0,0,0,0,4,3,18,4,10,11,30,8,0,0,93,0,0,0,0,6,6,43,12,8,3,4,9,0,0,0,99,69,174,729,454,346,205,481,239,23,12,13,37,21,0,90,2889,0,0,11,24,12,3,25,14,8,0,0,8,0,7,4,111,0,0,0,5,7,17,17,18,0,3,0,0,0,0,5,81,17,25,80,75,89,87,325,173,31,50,24,45,27,3,31,1093,164,438,1023,825,928,709,2278,1503,228,248,229,325,157,42,284,9390
SED51004,0,0,0,7,59,34,100,119,17,12,16,27,8,4,4,399,0,0,3,11,90,35,17,27,0,3,0,3,3,0,0,188,0,0,5,13,36,49,68,19,6,5,3,7,6,0,3,226,0,0,5,28,51,192,1131,603,72,74,74,76,41,25,5,2382,0,0,0,9,3,0,16,4,0,0,0,5,5,0,0,48,0,0,0,0,0,11,7,10,0,0,0,3,0,0,0,39,0,0,0,5,10,12,44,41,5,7,0,8,0,0,0,143,19,95,622,719,1256,1203,3716,1705,160,121,116,112,66,14,114,10035,0,0,8,20,12,19,48,43,7,8,0,8,3,0,5,186,0,0,0,5,32,29,35,28,6,6,0,6,0,0,6,148,3,14,101,130,291,316,735,311,53,48,49,50,24,0,21,2149,64,192,901,1193,2440,2479,7107,3750,425,371,382,423,223,65,231,20239
