SED_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SED50106,2167,3043,2652,2461,1841,1649,1111,2211,252,17393
SED50202,1558,2533,3641,2978,2669,1844,2771,2808,430,21231
SED50304,2714,6078,3191,2849,3147,2044,1354,2256,378,24004
SED50405,2560,4264,4864,3957,3354,2286,2539,2724,467,27007
SED50502,2050,3965,3261,2642,2739,1738,1656,2135,369,20551
SED50605,3456,7737,1999,1976,2809,1836,633,1136,302,21879
SED50702,2886,5441,3926,3002,3333,1878,2175,2265,472,25383
SED50805,3367,6534,1963,2026,2507,1536,538,988,228,19690
SED50906,1785,3711,3442,2490,2221,1774,1754,2630,315,20118
SED51004,2833,4605,3959,3194,3370,2151,1317,2036,395,23858
SED51104,2440,3745,4712,3854,3297,2393,2100,2755,458,25753
SED51205,1943,5024,4023,3602,2998,1919,2485,3155,520,25668
SED51304,3485,6744,2248,2025,2695,1643,543,1012,278,20685
SED51401,3757,1863,2557,1573,1594,1013,2083,2137,304,16888
SED51504,3851,8554,1678,2275,2376,1630,585,1499,280,22720
SED51605,2938,5318,4357,2951,3578,2122,1696,2359,405,25719
SED51706,2080,2721,3848,2210,2145,1587,2304,2559,344,19807
SED51804,4178,8862,1066,2116,2032,1394,331,742,332,21062
SED51902,2712,3510,4479,2655,3241,1843,2260,2052,438,23189
SED52006,1668,2552,3014,2317,1824,1631,1576,1603,285,16471
SED52102,1962,3004,3693,2308,3026,1699,2338,2024,414,20466
SED52205,3060,6991,2976,2728,2148,1391,943,1574,351,22154
SED52301,1793,2991,2869,2376,2007,1626,1483,1972,263,17379
SED52404,2972,5503,3410,2447,2855,1669,858,1442,298,21447
SED52505,3429,7929,3980,3385,4117,2307,1866,2050,480,29544
SED52604,2774,4882,3369,2666,3020,1885,970,1652,355,21582
SED52702,2822,4694,2838,2004,2481,1330,1033,1270,288,18753
SED52803,1986,3227,5073,1706,2058,1132,4644,2027,364,22212
SED52903,2993,4578,2436,2692,2279,1086,1169,1782,441,19458
SED53004,2552,5351,3113,2361,3139,1691,897,1428,251,20777
SED53105,2157,4017,4011,2857,3044,1907,2241,2458,401,23091
SED53204,2967,4863,3955,3063,3751,2418,1675,2359,376,25425
SED53306,1594,2450,3123,2648,1766,1729,1842,2039,302,17480
SED53402,3209,7504,2663,2649,2981,1608,1044,1593,336,23581
SED53502,2290,3927,3681,2834,3042,1934,2017,2229,435,22397
SED53602,1461,2587,3200,3204,2152,1833,2135,3414,498,20480
SED53701,3830,1942,2635,1472,1822,964,1951,2383,326,17330
SED53802,2333,4707,3380,2849,3079,1956,1514,2228,409,22444
SED53902,3070,7052,2415,2505,2830,1691,876,1502,321,22263
SED54006,1876,2083,3612,2071,1842,1417,2301,2558,364,18129
SED54104,3798,11181,1318,2397,2426,1512,432,1029,339,24442
SED54203,2517,2888,4228,1552,1640,765,3472,2294,407,19757
SED54304,4999,12280,3157,3454,3510,1879,1014,1825,469,32584
SED54403,2988,4700,9264,2201,2810,1207,6057,3483,652,33374
SED54505,2638,7218,2284,2253,2684,1575,904,1417,311,21292
SED54605,1561,2358,3223,2634,1940,1338,1544,1916,300,16815
SED54701,4258,2112,2551,1473,1691,1100,1836,2671,370,18062
SED54804,3772,8129,2889,2633,2943,1788,770,1322,383,24629
SED54905,3451,8391,1934,2353,2696,1660,702,1189,344,22699
SED55005,2355,4805,3833,2908,3321,2167,2224,2499,424,24547
SED55102,2723,3353,4096,2987,3228,2034,2193,2186,463,23264
SED55202,1416,2842,3665,2819,2606,1764,2473,2821,411,20807
SED55306,2818,3575,3489,2515,2113,1939,1218,2516,338,20517
SED55405,2837,7557,3119,3400,2937,1825,1545,2404,458,26070
SED55504,2642,4114,4446,3201,3414,2179,1768,2502,456,24733
SED55605,2201,3262,4441,3290,2595,2194,2000,2433,437,22857
SED55706,3758,3084,2928,2096,1728,1437,1407,2971,323,19736
SED55802,2559,3890,4463,3811,3619,2463,2667,2711,449,26634
SED55905,2081,4566,3131,2341,2626,1626,1260,1724,356,19713
SED59797,96,324,627,58,45,6,172,344,23,1697
