SED_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED50106,54,81,145,140,117,129,56,5,0,724,58,51,100,107,119,98,43,21,6,598,1306,1263,2927,3258,3841,3500,1108,171,18,17393
SED50202,55,115,262,214,166,113,36,0,0,971,60,137,337,304,252,168,46,5,0,1307,1138,2146,5134,4950,3893,3119,775,74,9,21231
SED50304,44,79,286,217,162,135,56,7,0,992,27,98,315,275,189,117,40,4,7,1075,818,2022,7177,5938,4082,2946,920,98,8,24004
SED50405,65,117,324,255,183,108,18,7,0,1069,54,123,337,317,222,145,30,3,0,1229,1695,2453,7097,7014,5185,2972,538,33,3,27007
SED50502,38,79,232,202,169,114,41,3,0,883,46,105,276,278,226,168,35,6,0,1144,1012,1844,4459,4690,4194,3382,899,69,3,20551
SED50605,32,73,123,134,134,109,53,4,0,677,46,91,187,214,178,152,53,25,3,951,1363,2153,3636,4700,4723,3766,1338,197,14,21879
SED50702,31,108,289,242,160,122,51,3,0,1004,29,123,387,285,218,143,42,3,7,1231,952,2446,7345,5784,4414,3375,957,103,7,25383
SED50805,40,66,131,128,130,95,42,0,0,632,45,48,107,181,191,135,35,12,4,762,1263,1656,3412,4137,4642,3456,1011,113,9,19690
SED50906,45,102,161,161,190,136,35,3,0,833,51,65,151,161,147,102,41,9,3,732,1393,1721,3828,4172,4503,3476,946,83,10,20118
SED51004,71,136,232,210,212,154,24,8,0,1048,70,113,198,203,265,168,38,9,0,1072,1658,2383,4284,4726,5875,4094,776,57,0,23858
