SED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED50106,313,4570,4882,4993,718,5707,1910,189,2101,1697,74,1772,737,38,777,408,19,425,10060,5605,15664
SED50202,382,5376,5757,5205,873,6082,2960,260,3218,2383,152,2536,1144,88,1233,819,53,863,12892,6800,19689
SED50304,392,6835,7224,5504,994,6494,2710,281,2986,2173,121,2299,716,41,753,302,6,312,11795,8273,20067
SED50405,586,3549,4144,5146,639,5787,3523,202,3726,3572,142,3713,1559,67,1627,784,41,818,15167,4644,19814
SED50502,354,4199,4551,4526,651,5179,2580,208,2789,2330,126,2458,911,51,961,603,36,639,11305,5272,16578
SED50605,296,3480,3774,5142,477,5613,2570,190,2758,2816,101,2915,1078,27,1103,404,19,423,12299,4294,16592
SED50702,492,6521,7014,5511,1212,6726,2697,390,3089,2105,195,2301,815,72,885,459,24,483,12085,8420,20502
SED50805,299,4610,4908,4459,607,5065,2210,139,2346,2344,60,2403,813,33,843,210,0,213,10334,5452,15784
SED50906,423,5490,5915,5331,861,6195,2318,221,2535,2067,90,2164,859,41,897,380,27,405,11380,6735,18108
SED51004,415,2762,3175,4757,448,5209,3021,131,3153,2975,78,3055,1111,37,1149,459,10,472,12736,3479,16219
SED51104,602,4138,4739,5583,607,6186,3551,173,3730,3285,127,3406,1429,63,1497,681,28,712,15135,5136,20275
SED51205,365,5072,5438,5059,912,5966,3138,424,3563,2767,234,3004,1177,95,1271,744,50,794,13253,6784,20034
SED51304,267,2664,2930,4871,330,5204,2354,73,2434,3151,47,3201,1080,15,1096,302,9,311,12033,3140,15169
SED51401,403,4900,5302,4865,1043,5908,1627,235,1860,1324,177,1499,634,99,727,369,35,405,9223,6474,15701
SED51504,294,4122,4416,4531,578,5106,2398,173,2577,3129,71,3201,1121,21,1145,268,3,272,11738,4968,16706
SED51605,407,3546,3950,4741,588,5325,3021,150,3172,3292,81,3372,1193,55,1249,479,14,497,13135,4429,17565
SED51706,465,4135,4598,5594,699,6296,2341,149,2489,2262,109,2374,966,47,1009,438,24,462,12062,5165,17227
SED51804,369,4931,5297,4995,758,5749,2198,217,2409,2420,116,2529,1049,50,1099,277,8,287,11303,6074,17376
SED51902,397,2527,2923,4881,437,5314,2719,109,2833,2838,65,2904,1276,55,1327,797,18,815,12909,3210,16125
SED52006,529,4164,4687,6463,592,7057,2172,95,2270,1946,71,2017,770,31,793,309,15,317,12189,4959,17142
SED52102,367,3788,4163,4473,570,5047,2525,146,2674,2327,100,2430,1038,39,1077,538,31,573,11273,4678,15954
SED52205,482,6452,6930,5489,1170,6655,2440,330,2771,1946,148,2091,601,45,644,235,24,254,11192,8156,19350
SED52301,455,4335,4791,4416,929,5348,2036,265,2301,1700,154,1858,757,87,850,437,60,494,9810,5836,15645
SED52404,429,3016,3447,5062,387,5447,2607,124,2735,2798,54,2855,924,19,939,284,12,296,12110,3619,15729
SED52505,344,2190,2536,4830,362,5195,3702,115,3822,4361,80,4444,1576,35,1611,706,16,723,15522,2804,18324
SED52604,360,3019,3379,4873,495,5371,2538,164,2701,2498,78,2577,910,36,945,329,17,344,11501,3812,15318
SED52702,329,2764,3088,4973,337,5313,2174,63,2243,2310,45,2352,1018,13,1031,398,12,410,11202,3240,14440
SED52803,297,4417,4712,3275,1135,4411,1741,286,2023,1610,208,1816,760,97,851,440,37,472,8117,6175,14293
SED52903,279,4015,4291,2265,4265,6532,1433,575,2007,1362,505,1864,824,259,1089,913,138,1054,7075,9760,16832
SED53004,330,3136,3473,5069,388,5459,2574,80,2659,2760,40,2799,950,17,970,302,8,311,11987,3681,15662
SED53105,424,3890,4315,4424,662,5082,2951,199,3147,3055,107,3166,1208,59,1261,624,25,653,12689,4941,17626
SED53204,289,2354,2643,4058,314,4375,3049,84,3135,3694,71,3759,1379,24,1401,688,19,712,13163,2869,16033
SED53306,480,5896,6374,5663,818,6479,2522,198,2720,2048,105,2153,874,47,917,438,32,469,12018,7093,19118
SED53402,423,6383,6806,5237,1039,6275,2544,273,2825,2209,122,2336,595,40,642,211,14,230,11228,7874,19103
SED53502,426,5657,6084,5312,835,6146,2704,218,2918,2319,111,2431,925,44,977,485,34,523,12170,6904,19079
SED53602,255,4710,4963,4262,786,5050,2664,304,2968,2318,171,2491,1192,79,1276,960,47,1010,11652,6094,17753
SED53701,470,4450,4922,5113,1417,6530,1684,251,1935,1388,216,1608,705,85,789,385,47,431,9749,6469,16212
SED53802,323,4876,5198,5331,800,6137,2777,235,3012,2371,124,2495,920,53,971,480,25,511,12207,6109,18316
SED53902,305,6328,6634,5189,913,6109,2323,244,2568,2093,120,2213,659,36,699,228,17,235,10799,7659,18455
SED54006,485,3833,4315,5558,652,6213,2197,161,2357,2079,104,2185,941,57,1001,518,29,547,11784,4834,16616
SED54104,355,6046,6408,5343,1006,6347,2206,304,2514,2367,144,2510,923,42,971,232,10,240,11430,7553,18986
SED54203,206,3263,3466,1822,4019,5842,782,395,1178,762,424,1181,400,171,575,309,124,436,4282,8395,12678
SED54304,566,9950,10516,7006,2009,9018,2441,615,3053,1916,201,2117,496,36,533,124,16,138,12544,12828,25374
SED54403,416,4624,5047,3045,2049,5093,1932,464,2396,2133,376,2516,1093,182,1269,681,102,784,9305,7799,17106
SED54505,231,2756,2986,4201,335,4537,2710,102,2815,3433,60,3490,1330,35,1363,539,8,549,12448,3300,15743
SED54605,436,5896,6329,5369,778,6155,2166,154,2323,1646,76,1727,660,39,700,319,13,336,10605,6962,17568
SED54701,363,4803,5158,4561,1049,5608,1691,247,1942,1520,167,1689,715,108,822,376,51,418,9228,6417,15647
