SED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SED50106,406,103,62,92,88,25,41,31,1852,17,0,0,0,0,0,0,0,0,90,108,4613,1102,710,156,103,131,159,53,63,303,7393
SED50202,2008,293,207,194,224,93,44,91,6942,12,8,7,0,0,0,0,0,0,20,45,7537,3415,2883,387,280,290,308,121,66,334,15617
SED50304,2404,640,590,639,901,378,36,275,12481,5,0,0,0,4,0,3,0,0,9,23,8490,2826,3299,770,682,764,1036,434,61,411,18771
SED50405,2070,332,236,272,251,137,51,84,6999,3,7,5,0,0,0,0,4,0,13,37,6581,5491,4666,552,435,468,422,214,93,306,19220
SED50502,1365,237,192,252,258,120,35,180,8013,10,0,0,0,0,0,0,0,0,7,16,8330,2662,1990,308,251,314,304,147,52,319,14678
SED50605,1402,287,273,259,366,262,42,121,8960,5,0,6,0,0,0,0,0,0,9,18,10402,2468,2193,383,383,375,490,359,87,257,17396
SED50702,2726,655,558,636,810,306,64,222,11343,3,5,5,0,0,0,0,0,0,40,59,7506,3656,3835,792,693,793,998,389,108,419,19185
SED50805,452,63,88,66,92,65,9,60,2554,3,0,0,0,0,0,0,0,0,3,10,6013,1410,1122,160,165,157,158,123,37,206,9555
SED50906,857,150,174,153,217,102,26,55,3292,4,0,0,0,3,0,0,0,0,80,88,4558,1807,1503,228,248,229,325,157,42,284,9390
SED51004,1057,150,155,160,198,101,15,57,4866,5,0,6,0,0,0,0,0,0,15,29,9037,5334,3750,425,371,382,423,223,65,231,20239
SED51104,1344,207,155,197,225,107,55,92,5416,24,5,0,0,0,0,0,0,0,29,60,8498,6499,4937,547,404,413,436,235,105,426,22500
