SED_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
SED50106,252,442,1191,1213,1439,1169,282,29,3,6023,380,180,252,263,268,436,299,67,11,2163,14,23,55,62,71,108,32,5,4,381,15,26,25,25,38,24,12,5,0,171,663,669,1519,1566,1820,1739,630,110,22,8737,31,27,57,35,37,37,11,0,0,239,56,15,33,11,15,22,16,0,0,173,89,49,89,50,50,53,25,0,0,406,752,712,1612,1614,1872,1799,653,113,22,9144,460,151,360,286,289,556,1469,1078,428,5073,71,58,150,107,138,134,115,78,39,880,1280,917,2116,2007,2299,2486,2234,1267,484,15094,106,307,602,675,996,694,124,10,0,3511,506,253,663,956,936,949,322,36,5,4606,17,28,117,53,69,106,23,10,0,422,18,12,20,19,24,13,13,3,0,115,644,594,1410,1698,2020,1756,480,56,5,8659,12,25,17,17,17,15,0,0,0,111,51,10,31,21,24,41,8,0,0,189,66,37,49,37,41,55,5,0,0,297
SED50202,193,700,2132,2220,1627,1239,245,12,0,8368,329,331,469,366,298,317,168,36,0,2309,30,28,91,72,68,79,15,0,0,383,16,33,74,51,37,31,6,4,0,248,566,1092,2767,2710,2032,1660,429,54,3,11303,59,106,219,128,128,80,15,0,0,743,96,42,51,24,28,26,8,0,0,279,157,145,271,152,161,104,24,0,0,1016,726,1235,3038,2862,2188,1767,453,54,3,12322,674,229,375,335,427,620,1395,880,252,5184,111,113,262,213,197,152,96,84,52,1271,1504,1578,3674,3406,2817,2540,1943,1016,306,18781,81,458,1148,1048,936,703,109,6,0,4481,458,523,968,1071,799,666,218,16,0,4712,17,40,195,94,95,79,19,0,0,533,14,37,57,36,30,17,9,3,0,199,571,1057,2368,2244,1860,1463,342,24,0,9925,46,76,88,95,98,57,5,0,0,475,125,54,119,100,71,45,5,0,0,521,169,127,208,203,172,102,11,0,0,992
SED50304,77,468,2649,2503,1687,1088,252,17,4,8734,298,412,727,483,323,337,203,41,0,2828,7,23,90,79,47,59,15,4,0,320,5,35,74,51,32,11,8,4,0,218,384,940,3538,3112,2081,1493,474,70,5,12102,22,33,93,92,88,71,7,0,0,410,58,31,41,31,22,28,6,0,0,218,80,67,134,118,110,106,16,0,0,629,460,1008,3675,3227,2187,1597,494,68,5,12732,406,147,238,265,282,517,1073,940,428,4299,35,87,215,179,130,96,70,53,17,886,904,1243,4126,3674,2601,2210,1636,1068,444,17910,40,451,2060,1422,1092,699,137,4,0,5909,379,578,1353,1243,818,686,275,17,3,5357,9,29,175,124,63,45,28,0,0,467,9,24,58,34,30,18,3,0,0,170,434,1082,3639,2821,2004,1451,441,30,3,11905,14,18,69,60,43,28,6,0,0,240,68,27,66,70,39,44,9,0,0,328,82,45,137,127,86,76,13,0,0,560
SED50405,236,770,2901,3099,2198,1232,187,10,0,10622,556,342,422,323,260,207,111,20,0,2239,19,39,151,126,125,96,22,0,0,578,18,27,104,83,32,19,0,0,0,286,830,1177,3573,3631,2612,1557,323,29,3,13732,62,72,116,87,78,68,3,0,0,486,150,38,35,14,11,16,9,3,0,281,208,115,150,104,91,78,15,3,0,763,1043,1294,3724,3729,2698,1634,342,33,3,14497,705,169,238,214,251,382,953,654,130,3689,68,57,171,152,93,62,68,47,23,745,1815,1518,4134,4094,3042,2079,1359,734,153,18927,109,578,1653,1636,1399,690,65,5,0,6138,723,624,1517,1574,1054,628,133,5,0,6255,23,45,291,143,90,79,11,3,0,691,7,25,68,32,31,19,5,0,0,189,865,1274,3524,3390,2581,1414,223,6,0,13274,45,49,77,72,46,25,3,0,0,309,172,62,114,111,52,35,7,0,0,551,214,112,188,182,101,61,8,0,0,856
SED50502,137,523,1769,1982,1677,1338,275,13,0,7702,334,387,434,366,350,368,201,31,3,2462,22,31,53,67,54,55,21,0,0,304,11,33,66,39,39,20,0,6,0,207,494,968,2323,2449,2118,1781,504,45,3,10682,29,78,116,96,74,74,10,0,0,480,77,44,16,20,15,30,15,0,0,223,106,127,137,119,94,103,26,0,0,703,603,1091,2458,2562,2211,1880,528,42,3,11384,565,212,271,285,301,573,1259,790,245,4492,45,75,148,130,101,89,78,49,17,735,1209,1382,2879,2984,2605,2542,1862,882,264,16608,48,348,1182,1070,1149,800,134,4,0,4733,443,491,778,1041,832,732,241,19,0,4578,20,31,145,107,72,53,19,0,0,437,18,13,30,23,22,12,5,0,0,128,517,880,2129,2240,2076,1607,400,27,0,9871,22,38,59,48,52,37,0,0,0,271,87,52,65,69,53,41,6,0,0,367,109,95,125,114,106,81,8,0,0,637
SED50605,108,457,1393,2033,2014,1493,369,40,0,7902,522,596,380,259,272,365,371,86,5,2862,23,31,39,41,52,61,23,3,0,273,0,14,44,30,18,16,14,5,0,142,656,1094,1850,2364,2353,1939,773,140,13,11176,16,40,68,58,65,64,19,3,0,327,109,57,31,10,14,25,17,0,0,263,123,97,105,63,73,92,31,6,0,592,780,1188,1955,2434,2428,2025,805,147,13,11766,617,222,187,160,160,474,1468,1134,416,4838,22,30,72,76,66,48,52,22,21,400,1424,1438,2212,2665,2648,2548,2318,1301,448,16998,37,369,1014,1018,1217,835,145,5,0,4643,637,646,635,1184,1075,911,383,48,0,5528,20,28,112,108,60,74,26,7,0,429,11,15,20,20,16,11,10,0,0,104,708,1059,1784,2333,2365,1830,564,61,4,10701,7,16,35,37,52,24,0,0,0,173,99,40,40,56,57,31,11,0,0,333,106,53,72,93,105,57,15,0,0,509
SED50702,125,661,2926,2593,1891,1356,277,22,0,9864,323,501,762,424,302,381,230,40,4,2963,13,30,120,101,111,91,25,3,0,493,6,32,112,59,43,20,7,0,3,286,465,1227,3926,3174,2352,1848,535,65,10,13602,26,71,132,106,98,90,10,0,0,533,67,48,44,17,32,30,8,4,0,252,94,122,176,128,126,116,20,4,0,786,556,1355,4096,3306,2480,1964,563,71,10,14385,499,235,329,301,347,592,1153,791,290,4549,58,149,333,298,274,187,104,81,54,1537,1115,1739,4765,3907,3097,2744,1814,939,351,20472,56,543,2012,1366,1234,781,165,5,0,6166,417,589,1143,1092,742,657,225,24,0,4896,20,44,204,130,64,74,22,3,0,554,4,33,66,19,27,12,0,0,0,161,494,1211,3425,2605,2063,1528,419,37,0,11781,23,30,90,59,60,47,5,0,0,311,56,51,90,72,52,32,9,0,0,369,85,85,180,131,114,78,12,0,0,682
SED50805,109,327,1255,1691,1931,1280,257,20,3,6871,441,417,274,209,245,341,270,53,0,2266,28,16,41,62,58,72,25,4,0,301,3,5,21,24,27,14,4,0,0,93,577,775,1600,1980,2259,1704,555,78,6,9530,19,29,40,40,49,41,8,0,0,229,95,33,25,16,12,24,13,0,0,207,112,58,61,51,60,67,26,3,0,438,689,834,1655,2035,2313,1772,578,86,6,9962,469,103,107,96,182,399,1106,891,470,3816,21,15,70,63,67,56,55,45,35,423,1180,949,1834,2187,2561,2228,1741,1014,511,14205,42,298,1022,868,1236,802,128,3,0,4406,610,547,630,1171,1081,872,297,33,6,5238,22,23,145,101,53,69,31,4,0,441,8,3,15,11,13,8,3,0,0,74,684,883,1811,2153,2382,1753,455,34,7,10164,4,15,22,24,28,27,5,0,0,129,110,26,28,35,39,32,8,0,0,276,117,41,47,62,66,58,12,0,0,409
SED50906,201,614,1546,1759,1791,1385,291,11,0,7602,415,199,312,225,260,293,222,39,0,1974,25,30,74,72,100,101,30,7,0,434,18,18,44,30,33,20,0,5,0,171,658,863,1980,2088,2181,1799,550,54,0,10182,40,57,90,73,73,52,6,0,0,395,59,29,37,11,17,21,8,3,0,187,96,83,123,85,94,73,21,3,0,584,755,951,2105,2175,2270,1875,565,61,0,10762,526,171,378,407,376,640,1408,974,319,5196,57,67,181,156,153,108,100,61,38,926,1336,1185,2667,2740,2796,2633,2079,1094,362,16885,124,436,933,848,1183,754,95,5,0,4380,556,355,770,1119,1046,821,286,19,0,4974,44,47,117,92,74,84,11,0,0,473,13,21,29,24,25,10,3,0,0,115,731,861,1850,2078,2319,1673,398,25,3,9941,30,27,52,38,37,35,3,0,0,225,90,38,49,56,52,31,0,4,0,324,121,64,104,90,88,68,6,4,0,546
SED51004,212,655,1703,1971,2429,1696,241,6,0,8925,559,462,354,267,296,375,197,28,0,2540,24,29,91,78,110,84,35,0,0,453,14,40,45,33,38,27,6,6,0,221,814,1189,2201,2358,2874,2177,474,41,0,12137,42,87,103,68,61,63,7,0,0,430,142,37,25,4,16,18,13,0,0,255,181,122,134,76,78,78,21,0,0,688,991,1312,2332,2438,2952,2259,497,41,0,12820,646,206,191,153,187,447,980,590,166,3564,41,52,89,103,93,68,33,21,9,506,1671,1570,2614,2689,3228,2774,1507,646,180,16891,86,497,981,1062,1543,871,87,3,0,5123,716,636,889,1155,1362,943,193,11,0,5903,21,39,173,108,74,89,19,0,0,522,22,24,42,37,29,18,8,0,0,177,843,1191,2082,2368,3001,1918,304,12,0,11726,24,45,54,48,61,38,4,0,0,278,142,49,63,59,52,41,7,0,0,420,167,100,115,111,113,84,15,0,0,695
