SED_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
SED50106,..,35,546,923,1159,1338,1330,828,251,6404,..,183,435,319,293,253,171,35,4,1698,..,4,19,81,117,70,27,16,10,349,3233,..,..,..,..,..,..,..,..,3233,..,657,..,..,..,..,..,..,..,657,..,701,295,107,76,38,3,0,0,1226,..,102,61,24,18,39,47,14,11,322,..,54,62,25,26,19,7,0,0,197,..,90,98,38,49,50,29,17,0,370,..,88,183,152,246,401,372,221,121,1783,71,69,51,60,59,54,39,13,10,420,0,0,0,0,0,0,0,4,0,12,3304,1975,1756,1734,2048,2249,2037,1150,411,16663,..,65,712,1107,1325,1395,1284,624,119,6643,..,254,476,346,310,275,89,38,4,1793,..,33,189,348,351,151,66,56,40,1232,3083,..,..,..,..,..,..,..,..,3083,..,677,..,..,..,..,..,..,..,677,..,401,148,39,37,32,8,0,0,668,..,79,25,6,33,55,62,50,19,333
SED50202,..,53,907,1659,1241,1270,1143,602,129,6997,..,299,897,473,336,216,82,29,10,2345,..,9,60,127,143,100,55,23,12,535,5318,..,..,..,..,..,..,..,..,5318,..,975,..,..,..,..,..,..,..,975,..,991,605,227,138,55,3,0,0,2023,..,180,177,74,69,90,60,30,5,692,..,107,123,78,39,23,18,8,0,398,..,102,189,110,116,124,71,17,3,740,..,86,384,382,492,482,409,209,70,2516,84,81,92,64,63,37,26,13,5,464,0,0,3,3,0,0,7,0,0,15,5403,2884,3436,3210,2645,2398,1866,938,243,23021,..,109,1344,1809,1307,1249,1046,417,60,7348,..,450,958,470,315,206,79,19,0,2495,..,113,556,651,523,327,177,95,47,2490,4945,..,..,..,..,..,..,..,..,4945,..,1029,..,..,..,..,..,..,..,1029,..,697,296,82,75,43,10,0,0,1201,..,156,98,42,75,122,144,56,32,721
SED50304,..,35,1277,1956,1337,1126,942,719,245,7639,..,144,898,475,201,126,79,22,7,1955,..,0,18,77,116,93,44,16,16,379,3307,..,..,..,..,..,..,..,..,3307,..,817,..,..,..,..,..,..,..,817,..,531,434,179,124,92,8,0,0,1364,..,133,164,60,49,48,33,22,8,523,..,72,132,32,21,19,3,0,0,285,..,181,450,139,95,60,41,7,3,973,..,83,477,530,505,503,383,203,101,2787,35,43,90,63,41,39,17,10,5,335,0,3,4,0,3,3,4,0,0,23,3339,2048,3940,3515,2481,2106,1560,1003,390,20381,..,94,1716,1991,1289,1120,974,529,84,7794,..,241,988,432,181,109,53,19,5,2024,..,21,167,358,379,238,117,101,69,1453,3287,..,..,..,..,..,..,..,..,3287,..,855,..,..,..,..,..,..,..,855,..,414,271,89,68,32,8,0,0,885,..,136,143,34,37,87,89,60,27,608
SED50405,..,27,1386,2565,1964,1367,930,494,69,8814,..,307,1148,599,343,167,56,31,5,2652,..,9,58,116,130,73,31,7,6,432,7143,..,..,..,..,..,..,..,..,7143,..,1326,..,..,..,..,..,..,..,1326,..,1031,457,115,64,19,0,0,0,1683,..,151,149,64,53,48,26,25,8,533,..,77,107,46,28,17,3,0,0,280,..,128,244,99,70,44,28,12,0,633,..,100,363,303,268,230,176,108,32,1591,84,67,65,59,58,43,31,7,0,406,5,0,0,5,3,8,5,4,0,25,7232,3231,3991,3964,2969,2018,1301,695,122,25514,..,95,2091,2891,2056,1345,856,368,36,9740,..,497,1372,569,347,158,49,23,0,3011,..,81,484,669,479,224,78,51,12,2078,6869,..,..,..,..,..,..,..,..,6869,..,1384,..,..,..,..,..,..,..,1384,..,836,279,53,31,30,3,0,0,1229,..,150,98,30,47,130,126,43,20,648
SED50502,..,25,691,1544,1399,1491,1155,562,127,7007,..,124,611,421,286,218,101,17,0,1777,..,8,25,73,135,85,49,25,17,405,4028,..,..,..,..,..,..,..,..,4028,..,985,..,..,..,..,..,..,..,985,..,904,624,234,117,48,10,0,0,1938,..,166,131,66,57,75,41,30,18,592,..,57,86,46,31,17,12,0,0,255,..,126,269,131,108,88,61,23,8,796,..,55,244,292,338,401,344,170,62,1909,66,62,65,53,52,29,23,9,3,374,0,0,0,4,4,4,3,0,0,16,4092,2498,2755,2865,2528,2467,1801,845,237,20083,..,57,1056,1755,1472,1482,986,405,55,7264,..,185,720,430,300,191,73,17,0,1912,..,37,255,384,484,263,154,86,52,1709,3617,..,..,..,..,..,..,..,..,3617,..,1033,..,..,..,..,..,..,..,1033,..,616,336,96,68,32,22,0,0,1165,..,115,68,32,55,106,150,89,63,675
SED50605,..,14,525,1808,1971,1899,1844,1036,273,9364,..,70,379,233,150,158,73,32,8,1100,..,3,6,65,94,72,31,20,15,311,3763,..,..,..,..,..,..,..,..,3763,..,1526,..,..,..,..,..,..,..,1526,..,729,568,176,102,39,12,0,0,1629,..,123,91,14,16,30,22,15,19,329,..,65,93,21,12,13,9,4,0,216,..,186,289,72,50,26,23,12,0,661,..,60,169,166,164,230,225,147,93,1259,28,51,38,37,29,23,20,13,5,249,8,4,9,16,10,9,14,3,0,78,3797,2829,2164,2615,2602,2505,2283,1277,412,20492,..,17,777,2120,2141,1965,1764,725,122,9629,..,120,418,247,158,134,60,15,4,1159,..,3,64,255,388,244,97,61,65,1176,3619,..,..,..,..,..,..,..,..,3619,..,1466,..,..,..,..,..,..,..,1466,..,513,351,91,67,39,17,0,0,1080,..,125,75,35,23,68,93,62,46,524
SED50702,..,28,1043,1822,1377,1205,948,526,141,7086,..,218,969,496,325,238,105,34,5,2390,..,8,31,79,121,94,47,20,24,418,3738,..,..,..,..,..,..,..,..,3738,..,842,..,..,..,..,..,..,..,842,..,630,451,138,116,74,16,0,0,1420,..,215,206,69,58,66,46,18,13,683,..,106,208,66,45,17,13,4,5,466,..,352,704,237,138,128,53,26,3,1641,..,159,630,508,442,583,425,210,91,3050,52,83,85,60,43,35,30,7,3,395,0,3,5,4,3,9,9,7,0,37,3792,2633,4333,3482,2676,2444,1692,839,279,22166,..,70,1539,1937,1360,1112,879,357,72,7317,..,365,1072,455,302,201,71,21,6,2495,..,36,199,373,408,233,120,83,70,1524,3542,..,..,..,..,..,..,..,..,3542,..,819,..,..,..,..,..,..,..,819,..,427,240,63,40,54,10,0,0,846,..,184,166,43,42,110,126,61,32,760
SED50805,..,0,396,1374,1658,1375,1146,622,227,6801,..,79,550,300,280,228,117,36,10,1598,..,0,7,55,120,63,19,12,19,298,3299,..,..,..,..,..,..,..,..,3299,..,1136,..,..,..,..,..,..,..,1136,..,624,277,83,59,52,18,0,0,1110,..,59,49,12,7,19,14,16,8,190,..,21,42,13,11,13,5,4,0,101,..,89,167,48,33,43,36,10,0,432,..,52,201,196,282,325,287,198,121,1659,24,37,62,42,32,45,23,13,4,290,3,3,3,5,5,4,0,0,0,31,3330,2101,1762,2125,2493,2160,1669,923,396,16948,..,9,611,1658,1758,1412,1029,496,118,7090,..,112,618,335,290,211,86,28,4,1694,..,3,56,239,439,217,68,59,62,1145,3309,..,..,..,..,..,..,..,..,3309,..,1265,..,..,..,..,..,..,..,1265,..,438,230,60,27,31,10,0,0,794,..,95,44,7,17,32,37,44,38,305
SED50906,..,31,538,1228,1387,1391,1239,711,169,6691,..,258,617,323,280,228,119,27,3,1852,..,4,24,125,145,69,42,14,19,449,3917,..,..,..,..,..,..,..,..,3917,..,762,..,..,..,..,..,..,..,762,..,778,298,116,85,50,5,0,0,1333,..,111,83,45,36,34,28,12,10,365,..,69,81,42,30,15,10,4,0,252,..,123,206,89,79,76,52,16,5,651,..,113,322,307,386,472,382,212,96,2291,70,85,82,60,41,35,32,13,6,423,3,9,5,0,0,4,0,3,0,19,3989,2346,2254,2340,2474,2371,1910,1020,298,19002,..,53,853,1437,1552,1390,1172,502,86,7046,..,353,658,378,313,205,76,23,0,2013,..,83,335,511,487,181,84,78,50,1813,3704,..,..,..,..,..,..,..,..,3704,..,860,..,..,..,..,..,..,..,860,..,559,156,52,43,39,13,0,0,858,..,79,50,19,33,69,80,46,23,394
SED51004,..,18,662,1613,2237,2001,1137,496,88,8253,..,154,661,388,316,215,61,20,6,1818,..,3,29,89,160,86,34,7,4,413,4466,..,..,..,..,..,..,..,..,4466,..,1382,..,..,..,..,..,..,..,1382,..,1235,633,142,53,21,4,0,0,2092,..,114,111,24,35,27,29,17,9,369,..,61,66,31,28,16,8,4,0,210,..,80,121,41,39,50,31,10,4,365,..,56,177,248,252,270,158,71,40,1273,46,52,74,33,33,19,15,0,0,270,5,4,0,4,3,3,7,0,0,23,4519,3165,2535,2607,3150,2713,1479,622,146,20936,..,38,991,1913,2537,1890,960,363,42,8737,..,259,771,402,323,172,52,14,8,2000,..,35,237,423,520,294,97,42,20,1663,4116,..,..,..,..,..,..,..,..,4116,..,1396,..,..,..,..,..,..,..,1396,..,914,349,63,27,17,4,0,0,1382,..,96,53,20,28,75,95,86,32,473
