SED_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SED50106,0,16,5,5,5,0,41,0,26,5,6,9,0,43,14,189,42,54,15,7,317,13,106,83,80,42,5,340,50,53,20,98,28,3,251,121,78,59,143,34,0,433,549,79,28,374,57,7,1088,666,18,12,218,34,3,955,142,6,0,45,12,0,206,23,0,0,8,4,0,31,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,6,0,0,5,0,0,0,11,9,0,17,24,40,19,60,48,5,190,1603,605,270,1125,303,33,3938
SED50202,0,23,3,8,6,4,42,0,27,9,12,0,0,41,24,197,19,34,6,0,278,61,111,57,60,27,4,328,179,64,8,112,24,0,388,625,77,13,269,29,3,1021,1292,43,9,486,54,6,1894,656,9,18,257,48,0,981,74,3,5,41,3,0,125,10,0,0,7,0,0,16,3,0,0,0,0,0,10,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,6,54,40,10,60,14,10,191,2984,602,148,1341,221,36,5337
SED50304,9,30,0,3,0,0,51,0,63,3,7,0,0,70,17,312,25,57,5,0,410,72,135,60,79,14,5,347,144,42,6,104,14,3,306,452,57,14,210,28,0,763,1403,38,9,549,68,12,2079,1499,18,14,485,63,3,2083,418,0,0,126,16,4,563,121,0,0,25,5,0,154,55,3,0,17,5,0,75,30,0,0,0,0,0,28,7,0,0,6,0,0,11,6,0,0,0,0,0,11,50,37,7,72,14,15,202,4276,728,136,1737,226,46,7154
SED50405,0,4,0,8,0,0,16,0,8,0,0,0,0,12,7,56,5,14,7,0,91,40,51,10,28,11,0,147,30,18,6,36,12,0,106,113,48,3,81,143,0,387,799,17,3,278,44,0,1146,1685,4,0,385,32,0,2103,309,0,0,61,13,0,380,38,0,0,9,0,0,51,7,0,0,0,0,0,17,3,0,0,0,0,0,9,0,0,0,4,0,0,4,7,0,0,0,0,0,9,43,14,3,37,18,10,123,3084,227,33,940,289,15,4585
SED50502,0,12,0,7,0,0,28,3,24,5,3,0,0,36,3,240,29,24,0,4,305,14,112,23,41,4,0,193,20,47,6,67,6,0,143,85,77,19,125,13,0,316,551,56,15,347,24,3,994,852,27,5,359,37,5,1280,292,0,0,73,7,0,371,42,0,0,10,0,0,56,9,0,0,8,0,0,15,3,0,0,4,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,10,27,57,17,57,10,12,180,1909,663,122,1116,105,26,3938
SED50605,3,0,0,7,0,0,7,0,5,0,7,0,0,9,9,55,7,41,6,0,109,11,45,3,33,0,0,96,14,9,0,34,4,0,66,62,14,8,59,3,6,148,246,12,9,134,8,0,408,640,5,0,224,17,3,887,580,0,6,159,14,0,760,360,0,0,75,4,3,439,175,0,0,34,0,0,215,97,0,0,25,0,0,121,67,0,0,16,0,0,84,90,0,0,20,3,0,116,28,7,0,50,6,11,113,2400,155,26,910,61,20,3578
SED50702,9,42,4,8,0,0,62,3,77,7,14,0,0,95,20,444,34,52,14,5,564,41,146,44,75,8,4,321,94,74,18,77,6,0,274,315,94,14,161,16,0,599,1269,68,8,426,54,8,1833,2137,32,16,536,68,9,2793,810,5,3,131,11,3,962,212,0,0,41,3,0,258,85,0,0,17,0,0,103,27,0,0,8,3,0,41,13,0,0,4,6,0,19,10,0,0,12,8,0,32,78,56,12,82,39,25,301,5121,1042,153,1653,231,54,8253
SED50805,3,17,4,6,0,0,29,0,17,3,4,0,0,28,0,155,5,14,0,0,177,16,55,17,59,0,0,148,53,15,3,42,0,0,114,126,22,5,63,0,0,218,320,13,4,176,11,0,517,644,10,0,278,12,3,948,417,3,0,124,4,0,555,225,0,0,45,0,0,271,109,0,0,36,0,0,147,41,0,0,17,0,0,57,47,0,0,6,0,0,51,53,0,0,8,0,0,60,16,17,3,44,7,11,91,2074,325,36,923,39,12,3416
SED50906,4,20,3,7,8,0,29,3,41,9,8,5,0,68,19,279,33,40,10,0,384,45,175,118,67,22,6,440,105,74,33,114,5,4,332,402,89,20,258,34,4,809,1000,35,13,514,33,3,1607,1001,11,14,297,36,7,1368,206,0,0,49,7,0,268,55,0,0,8,0,0,65,18,0,0,6,0,0,23,3,3,0,4,0,0,11,0,0,0,0,0,0,10,8,0,0,3,6,0,13,59,42,17,56,46,13,231,2929,773,269,1429,207,44,5644
SED51004,0,10,0,7,0,0,11,0,10,0,3,0,0,11,0,51,3,28,0,0,77,12,44,12,24,0,0,98,13,21,12,23,0,0,65,24,45,0,64,0,0,137,416,34,12,217,15,0,694,955,11,5,428,23,0,1424,379,3,0,117,13,0,511,139,0,0,41,3,0,180,76,0,0,21,0,0,99,32,0,0,9,0,0,39,11,0,0,3,0,0,14,14,0,0,4,0,0,21,38,18,0,42,14,4,113,2116,240,47,1025,67,5,3500
SED51104,6,9,0,8,0,0,23,0,12,4,5,0,0,13,3,47,10,23,14,0,97,12,48,30,29,7,3,137,31,22,11,40,4,0,107,148,46,25,105,7,0,344,1192,50,14,399,17,5,1679,1553,20,6,393,39,5,2010,363,0,0,79,0,0,447,70,0,0,16,0,0,89,18,3,0,6,0,0,26,0,0,0,4,0,0,5,0,0,0,0,0,0,0,4,0,0,4,6,0,6,55,18,3,45,10,11,144,3459,265,101,1155,107,28,5116
SED51205,6,19,0,3,0,0,30,5,31,5,9,5,0,57,22,163,21,70,8,3,288,39,97,22,76,11,4,245,65,36,14,78,6,0,200,272,47,15,159,18,0,517,1353,52,12,484,78,4,1988,1905,17,12,496,123,0,2547,373,4,3,102,25,0,513,36,0,0,16,0,0,51,10,0,0,8,4,0,24,8,0,0,6,3,0,20,0,0,0,0,0,0,5,6,0,0,3,0,0,11,75,34,9,108,27,19,261,4175,503,116,1622,307,36,6761
SED51304,0,0,0,4,0,0,10,0,5,0,0,0,0,4,0,33,10,17,0,0,58,7,14,10,23,3,0,51,9,8,0,35,0,0,43,10,6,0,34,9,0,58,65,0,9,84,11,3,178,260,3,0,174,4,0,445,307,0,0,114,8,0,431,227,0,0,63,5,0,291,114,0,0,35,0,0,150,72,0,0,12,0,0,86,31,0,0,6,0,0,33,37,0,0,7,0,0,43,16,7,6,21,6,0,50,1160,71,36,629,32,9,1935
SED51401,9,26,11,26,49,4,113,4,34,13,11,43,5,108,11,189,72,130,80,6,481,66,123,61,172,72,3,501,65,55,6,171,33,0,331,179,80,14,203,45,0,530,223,47,3,166,41,0,476,136,8,4,91,14,0,257,24,0,0,15,6,0,43,0,0,0,5,0,0,5,0,0,0,0,4,0,3,0,0,0,0,5,0,12,0,0,0,0,0,0,3,0,0,0,8,4,0,3,16,43,5,84,158,5,320,727,604,197,1082,559,34,3195
SED51504,0,9,0,4,0,0,12,0,21,3,0,0,0,20,8,147,9,26,4,3,197,34,56,19,34,0,0,151,121,15,0,69,11,0,214,482,28,9,157,41,0,713,529,12,5,197,24,0,770,450,6,3,213,15,3,698,349,0,0,113,5,0,470,212,0,0,62,4,0,283,182,0,0,46,0,0,225,148,0,0,26,4,0,179,99,0,0,10,4,0,114,156,0,0,26,5,0,187,31,24,8,28,7,8,106,2804,321,46,1023,123,16,4342
SED51605,0,17,0,3,0,0,24,0,12,0,3,0,0,15,4,124,4,21,4,0,152,11,71,14,39,9,0,140,64,31,3,27,19,0,144,111,40,10,48,24,0,230,387,35,3,159,10,0,601,1354,6,0,309,36,4,1713,612,0,0,127,10,0,752,166,0,0,28,0,0,196,29,0,0,6,5,0,33,15,0,0,4,5,0,23,4,0,0,0,4,0,9,4,0,0,5,3,0,11,35,19,5,48,10,8,118,2793,361,45,818,130,10,4151
SED51706,0,7,0,16,0,0,25,0,10,4,6,6,0,27,7,100,9,46,9,4,178,27,61,17,64,22,0,197,53,33,14,103,31,0,229,156,33,7,158,25,5,379,379,23,6,300,36,3,750,614,3,3,221,27,0,872,127,0,0,34,4,0,167,8,0,0,14,4,0,23,0,0,0,8,5,0,8,0,0,0,4,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,6,22,35,6,69,47,6,183,1395,301,60,1029,220,20,3038
SED51804,3,30,4,4,0,0,39,0,33,5,3,0,0,44,5,226,12,21,0,0,265,26,60,11,32,4,0,137,77,20,6,46,3,0,161,215,27,8,66,82,0,394,326,19,0,132,48,0,525,444,11,6,182,8,0,650,465,4,0,156,8,0,644,307,0,0,99,6,0,406,225,0,0,72,3,0,300,190,0,0,44,3,0,247,155,0,0,33,0,0,183,403,0,0,86,7,0,495,33,26,4,62,22,9,159,2880,451,54,1043,204,14,4645
