SED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED50106,31,221,1400,6181,4745,629,174,585,13967,8,255,428,239,35,7,4,79,1052,5,14,49,28,10,0,0,18,125,13,270,479,272,44,7,5,98,1175,0,26,5,17,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,3,0,0,0,25,0,30,21,22,3,4,0,0,74,44,112,92,25,3,0,7,117,401,5,13,6,8,8,0,0,8,53,86,642,1992,6505,4804,641,181,814,15664
SED50202,15,77,551,7463,6382,751,142,943,16323,4,216,644,1574,58,7,4,250,2766,0,14,11,14,0,0,0,7,42,4,229,656,1588,58,7,4,253,2807,0,36,69,19,0,0,0,27,156,0,4,45,6,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,0,0,0,0,20,0,40,123,36,6,0,0,30,235,22,74,94,28,0,0,0,82,298,3,3,11,3,5,0,0,10,34,48,423,1430,9114,6450,759,144,1318,19689
SED50304,9,59,516,4948,3570,548,82,373,10097,13,325,2686,3731,195,16,3,425,7377,0,75,358,486,124,0,0,69,1116,10,397,3039,4211,323,18,9,496,8495,0,323,666,43,8,0,0,76,1118,0,104,152,24,0,0,0,44,322,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,432,827,66,8,0,0,124,1457,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,20,17,891,4388,9227,3895,566,83,998,20067
SED50405,11,126,556,4653,11647,932,140,769,18839,0,14,185,303,23,0,0,17,545,0,8,37,56,0,0,0,4,105,0,29,226,356,23,0,0,25,654,0,15,35,0,0,0,0,3,49,0,25,85,0,0,0,0,7,116,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40,126,0,0,0,0,13,184,5,35,47,0,3,0,0,29,119,0,0,4,3,0,0,0,0,15,15,233,961,5014,11680,936,140,834,19814
SED50502,9,75,706,5977,5960,724,115,547,14121,0,138,484,912,71,8,0,130,1741,0,17,57,141,15,4,0,26,264,9,155,541,1042,93,11,0,165,2012,0,39,126,94,0,0,0,10,276,0,18,43,0,0,0,0,8,65,0,15,34,6,0,0,0,4,58,0,0,0,0,0,0,0,0,0,3,8,12,0,0,0,0,4,30,6,86,215,96,4,0,0,24,423,0,3,0,0,0,0,0,4,10,0,0,3,4,0,0,0,0,16,15,310,1460,7125,6054,737,119,750,16578
SED50605,9,45,458,3636,6501,1576,300,225,12749,8,49,687,975,206,28,6,66,2026,0,4,105,389,194,31,0,20,754,8,57,797,1368,397,67,7,84,2782,0,24,168,54,0,0,0,17,262,0,30,78,13,0,0,0,12,131,0,85,182,130,5,0,0,41,448,0,49,104,19,0,0,0,7,182,0,0,7,0,0,0,0,0,12,6,186,548,222,8,0,0,79,1035,0,0,0,0,0,0,0,0,6,0,0,5,4,4,6,0,6,18,12,284,1796,5230,6908,1643,311,399,16592
SED50702,24,204,1247,6248,4385,476,88,640,13314,6,263,581,1035,158,9,0,170,2224,11,145,540,605,184,6,0,107,1595,12,407,1123,1639,348,16,3,270,3820,3,152,319,98,0,0,0,73,650,3,155,363,67,0,0,0,40,628,0,223,289,67,3,0,0,45,639,0,305,647,298,24,0,3,57,1334,0,6,8,3,3,0,0,0,21,9,845,1630,530,29,4,3,213,3263,10,15,5,0,3,0,0,20,47,4,9,3,15,4,0,0,15,58,61,1479,4005,8435,4768,492,91,1158,20502
SED50805,14,50,799,4552,3862,756,147,237,10423,6,78,1458,1371,147,19,5,132,3214,0,42,210,527,135,19,7,34,984,6,122,1676,1904,277,39,10,163,4194,3,120,193,31,5,0,0,36,389,3,110,258,38,0,0,0,34,442,3,40,121,43,5,0,0,7,223,0,0,30,4,0,0,0,0,35,0,0,7,3,5,0,0,0,15,8,269,611,119,14,0,0,77,1106,0,4,7,0,0,0,0,9,26,0,0,0,11,9,0,0,5,31,28,443,3102,6586,4173,799,158,491,15784
SED50906,14,91,722,5861,6286,636,87,621,14329,0,317,868,922,68,0,7,245,2424,0,19,98,284,43,3,0,31,483,0,335,965,1205,112,6,7,275,2904,4,126,189,65,4,0,0,49,445,0,10,70,25,0,0,0,12,123,0,0,12,3,0,0,0,9,24,0,0,13,23,0,0,0,6,36,0,0,0,0,0,0,0,0,7,9,143,288,119,11,0,0,75,639,13,50,46,17,0,0,0,79,190,5,3,3,12,7,0,0,8,44,39,623,2026,7208,6418,646,96,1058,18108
SED51004,9,34,174,3405,9376,1147,137,454,14748,0,55,274,472,74,0,3,61,943,0,21,91,63,7,0,0,14,196,0,76,368,539,78,5,5,69,1139,0,19,9,34,0,0,0,9,77,0,35,120,51,0,0,0,16,216,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,13,4,61,138,81,3,0,0,20,306,0,0,0,3,0,0,0,12,13,0,0,0,4,5,0,0,0,9,16,172,681,4035,9471,1149,140,564,16219
