SED_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SED50106,15094,16157,31252,6023,3511,9532,2163,4606,6771,552,539,1092,406,297,712,9144,8958,18101,5073,6380,11453,4.5,3.4,3.9,60.6,55.5,57.9,57.9,53.6,55.7,345,432,779,190,439,631,1261,2320,3582,1128,1785,2910,4102,2402,6503,290,447,735,209,389,606,4602,3242,7838,14412,15449,29861,2590,2831,5420,9568,10102,19665,6560,7358,13918
SED50202,18781,20153,38931,8368,4481,12850,2309,4712,7018,630,734,1362,1016,992,2011,12322,10920,23247,5184,7921,13105,8.3,9.1,8.7,65.6,54.2,59.7,60.2,49.3,54.5,375,472,845,145,313,465,1263,2081,3349,1331,1927,3256,4948,3427,8381,386,536,924,245,439,682,5578,4411,9987,19651,20444,40093,2865,3131,5999,12394,12677,25073,8497,9363,17863
SED50304,17910,19672,37587,8734,5909,14645,2828,5357,8183,535,645,1182,629,560,1190,12732,12471,25200,4299,6332,10636,4.9,4.5,4.7,71.1,63.4,67,67.6,60.5,63.9,1378,1398,2772,345,642,987,3516,4383,7898,1785,2026,3813,3341,1899,5244,194,277,467,202,389,591,3740,2563,6304,17032,18524,35550,3077,3357,6432,10239,11380,21620,8704,9404,18105
SED50405,18927,21677,40606,10622,6138,16764,2239,6255,8494,863,878,1748,763,856,1625,14497,14134,28630,3689,6652,10345,5.3,6.1,5.7,76.6,65.2,70.5,72.6,61.2,66.5,526,638,1158,199,523,723,1754,3102,4859,1699,2510,4218,5795,3931,9731,349,550,899,285,508,794,6429,4989,11420,21290,23089,44382,3734,4256,7993,12556,13422,25984,10270,11863,22131
SED50502,16608,17563,34169,7702,4733,12438,2462,4578,7038,511,565,1073,703,637,1344,11384,10511,21894,4492,6334,10830,6.2,6.1,6.1,68.5,59.8,64.1,64.3,56.2,60.1,617,728,1341,243,505,746,2043,2848,4894,1352,1690,3041,3954,2166,6121,261,325,579,208,420,628,4421,2909,7326,17445,17931,35377,2343,2385,4726,12297,12629,24922,6316,6627,12942
SED50605,16998,18667,35673,7902,4643,12550,2862,5528,8381,417,536,953,592,509,1092,11766,11206,22972,4838,7063,11902,5,4.5,4.8,69.2,60,64.4,65.7,57.3,61.3,2041,1717,3760,528,856,1382,4826,5498,10325,1602,1966,3565,2276,1171,3445,149,199,345,208,420,629,2638,1788,4425,17355,18585,35941,2919,3154,6077,11314,12276,23591,8057,8626,16682
SED50702,20472,20289,40758,9864,6166,16028,2963,4896,7861,782,721,1500,786,682,1462,14385,12460,26849,4549,6448,10994,5.4,5.4,5.4,70.3,61.4,65.9,66.4,58.1,62.3,1184,1170,2354,283,545,833,3236,4087,7324,1971,2130,4097,4325,2219,6543,299,334,634,255,398,654,4880,2944,7832,18541,18257,36799,3885,3955,7839,10785,10707,21492,10460,10369,20828
SED50805,14205,16922,31123,6871,4406,11278,2266,5238,7502,397,512,907,438,409,840,9962,10567,20536,3816,5812,9632,4.4,3.9,4.1,70.2,62.5,66,67.1,60.1,63.3,1230,1280,2517,463,890,1358,3357,4553,7909,1381,1795,3171,2570,1335,3899,150,208,354,214,401,622,2936,1939,4876,14485,16650,31136,2399,2917,5318,9635,10987,20628,6380,7684,14065
SED50906,16885,18259,35144,7602,4380,11977,1974,4974,6945,611,590,1200,584,546,1128,10762,10492,21253,5196,6822,12019,5.4,5.2,5.3,63.7,57.5,60.5,60.3,54.5,57.3,462,463,922,210,470,674,1540,2572,4116,1158,1682,2837,4825,3086,7911,315,496,810,217,441,656,5355,4021,9381,15965,17244,33208,3247,3570,6821,10463,11162,21629,7667,8659,16320
SED51004,16891,18275,35166,8925,5123,14047,2540,5903,8444,673,702,1370,688,695,1383,12820,12424,25242,3564,5310,8878,5.4,5.6,5.5,75.9,68,71.8,71.8,64.2,67.9,631,655,1289,247,468,718,2040,3236,5282,1660,2395,4058,4845,2546,7389,259,383,648,262,444,703,5360,3377,8740,17865,18634,36496,2791,3052,5846,11959,12354,24311,7590,8219,15813
SED51104,19019,21976,40997,9574,5667,15237,2438,6323,8760,879,871,1757,883,966,1846,13772,13818,27596,4434,7217,11653,6.4,7,6.7,72.4,62.9,67.3,67.8,58.5,62.8,439,480,919,194,516,709,1510,2831,4332,1656,2748,4404,5868,3634,9505,323,513,841,274,546,815,6468,4692,11166,20651,22491,43138,3799,4473,8268,11965,12597,24557,10565,12522,23086
SED51205,21098,21147,42247,9469,5359,14818,3764,5645,9410,734,702,1438,867,827,1692,14831,12532,27365,5115,7559,12681,5.9,6.6,6.2,70.3,59.3,64.8,66.2,55.4,60.8,1417,1623,3042,285,526,809,3652,4511,8158,2126,2114,4241,3986,2210,6198,284,314,601,259,389,650,4531,2920,7450,20649,20689,41337,3835,3642,7481,12186,12440,24623,10651,10418,21068
SED51304,15635,17031,32664,7597,4019,11623,2445,5640,8080,407,583,984,469,371,841,10916,10608,21523,4458,6110,10566,4.3,3.5,3.9,69.8,62.3,65.9,66.8,60.1,63.3,1330,1159,2481,473,862,1328,3830,4499,8331,1688,1935,3623,3042,1389,4434,141,205,346,184,473,658,3368,2071,5437,17373,18507,35875,2067,2156,4229,12438,13207,25641,6013,6489,12506
SED51401,16942,14861,31803,7344,3393,10737,1529,3383,4911,659,579,1234,469,340,805,9999,7695,17691,4821,5574,10401,4.7,4.4,4.6,59,51.8,55.6,56.2,49.5,53.1,201,227,430,110,293,400,887,1608,2496,802,1222,2025,4034,1798,5833,232,382,609,224,315,537,4490,2497,6982,14807,13694,28503,2331,2183,4509,10672,9691,20368,5624,5377,11009
SED51504,16507,18098,34607,8090,4836,12932,3003,5833,8834,419,539,958,458,423,879,11964,11633,23600,4198,6050,10247,3.8,3.7,3.7,72.5,64.3,68.2,69.7,61.9,65.7,2438,2120,4559,552,1004,1550,5062,5716,10782,1506,1872,3385,1805,991,2799,110,164,272,182,368,548,2093,1520,3621,17624,18519,36145,2843,2965,5806,11324,11963,23286,8154,8582,16741
SED51605,17838,19101,36936,10145,5688,15828,2387,6154,8542,630,713,1345,643,623,1257,13805,13172,26975,3466,5315,8783,4.6,4.7,4.7,77.4,69,73,73.8,65.7,69.6,822,872,1702,246,590,844,2462,3695,6155,1578,2127,3712,4878,2638,7518,271,374,643,241,427,668,5391,3439,8828,19024,19850,38871,2950,3148,6096,12723,13214,25928,7870,8519,16390
SED51706,16509,17532,34038,7822,3762,11583,1755,5055,6814,748,668,1412,521,468,989,10848,9948,20800,4686,6674,11360,4.8,4.7,4.8,65.7,56.8,61.1,62.6,54.1,58.2,215,285,500,144,394,543,1054,2056,3115,1054,1638,2689,5428,3178,8607,285,491,772,234,431,667,5942,4103,10045,16932,17514,34446,2662,2904,5563,11858,12037,23895,6591,7302,13890
SED51804,16712,18776,35488,7355,4401,11754,3047,5309,8352,382,573,952,476,450,929,11265,10727,21995,4830,7295,12126,4.2,4.2,4.2,67.4,57.1,62,64.5,54.7,59.4,2597,2208,4805,481,995,1477,5532,6140,11672,1280,1841,3117,1319,743,2055,79,131,205,137,363,494,1531,1228,2758,16192,17606,33798,3269,3663,6932,10021,10971,20988,8630,9531,18157
SED51902,17157,18200,35350,9159,4952,14109,2067,5542,7612,721,749,1473,483,532,1016,12433,11769,24207,4204,5851,10047,3.9,4.5,4.2,72.5,64.7,68.5,69.6,61.8,65.6,400,490,893,194,488,686,1482,2490,3974,1364,2212,3578,5689,3094,8785,252,404,656,255,475,730,6195,3974,10166,18862,19688,38555,2487,2746,5238,13165,13343,26508,6691,7635,14333
SED52006,15386,17672,33058,5695,3271,8970,1808,4475,6290,682,534,1216,613,579,1188,8803,8862,17659,6118,8249,14363,7,6.5,6.7,57.2,50.2,53.4,53.2,46.9,49.8,335,329,662,159,405,566,1193,2085,3279,1311,1951,3266,4775,2639,7413,236,354,592,238,506,739,5245,3497,8748,15329,17091,32422,2744,3147,5892,9926,10812,20740,7256,8519,15774
SED52102,16060,16760,32826,8193,4491,12689,2077,4469,6544,593,637,1228,615,573,1188,11477,10175,21652,3896,5865,9759,5.3,5.7,5.5,71.5,60.7,66,67.7,57.3,62.4,470,529,995,151,325,471,1427,2289,3719,1262,1703,2968,4630,2493,7126,247,362,608,236,400,635,5115,3255,8369,17014,17315,34325,2341,2462,4800,11946,12205,24145,6178,6482,12654
SED52205,17880,19187,37063,7701,5056,12752,2727,5409,8140,614,643,1262,682,565,1251,11727,11677,23403,4815,6317,11127,5.8,4.9,5.3,65.6,60.9,63.1,61.8,57.9,59.8,1418,1594,3012,420,864,1280,3161,4602,7760,1555,1887,3439,3587,1721,5307,206,255,462,266,372,640,4059,2350,6411,16151,17095,33247,3267,3711,6978,9764,10387,20158,8607,9481,18085
SED52301,14908,15998,30906,6345,3881,10226,1773,4214,5983,589,578,1170,554,430,986,9264,9101,18363,4295,5544,9837,6,4.7,5.4,62.1,56.9,59.4,58.4,54.2,56.2,261,309,568,141,386,530,892,1895,2794,912,1502,2418,4288,2369,6652,297,484,781,188,322,514,4764,3181,7945,14243,15063,29306,2519,2798,5314,9567,9939,19504,6214,6964,13182
SED52404,15753,16852,32600,8083,4420,12507,2287,5521,7803,488,645,1135,556,453,1004,11407,11039,22452,3983,5447,9428,4.8,4.1,4.5,72.4,65.5,68.9,68.9,62.8,65.8,823,783,1609,314,703,1021,2566,3736,6306,1589,2075,3664,4376,1937,6311,145,237,384,230,441,674,4756,2610,7365,17006,17609,34612,2218,2431,4648,11991,12351,24337,6151,6646,12795
