SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SED50106,316,282,593,978,889,1869,128,137,268,321,360,683,1429,1393,2819,910,824,1737,131,144,274,385,437,820,1432,1406,2837,73,70,145,31,88,124,171,74,246,118,262,380,0,6,3,402,505,903,49,92,144,42,81,121,16,41,58,81,245,325,0,0,0,192,462,652,594,964,1555,22,36,62,101,130,230,0,0,3,122,170,295,1409,1001,2413,31,23,56,5336,5235,10569
SED50202,485,435,917,1666,1559,3225,293,286,575,454,413,862,2419,2252,4669,1186,1095,2277,141,166,306,345,355,697,1670,1619,3286,122,143,263,89,160,251,162,135,295,184,328,511,0,7,8,560,774,1336,228,347,573,109,203,310,45,82,123,126,243,370,5,4,7,507,879,1384,1067,1656,2717,86,108,193,128,217,339,0,4,6,210,323,541,1672,1660,3332,22,42,57,7541,7983,15529
SED50304,349,362,711,809,834,1647,459,480,940,131,150,277,1405,1467,2874,448,474,914,409,379,791,138,141,272,988,997,1982,91,108,202,139,215,353,77,61,143,203,301,506,4,3,7,521,687,1211,396,540,944,283,349,633,83,98,183,204,345,545,0,3,10,977,1335,2309,1502,2024,3528,88,112,201,124,207,336,3,0,5,217,324,542,975,1027,2005,33,57,90,5464,6265,11729
SED50405,710,641,1349,2492,2352,4844,411,394,803,430,457,886,3329,3218,6551,1398,1416,2817,338,390,730,421,393,817,2163,2207,4373,130,140,272,83,181,257,194,143,334,192,426,625,4,3,6,602,888,1493,320,440,756,120,293,412,47,95,146,188,397,589,0,0,5,678,1234,1911,1282,2121,3407,102,91,196,128,271,399,3,0,4,227,363,596,1034,1167,2203,33,49,81,8785,9768,18557
SED50502,415,335,749,1316,1070,2386,340,329,664,264,215,477,1921,1618,3546,832,787,1622,304,308,612,251,240,495,1394,1344,2730,104,93,193,83,130,216,121,65,182,146,267,413,5,4,5,458,554,1010,336,469,806,131,179,310,79,72,155,154,269,425,3,3,6,701,994,1695,1163,1549,2712,67,62,132,121,179,300,0,0,0,191,242,430,907,911,1820,28,57,82,6019,6051,12065
SED50605,389,345,741,1358,1284,2639,286,316,605,166,176,345,1810,1780,3585,970,934,1907,413,389,801,339,317,654,1725,1642,3371,72,53,128,66,87,152,115,54,171,97,196,291,0,0,0,358,389,739,845,895,1739,240,235,479,128,107,237,229,304,530,0,4,7,1451,1548,2999,1807,1942,3747,33,47,73,86,122,212,0,0,0,112,171,288,484,475,963,94,85,188,6431,6443,12880
SED50702,388,345,731,949,827,1777,463,461,924,266,281,544,1674,1574,3248,584,581,1164,366,319,682,251,201,450,1199,1098,2297,154,132,287,145,258,409,110,70,182,215,361,581,3,3,4,638,817,1452,450,579,1028,284,351,639,89,117,208,227,334,565,4,0,7,1060,1382,2442,1705,2206,3912,118,116,230,155,186,338,6,4,11,282,300,585,1725,1584,3317,110,75,181,7083,7184,14267
SED50805,328,334,663,1086,1084,2173,355,391,742,92,81,171,1537,1560,3093,543,528,1075,593,804,1398,255,259,513,1390,1593,2985,48,65,120,47,54,102,104,57,164,91,174,261,6,0,9,302,354,654,501,662,1161,143,181,329,114,120,227,191,361,548,0,7,6,949,1335,2282,1255,1691,2945,24,37,65,83,115,198,0,3,3,105,155,263,523,605,1133,63,31,94,5202,5971,11172
SED50906,365,357,726,1239,1126,2363,284,304,584,306,254,557,1829,1684,3506,960,971,1923,309,331,639,294,289,581,1558,1582,3144,76,79,158,56,120,180,179,104,284,115,262,377,7,0,5,434,569,1005,61,158,216,61,132,194,23,50,73,105,263,368,0,0,0,249,604,852,682,1170,1856,40,52,91,91,146,239,4,0,4,138,197,334,1673,1176,2847,35,27,60,6282,6189,12473
SED51004,403,364,767,1484,1316,2800,311,317,630,368,358,726,2175,1992,4163,945,824,1769,348,389,734,600,496,1097,1891,1705,3600,139,118,250,47,109,157,163,106,273,124,234,358,0,0,0,474,562,1037,421,574,996,130,213,342,81,111,189,131,305,439,0,3,5,765,1212,1973,1237,1777,3013,67,76,143,96,166,258,0,0,0,163,245,400,661,691,1357,31,44,76,6564,6822,13384
