SED_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SED50106,3,80,0,84,1102,93,0,1280,34,43,0,78,758,88,8,927,584,50,16,646,1184,290,4,2123,1006,45,46,1098,690,218,9,2013,710,71,21,810,1302,190,0,2299,142,166,7,317,2016,156,3,2492,17,185,0,202,1903,133,4,2235,4,42,0,41,1143,85,4,1274,0,7,0,7,441,41,0,486,2505,676,97,3272,10529,1291,33,15125,4,115,3,120,975,74,0,1168,92,66,8,166,617,51,0,830,873,105,65,1051,860,121,8,2040,1325,88,114,1529,578,102,0,2208,680,217,38,937,1535,116,0,2587,59,466,3,536,2145,123,3,2802,11,329,0,344,1893,121,0,2355,4,51,0,55,1342,114,0,1517,0,3,0,3,578,79,0,657,3057,1443,242,4742,10516,902,23,16174,8,193,0,204,2076,165,0,2446,127,104,11,240,1372,135,6,1760,1455,159,85,1692,2044,413,17,4170,2334,130,160,2622,1266,323,6,4217,1395,290,63,1745,2835,306,0,4883
SED50202,7,102,0,108,1275,123,0,1504,117,72,4,185,1259,127,0,1578,1046,104,40,1190,2190,285,5,3675,1549,63,57,1669,1513,227,3,3414,644,88,23,755,1852,211,4,2817,121,169,3,292,2085,167,0,2541,27,203,0,233,1609,103,8,1949,4,41,0,47,886,82,0,1019,4,0,0,3,251,52,0,306,3511,851,131,4487,12920,1377,22,18797,25,159,4,182,1173,118,5,1474,234,109,15,359,1165,126,0,1653,1774,168,107,2046,1639,282,3,3975,1963,132,135,2232,1136,239,0,3602,579,307,40,922,1804,187,0,2912,75,549,7,625,1978,136,17,2749,16,349,4,373,1734,99,11,2213,5,60,0,64,982,101,5,1154,0,7,0,7,358,89,0,452,4673,1833,303,6815,11970,1365,38,20190,27,265,4,294,2447,240,5,2975,350,185,18,547,2426,253,0,3234,2819,273,145,3241,3832,568,7,7649,3511,199,189,3897,2654,466,3,7016,1222,394,58,1678,3655,399,7,5735
SED50304,5,38,0,48,821,42,4,903,11,35,4,47,1100,105,0,1252,665,93,18,777,3107,234,7,4131,1601,46,25,1677,1805,194,6,3679,775,25,13,814,1650,138,4,2609,151,149,8,297,1816,100,3,2220,27,224,0,255,1311,68,6,1640,4,76,0,84,928,56,0,1073,0,5,0,10,416,17,0,444,3231,692,75,3998,12963,951,33,17946,4,50,5,57,784,52,0,892,46,73,3,118,1180,64,0,1372,1138,181,43,1362,2966,241,11,4582,1822,117,75,2018,1469,149,4,3640,685,114,26,825,1704,103,9,2645,62,418,5,480,1799,101,13,2396,26,512,6,537,1503,82,13,2138,4,94,0,103,1199,79,5,1389,0,15,0,15,620,49,0,679,3774,1577,157,5504,13239,925,57,19729,4,92,5,103,1599,90,0,1795,54,105,4,165,2281,165,3,2617,1798,272,62,2138,6079,480,16,8711,3422,168,98,3688,3275,343,8,7317,1453,143,42,1637,3360,240,15,5252
SED50405,4,118,0,124,1598,86,0,1815,78,66,0,145,1308,68,0,1518,1479,118,50,1646,2293,200,0,4137,2373,76,92,2547,1372,182,5,4101,924,110,35,1072,1868,108,5,3054,132,226,3,359,1640,76,8,2081,25,172,0,192,1099,68,7,1366,0,39,0,34,648,48,4,734,0,0,0,3,130,20,0,156,5024,924,187,6132,11943,852,31,18956,14,196,3,212,1465,90,0,1762,204,144,5,357,1313,81,0,1746,2536,220,169,2920,1871,231,4,5034,3023,133,176,3334,1166,179,0,4685,871,295,47,1209,2025,144,8,3391,60,629,11,703,1626,78,21,2422,19,327,7,340,1244,69,13,1665,3,50,0,56,705,65,0,829,0,6,0,6,150,29,0,183,6728,1999,413,9137,11569,970,41,21721,18,317,3,336,3068,178,0,3582,283,211,8,500,2617,146,0,3265,4015,341,220,4571,4170,430,7,9172,5397,211,269,5876,2540,356,8,8780,1800,400,81,2282,3895,249,15,6439
SED50502,0,64,0,71,1091,52,0,1209,27,53,0,83,1216,84,0,1382,600,76,19,688,2017,171,0,2879,1347,61,32,1438,1396,149,6,2987,750,63,20,838,1665,106,3,2610,178,172,6,351,2094,97,6,2548,24,240,0,265,1518,81,3,1872,3,60,0,64,767,47,4,883,3,4,0,0,234,16,0,263,2936,794,79,3811,11991,805,23,16632,10,100,0,108,991,68,0,1165,50,86,9,142,1016,53,3,1218,1062,121,45,1225,1585,172,13,2993,1751,90,101,1945,996,120,5,3066,740,194,52,986,1731,112,7,2833,86,513,8,604,2004,96,15,2725,9,419,0,425,1582,69,13,2092,4,77,0,79,908,61,0,1055,0,5,0,5,422,35,0,463,3717,1599,214,5528,11235,798,59,17616,9,165,0,175,2076,120,0,2374,80,142,9,225,2230,139,3,2601,1664,199,54,1918,3599,344,10,5871,3103,155,131,3387,2386,270,8,6055,1497,255,78,1821,3393,215,13,5448
SED50605,0,44,0,46,1349,33,4,1426,6,45,0,55,1338,41,0,1438,348,52,10,406,1725,88,9,2223,1588,39,35,1667,915,85,23,2687,1149,29,20,1204,1383,64,13,2661,223,197,8,420,2073,56,17,2564,58,560,0,625,1640,55,13,2330,8,158,5,172,1103,28,8,1308,0,10,0,11,419,15,0,450,3388,1136,74,4599,11934,465,83,17088,5,95,0,93,1207,39,0,1341,5,91,0,101,1178,33,6,1316,565,108,19,691,1448,66,5,2208,2062,64,89,2221,739,66,10,3038,1198,104,36,1333,1661,56,13,3069,112,567,3,682,2191,75,13,2966,37,861,3,905,1684,59,20,2669,9,183,0,191,1188,40,5,1427,4,16,0,19,665,40,0,723,3995,2092,154,6235,11957,476,76,18743,4,139,0,143,2550,73,6,2768,20,132,0,153,2516,74,6,2755,910,162,24,1097,3170,154,18,4430,3656,105,126,3890,1646,150,36,5719,2355,130,59,2538,3042,122,24,5725
SED50702,7,40,0,47,991,70,0,1115,29,50,0,77,1492,174,11,1751,695,109,10,817,3565,384,25,4786,1563,73,33,1666,1923,316,14,3924,810,76,19,907,1891,299,23,3124,192,175,4,367,2179,196,31,2771,38,204,0,243,1460,109,9,1825,8,63,0,71,801,69,7,944,0,0,0,0,307,37,0,351,3342,792,68,4200,14610,1665,110,20579,9,73,4,86,867,69,0,1019,67,98,5,171,1390,136,6,1698,1200,185,38,1418,2926,309,16,4673,1822,122,81,2027,1390,259,9,3680,716,170,27,916,1766,212,4,2900,73,463,6,538,1876,169,20,2601,23,416,8,443,1483,113,9,2057,6,59,0,67,966,101,3,1142,0,4,0,3,498,85,0,585,3915,1588,163,5664,13166,1456,75,20360,18,116,4,133,1858,139,0,2135,99,150,5,249,2876,304,18,3450,1890,290,49,2231,6490,693,35,9458,3379,192,117,3691,3312,576,22,7600,1528,247,43,1819,3660,513,32,6024
SED50805,0,44,0,42,1104,27,0,1181,8,26,0,34,900,17,3,953,311,53,6,372,1384,79,17,1851,1309,48,52,1405,723,64,5,2196,1110,43,32,1184,1299,78,10,2566,219,168,4,396,1772,62,11,2242,26,350,0,377,1312,51,4,1746,6,101,0,112,847,60,0,1017,0,4,0,6,455,46,0,511,2990,831,97,3917,9800,484,57,14256,0,90,0,90,1187,39,0,1320,14,59,0,72,958,22,0,1054,545,123,19,689,1394,86,10,2169,1708,96,137,1941,659,72,3,2674,1200,107,59,1369,1494,90,7,2947,109,456,4,578,1902,58,0,2539,16,626,7,652,1301,56,5,2015,7,147,0,153,1116,83,3,1352,0,10,0,7,771,87,6,869,3608,1712,229,5549,10776,595,23,16943,0,134,5,137,2296,70,4,2498,19,82,0,105,1853,45,3,2009,861,170,28,1060,2777,162,23,4021,3015,144,188,3346,1378,139,10,4874,2303,149,89,2545,2791,170,12,5520
SED50906,6,68,0,75,1181,74,4,1344,80,46,0,120,956,112,0,1186,660,68,26,751,1542,371,8,2674,1300,73,51,1423,981,330,7,2748,805,80,25,912,1637,247,6,2800,144,228,4,376,2093,168,4,2637,21,253,0,273,1659,139,0,2079,9,46,0,58,970,64,3,1101,0,3,0,3,306,51,0,362,3026,863,113,3993,11334,1567,28,16916,7,112,0,124,1174,68,0,1368,146,86,8,247,884,67,0,1195,1129,124,92,1342,1229,180,8,2764,1656,103,124,1881,838,146,5,2876,807,230,51,1088,1829,144,3,3061,53,619,10,676,1984,114,4,2785,23,422,0,438,1738,107,4,2291,13,59,0,70,1138,84,0,1291,4,4,0,11,535,112,0,655,3844,1756,282,5881,11350,1035,27,18284,18,182,4,200,2356,151,6,2714,230,132,8,368,1838,178,3,2383,1789,188,114,2091,2769,554,19,5431,2954,168,176,3302,1825,480,10,5616,1608,310,72,1993,3463,392,9,5864
SED51004,0,65,0,67,1552,55,4,1681,29,50,0,86,1427,57,4,1572,715,71,20,810,1701,102,4,2613,1531,60,60,1649,924,119,8,2697,1069,93,31,1193,1935,101,6,3226,179,256,7,442,2252,77,6,2780,23,235,0,259,1214,34,7,1518,0,47,0,47,571,27,0,646,0,3,0,3,159,13,0,180,3555,878,112,4553,11739,598,28,16916,0,100,0,102,1371,82,0,1555,74,90,5,166,1301,53,4,1528,1188,128,67,1379,1333,107,4,2819,2004,91,116,2215,778,114,9,3108,1121,254,36,1413,2232,110,5,3767,71,704,7,788,2025,74,3,2894,16,410,0,429,1135,41,5,1613,4,67,0,66,673,38,0,785,0,0,0,0,218,32,0,254,4484,1848,235,6565,11069,647,38,18316,5,163,0,171,2926,134,0,3233,103,145,9,252,2729,117,6,3099,1901,198,86,2185,3028,209,9,5435,3537,156,173,3859,1704,224,11,5804,2188,348,63,2602,4172,213,8,6991
