SED_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED50106,713,631,1459,1735,2065,1813,488,56,5,8958,402,156,464,369,408,870,1770,1356,587,6380,53,43,115,101,115,113,102,103,70,820,1169,836,2033,2208,2583,2800,2356,1515,659,16157,357,753,1797,1885,2431,1859,405,40,3,9532,884,430,911,1219,1206,1386,621,104,14,6771,32,46,173,115,144,208,60,16,4,803,31,38,53,42,62,40,18,10,0,286,1306,1263,2927,3258,3841,3500,1108,171,18,17393,44,48,75,51,55,53,6,0,0,348,111,29,59,38,37,59,26,0,0,362,155,82,137,89,94,115,30,0,0,712,1460,1344,3069,3348,3936,3609,1138,173,21,18101,865,303,822,653,699,1426,3233,2434,1010,11453,121,101,262,211,250,248,213,175,109,1696,2448,1750,4154,4214,4881,5284,4591,2784,1144,31252
SED50202,747,1189,2577,2446,2033,1563,357,24,0,10920,628,358,1134,936,710,1055,1736,1010,358,7921,103,110,262,226,168,122,114,114,87,1310,1473,1655,3972,3602,2909,2736,2208,1151,452,20153,272,1161,3278,3265,2565,1935,346,18,0,12850,790,852,1429,1437,1098,983,383,52,0,7018,41,69,288,162,163,154,37,5,0,917,31,68,136,87,70,52,12,6,0,448,1138,2146,5134,4950,3893,3119,775,74,9,21231,108,183,313,226,231,135,20,0,0,1209,223,92,170,128,96,68,18,0,0,802,329,274,479,349,330,206,40,0,0,2011,1467,2429,5616,5304,4219,3324,813,79,9,23247,1302,584,1501,1272,1143,1678,3123,1890,613,13105,212,220,528,438,363,273,212,203,140,2582,2975,3231,7641,7013,5728,5271,4152,2166,760,38931
SED50304,519,1130,3776,2949,2088,1523,453,30,3,12471,341,181,569,544,447,761,1583,1274,629,6332,35,51,234,139,103,94,82,80,46,868,889,1370,4574,3641,2638,2382,2122,1385,679,19672,114,917,4703,3929,2776,1786,389,29,3,14645,678,994,2082,1724,1138,1020,477,60,4,8183,21,56,258,197,107,107,39,4,0,783,7,58,131,85,61,27,9,3,5,389,818,2022,7177,5938,4082,2946,920,98,8,24004,35,54,163,148,133,102,12,0,0,644,126,60,107,96,62,77,16,0,0,543,159,115,268,246,190,177,31,0,0,1190,976,2139,7447,6179,4279,3121,952,95,8,25200,746,336,803,811,733,1278,2657,2213,1056,10636,67,140,445,318,232,199,149,139,54,1752,1792,2614,8697,7312,5239,4593,3762,2451,1126,37587
SED50405,1082,1386,3717,3570,2672,1470,226,6,0,14134,611,299,1093,935,592,866,1356,752,150,6652,72,68,217,174,117,73,71,69,28,892,1762,1746,5028,4683,3383,2403,1654,830,183,21677,346,1345,4556,4737,3595,1922,254,9,0,16764,1285,968,1937,1894,1308,838,246,25,0,8494,41,86,447,266,217,175,41,4,0,1267,27,53,168,117,68,35,9,0,0,476,1695,2453,7097,7014,5185,2972,538,33,3,27007,102,125,196,161,119,89,6,0,0,795,321,99,145,120,64,43,20,3,0,831,424,230,339,285,184,137,24,3,0,1625,2126,2680,7440,7302,5376,3104,566,38,3,28630,1316,463,1333,1151,836,1246,2306,1407,279,10345,143,125,389,328,211,133,139,115,52,1635,3582,3265,9165,8776,6426,4486,3015,1562,333,40606
SED50502,630,975,2253,2355,2180,1688,408,27,0,10511,482,194,573,599,550,940,1608,962,434,6334,58,46,156,108,103,86,63,64,30,719,1161,1214,2984,3061,2826,2709,2075,1052,463,17563,184,865,2947,3052,2829,2138,408,11,0,12438,778,873,1207,1408,1179,1101,438,55,3,7038,38,58,201,170,121,113,43,0,0,735,19,45,100,62,60,34,6,4,0,338,1012,1844,4459,4690,4194,3382,899,69,3,20551,50,118,172,148,133,114,16,0,0,752,162,97,86,84,65,66,24,0,0,589,214,217,259,232,198,182,35,0,0,1344,1231,2061,4713,4921,4390,3562,934,67,3,21894,1041,406,838,884,844,1508,2867,1751,679,10830,102,125,310,237,197,180,141,110,44,1449,2375,2597,5862,6048,5435,5258,3942,1931,724,34169
SED50605,811,1115,1857,2427,2475,1885,582,61,4,11206,502,174,291,537,520,999,2018,1326,686,7063,23,25,52,63,56,65,50,35,35,398,1341,1313,2205,3028,3052,2954,2649,1419,725,18667,137,826,2410,3054,3233,2327,507,44,0,12550,1162,1241,1008,1443,1349,1281,757,131,10,8381,42,58,144,151,107,137,47,10,0,704,15,27,63,48,36,20,20,6,4,248,1363,2153,3636,4700,4723,3766,1338,197,14,21879,22,49,104,96,113,83,19,3,0,496,211,100,70,61,68,58,26,0,0,602,229,152,178,159,185,145,45,6,0,1092,1597,2301,3812,4854,4903,3912,1380,204,14,22972,1121,398,482,699,683,1475,3485,2464,1104,11902,43,52,126,136,115,115,99,54,50,791,2763,2747,4415,5681,5700,5500,4964,2717,1166,35673
SED50702,575,1298,3608,2732,2173,1605,430,37,0,12460,388,274,763,691,521,820,1505,991,492,6448,60,119,285,251,200,158,111,107,90,1378,1019,1696,4657,3675,2896,2581,2043,1134,585,20289,177,1207,4941,3962,3126,2138,439,27,0,16028,736,1094,1911,1516,1043,1039,453,66,3,7861,34,79,321,230,174,162,48,5,0,1053,9,61,177,78,68,34,9,4,3,447,952,2446,7345,5784,4414,3375,957,103,7,25383,48,100,221,165,153,130,14,0,0,842,128,106,134,91,83,61,18,4,0,622,172,209,356,254,240,190,32,4,0,1462,1131,2654,7707,6042,4654,3571,984,103,7,26849,888,510,1097,996,868,1415,2657,1785,785,10994,120,271,623,548,470,342,213,183,146,2915,2135,3434,9421,7581,5995,5328,3858,2079,937,40758
SED50805,800,924,1863,2215,2454,1810,468,40,7,10567,491,108,232,382,414,669,1495,1230,785,5812,31,20,70,72,82,57,53,82,72,537,1320,1054,2165,2672,2947,2535,2011,1351,867,16922,154,634,2282,2561,3165,2081,380,27,3,11278,1053,972,905,1380,1328,1213,568,88,4,7502,44,45,186,169,109,139,50,5,0,740,9,10,42,37,37,25,13,0,0,168,1263,1656,3412,4137,4642,3456,1011,113,9,19690,19,46,59,69,75,70,15,4,0,352,209,61,50,44,47,59,24,5,0,488,228,99,110,111,124,124,37,8,0,840,1486,1757,3516,4253,4765,3580,1047,121,9,20536,961,208,344,476,595,1073,2602,2117,1261,9632,54,39,138,136,142,110,109,125,110,961,2498,2006,4000,4860,5506,4766,3753,2363,1381,31123
SED50906,854,922,1955,2171,2414,1743,406,25,3,10492,450,204,629,561,519,925,1779,1181,562,6822,63,69,168,134,127,117,107,86,87,947,1367,1192,2753,2865,3054,2779,2289,1291,655,18259,323,1052,2484,2606,2973,2143,390,19,0,11977,968,556,1083,1343,1309,1117,508,54,5,6945,67,77,191,159,170,188,46,8,0,908,29,33,70,60,57,28,8,5,3,293,1393,1721,3828,4172,4503,3476,946,83,10,20118,73,84,141,114,108,92,16,0,0,621,152,65,93,70,73,52,10,3,0,512,219,154,231,179,180,146,24,3,0,1128,1611,1874,4058,4347,4687,3620,972,81,10,21253,979,377,1008,973,891,1566,3188,2154,883,12019,116,137,351,288,278,228,208,144,127,1875,2709,2385,5419,5611,5852,5408,4365,2390,1015,35144
SED51004,1016,1292,2198,2470,3116,2001,312,12,0,12424,494,184,516,529,540,821,1255,727,243,5310,45,48,98,95,102,65,39,37,10,542,1553,1524,2812,3099,3756,2889,1605,782,254,18275,297,1156,2682,3038,3970,2561,323,12,0,14047,1277,1095,1247,1423,1655,1321,384,38,0,8444,51,66,267,185,180,165,51,0,0,973,42,64,83,76,70,48,14,9,0,396,1658,2383,4284,4726,5875,4094,776,57,0,23858,66,134,157,116,122,97,11,0,0,706,284,83,89,65,69,57,24,0,0,677,346,219,247,182,193,162,31,0,0,1383,2009,2599,4532,4908,6072,4260,807,57,0,25242,1143,394,709,678,724,1271,2234,1315,413,8878,81,103,187,204,189,129,71,56,18,1041,3229,3090,5425,5791,6983,5664,3120,1427,434,35166
