SED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SED50106,687,5083,5619,2127,1333,14843,822,15664
SED50202,1182,6811,6866,2284,1253,18399,1296,19689
SED50304,1318,8356,6889,1691,817,19068,997,20067
SED50405,513,6289,8355,2573,1241,18981,835,19814
SED50502,855,5422,6199,2182,1161,15817,763,16578
SED50605,588,5243,6937,2227,1180,16172,419,16592
SED50702,1402,8092,7004,1947,899,19348,1157,20502
SED50805,777,5604,6235,1716,925,15256,528,15784
SED50906,978,6522,6516,2084,972,17065,1049,18108
SED51004,432,4653,6787,2487,1307,15661,553,16219
SED51104,696,7313,7944,2326,1121,19396,873,20275
SED51205,1030,7139,7300,2332,1190,18994,1041,20034
SED51304,319,3784,7213,2266,1259,14840,335,15169
SED51401,607,4407,4950,2280,1757,14005,1695,15701
SED51504,793,5787,6797,1913,978,16271,436,16706
SED51605,530,5237,7327,2537,1310,16946,621,17565
SED51706,454,4777,6564,2811,1651,16257,970,17227
SED51804,952,6002,6660,2024,1062,16698,676,17376
SED51902,212,3327,6454,3066,2483,15546,579,16125
SED52006,553,6234,6649,2129,1057,16619,525,17142
SED52102,498,4749,6110,2341,1503,15207,747,15954
SED52205,1614,7610,6501,1710,808,18245,1105,19350
SED52301,710,5074,5494,1988,1081,14350,1288,15645
SED52404,350,4335,7007,2417,1267,15380,346,15729
SED52505,219,4217,9217,2834,1474,17961,363,18324
SED52604,459,4416,6297,2322,1254,14748,566,15318
SED52702,325,3151,5707,2748,2124,14055,382,14440
SED52803,736,4178,4577,1811,1032,12337,1951,14293
SED52903,2126,6474,3604,1201,687,14093,2743,16832
SED53004,451,4497,6823,2266,1281,15318,342,15662
SED53105,699,5573,7067,2233,1206,16772,854,17626
SED53204,287,3837,7333,2698,1485,15641,397,16033
SED53306,1271,7683,6106,2002,970,18040,1080,19118
SED53402,1507,8174,6467,1447,686,18282,818,19103
SED53502,1137,6428,6686,2317,1304,17879,1199,19079
SED53602,1141,6112,5870,2191,1283,16589,1162,17753
SED53701,388,4159,5308,2573,1941,14360,1853,16212
SED53802,963,6554,6857,2081,1108,17556,757,18316
SED53902,1351,7819,6121,1584,836,17713,742,18455
SED54006,408,4652,6098,2730,1847,15734,888,16616
SED54104,1562,8207,6216,1611,716,18316,667,18986
SED54203,887,5576,2972,849,582,10860,1817,12678
SED54304,3590,12022,6127,1249,459,23446,1925,25374
SED54403,890,4783,5673,2076,1029,14440,2664,17106
SED54505,455,4576,7001,2265,1122,15419,326,15743
SED54605,1174,6976,5713,1891,886,16648,918,17568
SED54701,650,4443,5055,2165,1730,14043,1599,15647
SED54804,925,7377,7654,1833,805,18592,883,19473
SED54905,1012,7479,6652,1789,755,17687,702,18389
SED55005,411,4587,7071,2714,1505,16287,580,16865
SED55102,282,3927,6490,2851,2101,15651,834,16487
SED55202,1032,6295,6364,2278,1306,17275,954,18230
SED55306,505,5689,6742,2320,1227,16479,1012,17495
SED55405,1870,8424,6494,1823,852,19461,1176,20633
SED55504,536,5025,7013,2624,1641,16850,541,17385
SED55605,429,4775,7016,2666,1446,16335,628,16959
SED55706,568,5523,6570,2533,1485,16681,1528,18209
SED55802,427,5101,7728,2687,1588,17536,560,18092
SED55905,943,5452,6063,2006,1093,15557,700,16254
SED59797,11,0,0,0,0,13,0,13
