SED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SED50106,200,630,16,851,4160,280,11,5293,31,517,6,547,3788,252,8,4596,8,87,0,96,2489,195,3,2786,0,9,0,9,1017,121,4,1142,5556,2122,335,8011,21041,2190,52,31301
SED50202,193,716,8,919,4056,294,14,5292,44,552,3,603,3345,202,20,4166,8,99,0,116,1871,187,9,2171,4,8,0,11,609,136,0,760,8177,2688,434,11298,24888,2747,54,38993
SED50304,204,563,10,777,3613,201,17,4611,51,736,6,788,2821,148,20,3781,6,172,0,186,2131,136,7,2459,0,22,0,22,1039,70,0,1126,7007,2271,230,9506,26200,1877,90,37678
SED50405,190,859,14,1058,3266,154,25,4505,40,497,3,539,2341,136,19,3032,6,92,0,89,1358,114,3,1565,0,3,0,8,279,52,0,336,11751,2925,597,15267,23521,1819,76,40673
SED50502,259,683,16,959,4100,194,21,5274,32,653,4,695,3100,150,20,3959,9,141,0,147,1677,113,4,1939,3,7,0,7,661,57,0,728,6652,2393,297,9339,23226,1607,81,34248
SED50605,326,768,8,1106,4262,136,29,5533,99,1420,6,1526,3325,117,37,5003,21,339,0,358,2294,64,13,2732,3,25,0,26,1083,52,3,1167,7384,3222,229,10838,23888,937,161,35834
SED50702,265,635,8,908,4057,363,48,5370,66,619,7,690,2945,226,18,3882,14,125,0,137,1768,172,10,2090,0,7,0,7,801,127,0,937,7250,2381,225,9863,27777,3123,180,40938
SED50805,333,623,8,968,3671,120,14,4772,42,974,9,1025,2614,113,11,3761,11,248,3,259,1957,139,8,2367,3,14,0,14,1228,138,0,1381,6593,2547,327,9466,20573,1086,84,31207
SED50906,195,846,7,1054,4076,281,9,5419,45,670,3,717,3401,245,4,4372,19,107,0,129,2112,153,0,2389,4,7,0,11,842,162,0,1015,6864,2615,391,9874,22680,2597,56,35200
SED51004,255,960,15,1230,4273,150,10,5674,41,648,4,687,2354,76,11,3130,3,109,0,115,1246,72,0,1431,0,4,0,4,377,49,0,434,8043,2729,345,11115,22809,1245,65,35231
SED51104,238,779,14,1029,3559,191,13,4802,40,572,0,609,2677,124,6,3416,7,98,0,111,1809,130,3,2051,0,4,0,4,678,73,0,749,10702,2888,538,14125,24993,1877,104,41095
SED51205,227,684,7,923,3774,205,38,4936,71,762,6,838,3069,155,35,4088,13,159,0,169,1800,152,14,2134,0,7,0,11,666,95,7,771,8549,2504,255,11303,28477,2464,161,42410
SED51304,261,823,13,1097,3713,65,8,4888,81,1736,3,1826,3352,87,8,5267,6,354,7,362,2305,111,0,2782,0,3,0,5,798,44,0,848,7965,3488,373,11827,20152,686,57,32721
SED51401,182,681,14,878,4486,668,4,6031,35,474,0,510,4144,497,3,5155,7,75,0,77,2207,348,4,2636,0,0,0,5,745,149,0,895,5116,1908,251,7273,20366,4158,38,31841
SED51504,374,542,6,928,3736,65,14,4744,52,1006,3,1061,2439,102,17,3630,15,312,0,337,1959,100,11,2400,3,22,0,30,1190,82,5,1306,8310,2572,338,11219,22503,884,100,34706
SED51605,245,804,6,1058,3620,137,18,4836,50,667,3,719,2272,122,25,3138,14,128,4,145,1193,108,7,1449,0,9,0,7,388,58,0,451,9289,2672,371,12330,23293,1317,92,37025
SED51706,182,935,10,1127,4390,266,12,5795,31,663,4,700,3872,275,11,4852,8,94,0,104,2192,224,0,2525,0,0,0,0,641,177,0,815,7028,2672,431,10128,21892,2024,68,34107
SED51804,459,599,11,1067,4193,174,27,5460,57,1305,0,1358,3104,174,20,4662,22,468,0,493,2519,189,7,3208,4,15,0,15,1280,192,4,1497,6900,3071,300,10272,23711,1500,163,35650
SED51902,215,993,16,1224,3895,202,12,5338,34,772,4,811,2862,147,11,3833,8,121,0,132,1536,87,3,1757,4,4,0,4,416,40,0,468,8728,3171,485,12383,21349,1617,53,35413
SED52006,214,889,7,1109,4285,122,3,5521,44,794,7,847,5114,168,13,6140,14,120,0,137,3415,169,3,3730,0,6,0,14,976,108,0,1089,5754,2689,272,8716,23186,1157,47,33107
SED52102,190,757,9,958,3632,204,16,4798,40,668,5,714,2838,125,9,3679,9,115,0,120,1649,102,0,1868,0,4,0,7,596,50,0,651,7362,2445,308,10121,21125,1578,40,32864
SED52205,317,622,22,961,4402,334,27,5731,49,932,6,984,3364,280,12,4639,13,194,3,211,2047,254,3,2508,0,10,0,15,962,231,3,1206,6315,2613,357,9289,25097,2676,190,37251
SED52301,186,671,7,861,3750,369,8,4992,32,514,6,550,3189,315,3,4051,9,90,0,95,1825,237,9,2160,0,6,0,9,687,143,5,840,5620,2156,337,8112,19772,3028,46,30954
