SED_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED50106,..,64,40,10,14,16,4,0,0,152,..,106,74,25,37,67,30,18,0,355,..,70,132,125,273,506,609,546,284,2537,58,75,66,47,33,71,40,23,11,429,0,0,3,0,0,3,0,0,0,11,3142,1829,1864,2059,2420,2576,2194,1357,482,17918,..,98,1256,2036,2486,2732,2622,1452,363,13046,..,431,910,671,602,529,260,74,5,3488,..,38,208,428,471,218,91,68,57,1579,6318,..,..,..,..,..,..,..,..,6318,..,1329,..,..,..,..,..,..,..,1329,..,1096,445,146,116,72,19,0,0,1893,..,177,91,34,57,89,110,66,32,652,..,119,103,38,38,31,12,4,0,347,..,194,170,61,83,110,65,36,0,724,..,158,314,273,519,905,977,767,407,4318,130,145,120,108,94,122,81,35,19,856,0,0,3,0,0,3,0,6,0,22,6447,3802,3623,3789,4464,4825,4233,2504,889,34582
SED50202,..,87,52,30,17,13,7,0,0,198,..,109,106,62,89,100,47,22,3,533,..,100,255,215,310,523,566,414,176,2563,81,89,52,40,48,37,40,16,7,410,0,3,3,0,5,12,6,3,0,28,5026,2929,3728,3400,2751,2638,2121,1039,330,23967,..,159,2248,3474,2550,2514,2190,1019,193,14347,..,748,1861,943,655,423,161,45,14,4838,..,123,619,783,666,431,226,118,63,3027,10260,..,..,..,..,..,..,..,..,10260,..,2009,..,..,..,..,..,..,..,2009,..,1683,904,311,211,102,12,0,0,3226,..,338,279,121,141,208,206,85,36,1411,..,191,173,103,55,36,23,14,0,597,..,210,300,175,204,222,119,35,9,1270,..,185,634,599,802,1008,970,627,249,5077,169,176,142,100,118,73,60,31,11,876,5,3,4,3,4,12,14,4,0,46,10431,5814,7165,6608,5394,5033,3987,1976,569,46983
SED50304,..,69,84,20,11,9,3,0,0,190,..,210,339,77,59,49,31,14,0,770,..,89,577,470,475,608,748,554,319,3839,38,50,66,43,33,29,30,33,14,344,0,3,7,4,6,11,14,5,0,52,3327,2173,4363,3503,2538,2304,2068,1301,519,22099,..,126,2996,3948,2630,2246,1917,1244,329,15441,..,385,1885,909,386,240,131,37,8,3974,..,19,186,431,494,333,164,119,82,1835,6590,..,..,..,..,..,..,..,..,6590,..,1668,..,..,..,..,..,..,..,1668,..,943,707,265,195,128,19,0,0,2245,..,266,307,98,83,134,126,84,39,1128,..,143,221,52,29,21,5,0,0,473,..,388,788,217,149,104,68,19,5,1746,..,169,1052,998,981,1115,1133,754,423,6630,73,91,153,108,76,72,47,43,19,679,0,11,12,3,6,18,20,7,0,76,6668,4222,8306,7024,5020,4409,3630,2308,909,42488
SED50405,..,85,59,15,4,10,3,3,0,188,..,88,127,59,44,51,43,15,0,430,..,84,273,184,229,338,400,260,68,1843,74,88,60,46,33,61,35,12,7,420,12,0,5,0,4,14,9,0,0,44,6952,3387,4850,4525,3277,2349,1611,784,145,27877,..,131,3476,5453,4024,2712,1791,863,108,18551,..,800,2515,1167,689,324,110,50,4,5663,..,91,542,779,606,296,114,60,20,2510,14017,..,..,..,..,..,..,..,..,14017,..,2707,..,..,..,..,..,..,..,2707,..,1860,737,169,91,46,3,0,0,2912,..,299,249,98,98,178,155,68,29,1178,..,164,173,64,33,33,10,0,0,468,..,215,373,158,113,95,73,30,6,1063,..,188,639,495,496,569,575,370,97,3430,157,156,130,108,91,96,64,21,7,832,11,0,7,4,10,15,13,3,0,70,14181,6614,8837,8494,6251,4368,2903,1475,265,53394
SED50502,..,56,59,17,17,10,12,3,3,175,..,77,137,53,79,99,48,23,3,512,..,47,168,176,239,438,549,361,197,2170,60,68,60,34,35,34,25,24,11,346,0,0,4,6,4,15,14,3,0,46,3681,2293,2859,2966,2748,2648,2033,1003,386,20626,..,82,1749,3298,2876,2974,2145,963,184,14264,..,307,1330,848,581,406,175,35,5,3689,..,39,279,458,618,347,202,109,71,2121,7648,..,..,..,..,..,..,..,..,7648,..,2014,..,..,..,..,..,..,..,2014,..,1521,960,326,182,83,31,0,0,3104,..,280,204,98,116,184,191,117,78,1267,..,114,142,64,47,31,21,4,3,429,..,202,404,183,181,182,105,43,11,1311,..,102,411,465,575,842,897,532,257,4075,128,135,125,93,82,58,54,36,12,721,4,0,10,9,8,19,15,3,0,64,7777,4792,5618,5833,5272,5114,3836,1847,620,40714
SED50605,..,53,75,22,8,3,4,0,0,168,..,192,153,54,20,30,28,15,4,495,..,64,172,126,160,343,499,474,348,2182,31,63,53,26,31,45,33,12,12,311,10,6,0,6,12,12,12,3,0,65,3662,2608,2147,2973,3009,2885,2605,1369,609,21870,..,22,1305,3929,4111,3868,3609,1756,399,18993,..,191,795,474,307,295,136,48,7,2262,..,9,68,318,477,324,133,79,79,1484,7380,..,..,..,..,..,..,..,..,7380,..,2993,..,..,..,..,..,..,..,2993,..,1241,916,271,172,79,30,0,0,2705,..,245,169,47,39,95,114,77,58,856,..,115,166,38,24,19,11,4,0,384,..,370,442,130,70,58,48,26,8,1152,..,123,346,290,329,575,727,617,442,3440,62,115,88,66,62,68,55,28,16,556,17,8,15,23,16,21,26,6,3,141,7457,5438,4315,5590,5612,5393,4887,2649,1017,42358
SED50702,..,76,104,31,17,14,0,0,0,245,..,262,358,109,78,68,57,11,0,942,..,172,535,324,336,509,586,435,235,3133,56,80,89,35,40,51,34,20,4,425,0,4,9,9,4,14,8,6,0,56,3596,2498,4324,3376,2623,2375,1890,993,421,22104,..,98,2583,3763,2735,2318,1828,878,211,14406,..,580,2047,952,630,433,179,52,11,4884,..,45,229,456,533,329,162,105,90,1947,7274,..,..,..,..,..,..,..,..,7274,..,1658,..,..,..,..,..,..,..,1658,..,1056,689,206,155,131,26,0,0,2268,..,395,374,109,102,170,177,74,44,1446,..,181,317,94,62,33,13,4,5,707,..,611,1065,342,220,193,111,35,6,2585,..,329,1170,830,778,1094,1010,645,324,6179,115,162,173,96,89,91,65,26,9,818,0,11,16,13,11,28,17,9,0,94,7387,5124,8657,6861,5302,4821,3583,1829,696,44266
SED50805,..,22,21,12,7,4,4,0,0,69,..,147,181,37,29,38,31,13,7,476,..,87,271,215,275,473,639,544,362,2868,32,64,46,21,24,47,34,20,6,295,0,0,7,3,5,0,0,0,6,17,3345,2246,2079,2593,2869,2464,1938,1201,593,19336,..,12,1005,3036,3418,2781,2180,1120,349,13887,..,192,1171,638,568,437,204,69,14,3291,..,8,61,293,560,287,82,79,76,1448,6615,..,..,..,..,..,..,..,..,6615,..,2405,..,..,..,..,..,..,..,2405,..,1060,509,140,85,85,24,0,0,1905,..,147,96,16,30,48,53,58,45,491,..,46,62,26,20,16,3,4,0,175,..,237,348,88,62,81,63,31,5,906,..,137,469,412,554,795,925,742,486,4527,57,102,111,70,62,87,59,32,11,592,10,5,14,5,12,4,0,0,0,49,6679,4340,3839,4713,5356,4624,3608,2128,994,36288
SED50906,..,65,60,29,13,5,6,0,0,169,..,141,169,50,65,73,53,21,6,579,..,103,220,196,341,590,664,502,269,2875,44,102,72,44,39,50,38,16,10,405,0,3,6,5,3,0,4,0,0,23,3752,2399,2569,2714,2888,2603,2180,1190,441,20744,..,82,1390,2664,2942,2783,2415,1219,255,13742,..,613,1274,702,594,438,199,52,3,3870,..,85,356,641,636,249,130,95,65,2256,7621,..,..,..,..,..,..,..,..,7621,..,1623,..,..,..,..,..,..,..,1623,..,1337,455,165,126,86,22,0,0,2191,..,187,133,61,70,105,103,63,35,768,..,136,137,67,39,20,13,4,0,426,..,267,371,145,143,146,109,42,9,1232,..,219,539,504,728,1057,1043,708,364,5164,117,191,152,104,87,79,67,23,11,824,3,8,11,9,0,3,4,0,0,43,7742,4751,4826,5052,5363,4974,4100,2209,735,39749
SED51004,..,72,51,17,11,9,0,3,0,172,..,76,80,29,32,38,30,3,0,301,..,53,137,112,169,307,309,223,73,1392,55,60,53,25,16,28,23,3,3,260,0,0,0,6,0,3,5,0,0,22,4170,3001,2728,3014,3678,2830,1572,738,184,21916,..,62,1652,3522,4774,3897,2093,857,132,16990,..,412,1439,790,640,388,109,32,14,3814,..,41,262,508,680,386,129,51,22,2074,8585,..,..,..,..,..,..,..,..,8585,..,2777,..,..,..,..,..,..,..,2777,..,2156,983,212,84,40,9,0,0,3473,..,210,157,44,61,106,123,97,41,838,..,137,115,44,39,26,9,7,0,383,..,157,204,63,74,85,62,16,4,665,..,112,315,360,419,576,470,296,115,2664,99,112,122,61,50,42,31,8,4,531,5,3,5,8,6,11,9,0,0,45,8694,6163,5262,5619,6826,5544,3049,1363,336,42851
