SED_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
SED50106,2948,558,168,36,7,5,34,3757
SED50202,4135,850,329,73,17,10,52,5479
SED50304,4269,441,91,34,7,0,18,4857
SED50405,5930,1547,485,74,16,6,38,8096
SED50502,4278,604,188,69,12,4,32,5179
SED50605,5292,557,118,35,4,0,14,6029
SED50702,3983,571,123,46,15,0,29,4770
SED50805,4187,554,102,18,0,0,7,4870
SED50906,3377,720,230,36,13,4,35,4417
SED51004,5251,896,249,37,9,0,26,6460
SED51104,5406,1395,491,62,15,7,32,7403
SED51205,5425,583,148,74,9,3,39,6289
SED51304,5394,644,120,21,7,0,8,6209
SED51401,2591,456,168,37,8,4,45,3307
SED51504,5508,536,106,23,5,0,13,6188
SED51605,5648,898,235,50,7,3,26,6871
SED51706,3811,821,257,53,18,4,44,4997
SED51804,4629,513,97,11,4,0,13,5265
SED51902,5052,1055,351,72,23,3,47,6598
SED52006,3005,941,221,36,9,0,35,4241
SED52102,4197,722,236,54,15,5,26,5238
SED52205,3482,539,98,25,4,0,15,4160
SED52301,2857,704,196,47,9,7,36,3859
SED52404,4824,732,162,29,5,0,11,5763
SED52505,7971,1017,239,79,11,5,15,9337
SED52604,4411,779,168,29,3,4,21,5418
SED52702,4197,739,182,34,9,3,30,5194
SED52803,2902,543,214,53,11,3,36,3759
SED52903,2338,394,127,121,31,8,77,3097
SED53004,4774,685,169,31,8,0,32,5695
SED53105,5158,920,307,53,17,4,34,6506
SED53204,6520,824,256,76,14,0,27,7715
SED53306,3172,972,261,34,14,7,43,4505
SED53402,4076,496,91,20,0,0,10,4693
SED53502,3987,793,220,77,18,0,45,5139
SED53602,4562,504,186,76,8,5,28,5376
SED53701,2721,562,162,33,14,4,42,3548
SED53802,4527,522,138,46,12,4,25,5266
SED53902,3907,417,90,27,3,0,8,4446
SED54006,3471,903,289,51,17,7,66,4796
SED54104,4536,396,74,15,0,0,0,5029
SED54203,1354,246,82,31,8,7,28,1756
SED54304,3635,429,47,12,0,0,9,4136
SED54403,3977,656,290,64,13,6,43,5053
SED54505,6284,625,109,54,13,5,18,7110
SED54605,2785,664,211,33,12,0,37,3750
SED54701,3028,377,165,38,10,4,33,3646
SED54804,4248,596,99,15,0,0,13,4972
SED54905,3903,455,75,21,8,0,11,4467
SED55005,6526,829,250,92,11,7,36,7744
SED55102,4956,1136,331,74,16,7,34,6554
SED55202,4737,697,214,70,11,5,31,5772
SED55306,3666,834,197,30,10,0,30,4770
SED55405,3729,463,96,31,6,0,20,4350
SED55504,5568,1039,342,59,9,0,35,7052
SED55605,4752,1279,399,63,20,3,56,6568
SED55706,3238,626,176,20,7,0,30,4109
SED55802,6085,988,329,99,16,8,24,7547
SED55905,3746,548,133,40,0,0,19,4490
SED59797,0,0,0,0,0,0,0,0
