SED_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SED50106,17,14,190,243,49,404,31,329,29,1306,46,107,309,237,86,165,72,228,16,1263,226,587,639,377,281,243,185,353,39,2927,416,677,485,446,385,235,188,381,45,3258,585,767,506,563,444,273,266,387,52,3841,528,672,388,487,471,246,275,378,44,3500,260,192,124,98,127,69,89,133,16,1108,69,23,14,7,11,13,9,21,11,171,11,0,0,0,0,0,0,4,7,18,2167,3043,2652,2461,1841,1649,1111,2211,252,17393
SED50202,15,11,147,141,50,367,68,301,28,1138,89,129,441,353,229,304,226,347,32,2146,370,697,1030,694,659,363,616,576,123,5134,434,733,887,685,621,294,646,555,91,4950,326,499,602,568,521,246,578,489,69,3893,240,350,421,433,476,198,520,419,55,3119,68,94,111,104,110,62,115,105,13,775,12,14,12,0,7,0,4,13,6,74,0,0,0,0,0,0,0,0,0,9,1558,2533,3641,2978,2669,1844,2771,2808,430,21231
SED50304,4,17,82,141,48,343,30,144,9,818,83,329,285,392,217,349,95,242,32,2022,642,2182,1050,950,740,444,387,651,130,7177,837,1788,749,589,766,321,317,471,90,5938,630,1000,490,400,648,274,241,342,62,4082,395,560,401,289,540,231,207,272,35,2946,96,175,118,80,173,72,74,119,14,920,27,19,6,5,14,9,9,11,5,98,0,0,0,0,0,0,0,0,5,8,2714,6078,3191,2849,3147,2044,1354,2256,378,24004
SED50405,22,25,188,255,60,607,74,446,28,1695,108,217,501,511,238,346,180,307,50,2453,584,1185,1482,1039,890,462,719,608,125,7097,813,1420,1235,993,937,360,621,529,112,7014,636,888,913,725,692,287,492,470,87,5185,329,440,478,370,458,181,370,286,55,2972,60,83,57,66,66,48,81,70,5,538,0,11,5,0,8,3,3,9,3,33,0,0,0,0,0,0,0,0,3,3,2560,4264,4864,3957,3354,2286,2539,2724,467,27007
SED50502,7,15,103,194,44,315,57,258,21,1012,97,195,313,336,204,314,125,224,34,1844,412,1132,776,589,487,293,328,345,92,4459,580,1135,818,501,609,266,315,371,92,4690,504,809,626,508,680,236,363,401,67,4194,364,517,510,400,577,235,346,384,43,3382,70,141,116,112,138,71,101,127,14,899,3,13,9,7,6,4,8,16,0,69,0,0,0,0,0,0,0,0,0,3,2050,3965,3261,2642,2739,1738,1656,2135,369,20551
SED50605,20,45,94,292,58,499,55,281,20,1363,75,496,238,396,246,380,99,193,30,2153,354,1637,418,325,370,207,100,173,55,3636,887,2040,422,287,607,172,88,128,70,4700,1037,1740,387,338,673,241,114,142,57,4723,805,1233,334,252,610,229,111,147,49,3766,235,475,98,72,222,97,48,62,21,1338,33,71,10,9,27,18,4,9,11,197,0,3,0,0,0,0,0,0,3,14,3456,7737,1999,1976,2809,1836,633,1136,302,21879
SED50702,18,20,95,163,49,337,33,211,21,952,105,319,398,496,271,369,164,274,44,2446,650,1977,1275,875,864,409,563,587,150,7345,798,1495,934,586,733,272,449,419,107,5784,684,895,638,479,643,222,462,324,71,4414,463,532,467,317,620,206,379,332,62,3375,146,177,112,84,134,61,114,105,22,957,16,23,6,6,15,5,11,13,3,103,0,0,0,0,7,0,0,0,3,7,2886,5441,3926,3002,3333,1878,2175,2265,472,25383
SED50805,12,34,108,304,54,430,54,259,11,1263,82,263,225,409,197,260,64,140,12,1656,424,1434,438,345,358,165,76,130,43,3412,909,1661,384,289,467,174,89,124,31,4137,1065,1635,393,344,672,227,98,137,62,4642,678,1133,321,267,581,178,106,148,42,3456,164,325,96,68,165,86,41,47,15,1011,29,35,5,0,13,12,7,9,8,113,3,3,0,0,3,0,0,0,4,9,3367,6534,1963,2026,2507,1536,538,988,228,19690
SED50906,4,20,174,248,59,470,55,344,25,1393,59,160,380,300,157,203,141,296,21,1721,263,786,804,455,364,287,283,527,55,3828,424,921,776,467,452,228,350,476,79,4172,501,928,698,540,578,287,410,488,73,4503,400,665,488,391,490,233,388,386,34,3476,110,210,116,91,127,64,114,106,16,946,19,14,4,6,3,4,10,11,3,83,0,0,0,0,0,5,0,0,0,10,1785,3711,3442,2490,2221,1774,1754,2630,315,20118
SED51004,22,24,181,307,73,560,80,379,26,1658,96,298,400,525,274,348,123,279,37,2383,407,910,871,595,520,308,240,348,75,4284,662,1182,817,540,688,253,232,262,86,4726,975,1284,918,662,972,356,273,350,98,5875,581,765,646,501,695,259,291,311,50,4094,82,131,109,65,140,60,71,94,11,776,7,5,3,7,13,8,4,6,9,57,0,0,0,0,0,0,0,0,0,0,2833,4605,3959,3194,3370,2151,1317,2036,395,23858
