SED_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SED50106,67,16,18,0,103,46,3,7,4,61,24,3,18,0,44,27,4,39,0,70,121,15,100,4,238,97,11,144,5,259,598,42,164,5,817,411,65,166,11,654,430,136,213,19,797,477,260,151,18,904,252,257,122,5,637,309,249,86,5,646,559,608,104,13,1300,386,494,39,3,926,239,397,28,7,671,130,211,8,0,357,253,437,20,0,715,282,517,120,8,926,76,22,23,5,128,4786,3757,1578,122,10242
SED50202,81,24,55,4,164,21,5,18,4,46,31,11,48,3,95,20,4,87,0,114,130,32,163,11,330,96,40,281,7,427,543,106,307,21,975,302,155,348,37,850,368,295,376,24,1067,386,476,297,20,1180,261,479,209,26,975,295,437,159,13,911,603,935,221,42,1800,396,658,107,17,1180,234,454,57,10,759,124,230,7,5,369,163,427,33,7,631,326,679,184,7,1197,88,25,62,6,175,4477,5479,3030,268,13257
SED50304,121,20,20,7,170,40,0,5,7,50,29,13,27,4,69,19,11,45,0,73,130,21,84,9,241,86,32,129,6,254,470,71,132,9,684,260,117,208,14,600,315,198,176,31,715,402,268,172,28,866,262,294,153,27,734,269,294,121,30,713,680,687,215,37,1621,481,480,79,34,1071,372,508,52,12,941,257,324,22,4,604,512,1083,59,11,1665,342,389,115,7,858,72,36,23,9,140,5104,4857,1831,277,12071
SED50405,86,14,60,0,160,26,3,17,0,46,24,7,31,0,60,19,3,53,0,73,69,22,90,4,183,75,29,219,7,331,393,55,230,3,683,269,99,252,17,632,270,192,296,6,766,327,332,256,18,932,257,428,172,14,873,266,508,155,6,948,674,1276,221,26,2193,486,1011,100,16,1606,394,899,67,6,1361,234,599,33,6,868,354,1188,52,7,1602,511,1386,180,8,2083,52,49,36,4,142,4777,8096,2510,166,15550
SED50502,76,18,41,3,136,31,3,11,0,47,17,7,31,0,59,24,10,62,3,104,100,25,84,10,220,82,32,145,5,262,454,80,188,10,743,258,128,237,27,644,299,223,231,22,779,335,337,215,27,916,195,319,145,21,679,221,315,118,18,675,482,773,224,26,1500,404,644,108,23,1180,273,538,61,9,887,179,361,14,3,566,311,766,33,12,1120,290,542,142,15,984,48,49,24,3,132,4086,5179,2124,241,11627
SED50605,121,23,39,9,189,72,9,9,7,102,43,10,19,5,80,14,10,32,0,64,116,20,56,0,197,61,22,75,8,163,335,52,71,11,471,325,70,112,14,517,350,108,119,24,597,415,170,127,17,733,212,165,102,17,490,272,189,74,10,546,493,504,206,28,1228,350,479,96,11,942,288,582,74,11,953,201,439,32,4,683,901,2579,123,18,3623,233,570,109,6,915,59,24,17,0,104,4858,6029,1487,202,12571
SED50702,109,29,49,10,185,29,3,14,7,51,18,15,30,5,60,24,14,68,5,114,81,19,83,10,194,76,46,139,9,268,359,72,157,10,595,268,136,191,35,626,277,210,186,30,698,388,267,194,42,899,274,249,142,39,698,329,249,117,24,718,764,693,199,47,1704,527,543,86,39,1194,401,475,70,30,973,264,354,21,14,655,546,873,59,28,1508,434,490,127,16,1074,55,33,29,4,120,5229,4770,1946,389,12335
SED50805,68,9,19,3,97,41,4,5,0,55,17,0,4,0,26,10,7,21,0,34,83,11,58,0,149,61,12,62,6,146,269,15,95,17,397,177,33,106,16,329,292,63,138,11,500,293,91,131,9,528,170,87,119,11,379,209,126,103,10,443,424,381,173,15,995,337,445,74,8,861,310,498,71,9,890,228,382,24,9,644,726,2186,104,5,3018,241,516,123,3,883,34,12,15,0,65,3974,4870,1445,132,10431
SED50906,72,6,30,0,105,33,6,5,0,43,34,10,28,0,67,17,3,72,0,90,116,12,111,8,243,95,20,217,7,342,550,55,216,13,833,352,71,255,15,694,356,136,277,12,783,391,226,218,18,855,237,234,143,22,637,299,265,123,9,698,565,620,189,24,1397,398,566,77,12,1048,319,503,42,4,865,148,311,16,0,473,388,693,39,7,1124,329,664,181,8,1183,44,27,26,0,99,4734,4417,2258,160,11566
SED51004,78,13,37,3,129,34,4,11,4,44,33,3,19,0,55,19,10,43,0,65,82,7,76,0,167,75,19,124,4,217,333,59,154,11,558,262,73,184,18,537,299,143,222,14,680,287,241,189,23,743,211,265,147,12,641,204,288,134,9,636,591,820,249,16,1677,447,765,103,8,1320,335,742,74,7,1155,205,506,27,3,745,481,1553,71,6,2108,328,900,181,3,1409,70,58,20,3,144,4365,6460,2074,147,13046
