SED_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SED50106,44,1517,707,300,1757,0.7,1347,2.4
SED50202,35,1517,681,290,1676,0.7,1392,2.6
SED50304,37,1733,868,325,2111,0.8,1603,2.2
SED50405,31,1831,880,350,2222,0.8,2014,2.9
SED50502,38,1733,749,330,1997,0.7,1626,2.6
SED50605,42,2450,921,450,2720,0.7,2227,2.6
SED50702,36,1788,901,350,2135,0.8,1699,2.3
SED50805,42,2230,985,380,2888,0.8,2060,2.4
SED50906,40,1517,758,300,1914,0.7,1462,2.4
SED51004,37,1950,876,380,2376,0.7,2132,2.8
SED51104,33,1849,790,350,2053,0.8,1767,2.8
SED51205,34,1647,749,340,1880,0.8,1606,2.6
SED51304,43,2383,977,453,2905,0.7,2418,2.7
SED51401,46,1200,742,210,1701,0.7,1305,2.3
SED51504,39,2600,1045,350,3215,0.8,2365,2.6
SED51605,35,1950,930,385,2420,0.8,2129,2.7
SED51706,41,1625,730,310,1990,0.7,1590,2.5
SED51804,43,3100,1174,450,3816,0.8,2534,2.4
SED51902,36,1993,866,370,2277,0.8,2099,2.9
SED52006,47,1733,631,340,1716,0.7,1358,2.4
SED52102,37,1733,807,350,2087,0.7,1751,2.6
SED52205,41,2000,882,350,2301,0.8,1686,2.2
SED52301,40,1520,760,260,2003,0.7,1525,2.4
SED52404,39,2008,915,400,2478,0.7,2117,2.6
SED52505,34,2000,991,430,2516,0.8,2395,3.1
SED52604,41,2000,864,380,2458,0.7,2084,2.6
SED52702,46,2100,819,370,2405,0.7,2031,2.7
SED52803,36,1517,1388,299,2727,0.8,2185,2.5
SED52903,39,2123,898,216,1928,1,1678,2.8
SED53004,42,2000,846,400,2396,0.7,2013,2.6
SED53105,34,1733,838,330,2137,0.8,1835,2.7
SED53204,35,2000,869,410,2354,0.8,2195,3
SED53306,41,1640,607,300,1594,0.7,1193,2.3
SED53402,37,2000,972,320,2547,0.8,1839,2.2
SED53502,38,1777,785,300,2068,0.7,1577,2.4
SED53602,36,1508,611,300,1551,0.8,1342,2.7
SED53701,49,1600,729,250,1817,0.7,1397,2.4
SED53802,38,1733,764,350,1978,0.7,1604,2.5
SED53902,40,2000,927,340,2467,0.8,1766,2.2
SED54006,43,1733,661,300,1867,0.7,1498,2.6
SED54104,38,2645,1072,420,3337,0.9,2262,2.3
SED54203,44,1636,1159,175,2136,0.9,1631,2.5
SED54304,35,2167,1159,400,2873,0.9,2091,2
SED54403,36,1800,1778,244,3327,0.9,2745,2.8
SED54505,41,2167,775,410,2426,0.8,2104,2.9
SED54605,44,1517,672,300,1709,0.7,1271,2.2
SED54701,42,1275,819,225,1909,0.7,1447,2.4
SED54804,37,2167,1107,400,2831,0.8,2120,2.3
SED54905,39,2200,993,360,2756,0.8,1998,2.2
SED55005,35,1820,781,375,2163,0.8,1980,3
SED55102,35,1957,864,360,2220,0.8,2019,2.9
SED55202,37,1555,650,300,1701,0.8,1411,2.6
SED55306,44,1777,753,370,1882,0.7,1484,2.5
SED55405,34,1950,873,340,2316,0.8,1745,2.3
SED55504,35,1937,840,380,2236,0.8,1970,2.8
SED55605,34,1742,783,350,2203,0.7,1986,2.9
SED55706,47,1500,686,280,1639,0.8,1264,2.3
SED55802,33,1876,853,360,2140,0.8,1966,2.9
SED55905,40,1800,771,340,2153,0.7,1662,2.4
SED59797,45,1733,2700,0,1375,0.7,1833,1.7
