SED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SED50106,65,1121,96,0,1280,48,784,84,8,927,107,1718,293,4,2123,178,1594,231,9,2013,284,1826,187,0,2299,385,1950,158,3,2492,257,1852,128,4,2235,141,1050,76,4,1274,64,379,44,0,486,1529,12273,1294,33,15125,63,1030,71,0,1168,53,730,56,0,830,201,1707,124,8,2040,357,1736,111,0,2208,506,1959,115,0,2587,643,2028,130,3,2802,386,1841,130,0,2355,217,1187,109,0,1517,45,543,76,0,657,2465,12761,928,23,16174,125,2153,170,0,2446,97,1512,140,6,1760,304,3425,422,17,4170,541,3334,343,6,4217,792,3786,303,0,4883,1022,3980,287,11,5293,648,3686,254,8,4596,358,2237,190,3,2786,108,919,118,4,1142,3991,25034,2223,52,31301
SED50202,93,1278,133,0,1504,63,1375,138,0,1578,228,3143,300,5,3675,358,2816,234,3,3414,318,2275,218,4,2817,305,2064,168,0,2541,227,1613,102,8,1949,90,845,83,0,1019,35,215,51,0,306,1715,15635,1428,22,18797,84,1264,121,5,1474,117,1404,130,0,1653,439,3238,291,3,3975,577,2773,253,0,3602,606,2108,191,0,2912,509,2090,140,17,2749,347,1757,99,11,2213,127,912,111,5,1154,24,340,87,0,452,2832,15893,1428,38,20190,177,2548,250,5,2975,185,2785,267,0,3234,670,6382,588,7,7649,932,5592,487,3,7016,929,4383,411,7,5735,812,4156,306,14,5292,575,3372,206,20,4166,215,1756,197,9,2171,58,560,139,0,760,4554,31525,2857,54,38993
SED50304,40,822,43,4,903,62,1083,106,0,1252,190,3685,243,7,4131,275,3193,199,6,3679,334,2133,140,4,2609,300,1806,105,3,2220,177,1391,68,6,1640,110,893,62,0,1073,51,371,23,0,444,1540,15373,996,33,17946,49,792,52,0,892,80,1223,68,0,1372,259,4060,252,11,4582,404,3070,157,4,3640,499,2031,110,9,2645,508,1773,101,13,2396,360,1667,94,13,2138,163,1135,89,5,1389,39,590,50,0,679,2354,16344,969,57,19729,89,1616,89,0,1795,135,2311,169,3,2617,450,7745,494,16,8711,687,6268,362,8,7317,829,4161,253,15,5252,805,3582,207,17,4611,538,3059,161,20,3781,275,2024,154,7,2459,92,961,74,0,1126,3895,31725,1966,90,37678
SED50405,75,1653,88,0,1815,66,1383,70,0,1518,222,3707,209,0,4137,329,3574,195,5,4101,291,2632,115,5,3054,240,1755,79,8,2081,145,1141,72,7,1366,92,599,48,4,734,19,108,20,0,156,1484,16543,896,31,18956,85,1590,93,0,1762,88,1569,86,0,1746,431,4348,250,4,5034,617,3870,193,0,4685,552,2685,144,8,3391,438,1885,78,21,2422,245,1341,69,13,1665,96,660,77,0,829,12,137,33,0,183,2568,18087,1021,41,21721,165,3241,184,0,3582,154,2957,155,0,3265,651,8059,458,7,9172,949,7440,385,8,8780,848,5318,261,15,6439,683,3642,155,25,4505,390,2482,145,19,3032,189,1253,119,3,1565,26,246,62,0,336,4049,34636,1916,76,40673
SED50502,56,1097,54,0,1209,77,1216,89,0,1382,173,2510,191,0,2879,239,2582,163,6,2987,328,2164,117,3,2610,333,2105,108,6,2548,195,1588,79,3,1872,77,755,53,4,883,25,218,20,0,263,1494,14241,879,23,16632,72,1028,68,0,1165,88,1068,56,3,1218,237,2567,183,13,2993,415,2512,134,5,3066,553,2150,125,7,2833,587,2022,99,15,2725,312,1692,71,13,2092,108,879,62,0,1055,12,420,31,0,463,2383,14335,839,59,17616,122,2127,126,0,2374,158,2287,149,3,2601,406,5076,376,10,5871,651,5094,298,8,6055,877,4314,235,13,5448,922,4125,212,21,5274,507,3278,157,20,3959,189,1636,117,4,1939,39,636,54,0,728,3877,28575,1718,81,34248
SED50605,51,1343,30,4,1426,67,1321,44,0,1438,104,2014,95,9,2223,223,2340,93,23,2687,376,2197,77,13,2661,443,2044,64,17,2564,341,1930,50,13,2330,162,1114,33,8,1308,50,382,11,0,450,1819,14685,497,83,17088,74,1221,40,0,1341,91,1187,36,6,1316,127,2008,66,5,2208,357,2593,69,10,3038,653,2341,58,13,3069,756,2117,79,13,2966,526,2067,58,20,2669,203,1180,33,5,1427,44,640,43,0,723,2821,15363,488,76,18743,127,2564,70,6,2768,159,2512,81,6,2755,232,4023,161,18,4430,581,4935,163,36,5719,1029,4540,134,24,5725,1194,4163,140,29,5533,865,3993,107,37,5003,360,2296,65,13,2732,96,1020,56,3,1167,4641,30045,982,161,35834
SED50702,54,985,79,0,1115,72,1492,173,11,1751,218,4148,398,25,4786,278,3303,327,14,3924,328,2452,319,23,3124,343,2206,193,31,2771,213,1493,115,9,1825,93,771,76,7,944,36,273,45,0,351,1632,17125,1717,110,20579,49,901,79,0,1019,96,1455,142,6,1698,304,4014,333,16,4673,412,2995,269,9,3680,444,2229,220,4,2900,533,1876,174,20,2601,350,1575,116,9,2057,103,929,107,3,1142,20,479,87,0,585,2311,16449,1525,75,20360,96,1886,153,0,2135,169,2947,313,18,3450,523,8169,728,35,9458,687,6298,598,22,7600,774,4679,534,32,6024,875,4085,366,48,5370,562,3065,232,18,3882,198,1695,184,10,2090,54,751,134,0,937,3936,33576,3240,180,40938
SED50805,49,1093,38,0,1181,42,890,23,3,953,75,1680,81,17,1851,164,1958,75,5,2196,321,2149,87,10,2566,442,1720,64,11,2242,265,1419,58,4,1746,118,831,57,0,1017,58,404,48,0,511,1544,12140,524,57,14256,66,1216,38,0,1320,58,969,26,0,1054,140,1941,82,10,2169,327,2254,89,3,2674,602,2252,94,7,2947,724,1755,60,0,2539,403,1555,55,5,2015,141,1125,79,3,1352,43,736,96,6,869,2500,13797,623,23,16943,116,2310,76,4,2498,101,1857,47,3,2009,217,3615,164,23,4021,493,4210,164,10,4874,928,4402,182,12,5520,1172,3472,121,14,4772,666,2975,116,11,3761,261,1962,143,8,2367,100,1138,140,0,1381,4042,25936,1144,84,31207
SED50906,48,1214,76,4,1344,39,1038,112,0,1186,138,2151,377,8,2674,234,2169,343,7,2748,286,2257,254,6,2800,373,2094,164,4,2637,240,1699,137,0,2079,114,901,74,3,1101,30,283,55,0,362,1506,13801,1590,28,16916,83,1217,74,0,1368,72,1052,75,0,1195,210,2349,191,8,2764,406,2303,156,5,2876,552,2362,146,3,3061,640,2018,123,4,2785,380,1800,109,4,2291,145,1052,99,0,1291,32,508,115,0,655,2523,14655,1084,27,18284,125,2430,148,6,2714,110,2083,185,3,2383,357,4498,571,19,5431,635,4468,495,10,5616,837,4619,399,9,5864,1018,4109,281,9,5419,620,3500,251,4,4372,260,1955,174,0,2389,54,788,168,0,1015,4024,28456,2666,56,35200
SED51004,45,1563,61,4,1681,72,1436,65,4,1572,115,2385,110,4,2613,194,2371,130,8,2697,316,2799,114,6,3226,308,2382,82,6,2780,165,1313,36,7,1518,71,546,30,0,646,12,145,18,0,180,1295,14940,651,28,16916,53,1425,75,0,1555,87,1377,58,4,1528,221,2474,117,4,2819,379,2598,117,9,3108,555,3086,113,5,3767,492,2320,74,3,2894,235,1318,53,5,1613,71,665,41,0,785,13,213,35,0,254,2105,15489,684,38,18316,103,2988,138,0,3233,155,2814,124,6,3099,334,4861,224,9,5435,578,4971,247,11,5804,870,5883,229,8,6991,796,4701,157,10,5674,394,2632,86,11,3130,147,1211,73,0,1431,28,357,48,0,434,3403,30426,1333,65,35231
