SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SED50106,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,4,15,6,11,14,0,0,0,0,0,0,3,69,7,50,41,8,0,6,5,11,0,4,0,4,0,0,7,142,0,0,0,0,4,3,7,5,0,0,0,4,0,0,3,26,0,0,0,0,0,3,10,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,3,11,0,19,11,4,0,0,0,0,0,17,85,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,4,106,28,12,37,6,14,10,0,0,0,0,4,0,11,233,0,6,52,95,156,95,123,55,4,9,5,12,0,9,40,659,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SED50202,0,0,0,4,0,0,0,69,0,0,4,0,0,19,25,5,6,0,0,0,0,0,0,61,0,5,22,28,32,11,10,18,0,3,0,0,0,0,0,128,6,33,47,16,7,0,9,16,0,0,0,0,0,0,3,141,0,0,5,0,6,3,16,14,0,0,0,9,0,0,3,58,0,0,0,0,0,8,14,11,8,0,0,5,0,0,0,49,0,0,0,6,10,0,3,0,0,3,0,0,0,0,3,36,0,0,13,32,57,23,86,34,10,5,6,7,0,0,9,281,0,0,0,0,0,0,21,9,5,0,5,5,0,0,0,34,9,156,54,33,51,10,31,22,6,0,0,0,0,0,7,386,0,5,41,134,300,268,480,385,36,18,40,38,12,10,58,1833,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,7,38,65,15,10,6,3,0,0,0,143
SED50304,14,3,12,11,0,0,3,281,0,0,0,0,0,24,40,61,12,3,7,8,4,0,3,159,0,0,22,15,40,20,77,221,15,18,30,26,6,5,4,501,56,533,466,119,37,18,57,142,26,17,10,5,11,0,94,1589,0,0,0,3,17,40,54,31,9,0,4,10,0,0,7,161,0,0,0,3,5,4,42,31,3,6,6,8,0,0,0,104,0,0,3,7,4,9,3,7,0,0,0,0,4,0,0,32,0,4,21,58,132,74,145,64,14,24,12,12,16,0,15,577,0,0,0,0,0,6,39,58,13,22,25,14,13,0,0,188,3,24,5,3,0,11,9,11,0,0,0,0,0,0,0,75,0,4,23,74,137,113,182,153,9,7,20,13,4,3,13,762,15,52,124,114,102,52,36,25,0,0,4,3,0,0,26,545,0,0,0,0,0,14,39,77,20,17,13,15,12,3,5,221
SED50405,0,0,0,0,0,0,0,51,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,13,0,0,21,8,27,12,105,120,3,4,3,0,0,0,3,310,0,15,27,4,0,4,12,11,0,0,0,0,0,0,0,82,0,0,0,0,0,3,40,9,4,0,0,0,0,0,0,64,0,0,0,0,0,0,41,22,0,0,0,0,0,0,0,75,0,0,0,3,0,0,3,3,0,0,5,0,0,0,0,13,0,0,9,12,27,24,78,53,22,0,7,8,7,0,3,242,0,0,0,0,0,3,25,16,8,0,4,0,3,0,0,66,6,60,9,16,16,4,33,10,6,0,0,0,0,0,4,161,0,0,36,135,266,311,930,980,71,72,88,72,36,33,83,3107,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,24,25,4,0,0,0,0,0,0,74
SED50502,7,8,4,0,3,7,0,151,0,0,9,0,0,92,61,40,0,12,3,0,0,0,12,231,0,3,18,17,40,29,91,81,3,3,3,0,3,0,4,292,9,130,115,24,10,20,24,30,10,0,0,0,0,0,9,371,0,0,0,5,4,12,32,4,0,0,0,0,3,0,0,66,0,0,0,0,13,10,25,15,0,0,0,3,0,0,0,65,0,0,4,4,5,10,8,0,0,0,0,0,0,0,0,18,0,9,24,58,186,52,87,55,12,14,14,9,7,0,6,529,0,0,0,0,0,3,36,22,0,5,4,0,0,0,0,81,4,47,22,15,10,8,6,0,0,0,0,0,0,0,7,113,0,9,40,103,230,207,247,177,13,16,28,18,6,3,26,1129,0,6,12,15,17,16,10,8,0,0,4,0,0,0,8,83,0,0,0,3,10,7,27,37,10,8,12,16,3,0,0,143
SED50605,10,17,3,20,0,4,0,399,0,0,0,0,0,16,16,26,3,0,0,0,0,0,0,65,6,7,27,27,50,20,31,39,9,0,5,3,0,0,0,225,16,117,76,17,12,11,14,31,10,3,0,9,0,0,10,329,0,0,0,5,12,34,31,13,0,6,0,5,3,0,4,120,0,0,0,5,29,32,117,60,8,22,3,11,5,6,6,314,0,0,10,6,4,0,4,5,0,0,0,0,0,0,0,29,0,9,59,197,680,248,404,212,46,45,32,34,27,4,20,2019,0,0,0,0,0,0,5,6,4,5,12,15,6,0,0,53,6,56,11,5,8,10,18,12,0,0,0,0,0,0,0,127,0,12,52,64,175,82,136,73,3,3,0,11,3,3,24,644,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,6,5,11,29,0,3,5,5,0,0,0,72
SED50702,4,6,5,14,6,0,6,148,0,4,0,0,0,17,36,41,0,0,0,3,0,0,4,102,3,7,25,20,49,15,64,153,4,12,13,22,10,0,3,394,12,127,94,20,7,13,25,47,0,9,6,4,3,0,9,370,0,0,0,0,9,16,45,19,6,3,12,8,0,0,6,123,0,0,0,7,15,20,123,83,16,16,12,16,5,0,8,326,0,0,6,18,11,9,8,13,0,0,0,5,0,0,0,66,0,7,26,46,129,89,238,166,42,55,30,31,7,6,21,896,0,0,0,0,6,10,71,67,22,31,44,44,15,0,4,305,7,48,6,9,15,9,15,4,0,0,3,0,0,0,4,106,3,0,38,130,263,201,360,373,31,20,40,25,16,23,34,1563,0,0,0,0,3,4,3,0,0,0,4,0,0,3,0,21,0,0,3,5,14,5,88,182,57,44,33,60,27,3,9,529
SED50805,3,0,0,0,0,0,0,74,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,6,22,19,74,44,65,54,0,0,4,4,0,0,5,298,25,154,110,12,7,10,28,34,3,0,3,0,0,0,29,423,0,0,0,3,5,8,19,7,0,0,4,0,0,0,0,59,0,0,3,0,3,8,22,13,0,6,0,7,3,0,4,60,0,0,5,7,5,5,0,0,0,0,0,0,0,0,0,17,0,3,18,31,43,23,42,18,4,8,9,0,8,0,3,206,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,8,50,13,7,10,4,18,5,0,0,4,4,0,0,5,120,0,7,46,111,198,115,120,68,4,0,9,9,11,0,14,701,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,14
SED50906,4,0,0,0,0,0,3,23,0,0,0,0,0,8,5,6,0,0,0,0,0,0,0,20,0,5,16,19,49,11,31,64,0,3,4,3,0,0,6,198,14,119,40,3,0,5,7,16,0,0,0,0,0,0,19,229,0,0,0,0,3,7,9,3,0,4,0,3,5,3,0,43,0,0,0,0,0,5,23,12,3,0,5,10,6,0,0,69,0,0,0,4,7,11,10,4,0,0,0,0,3,0,0,41,0,4,10,12,11,14,24,23,0,3,13,0,0,0,6,129,0,0,0,0,0,0,15,12,6,10,5,3,5,0,0,49,0,59,18,10,7,11,15,8,0,0,0,0,0,0,0,137,3,5,33,131,232,140,288,185,9,27,17,17,10,8,63,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,14,34,9,5,6,7,5,0,0,74
SED51004,4,5,0,10,0,0,0,107,0,0,0,0,0,5,9,4,9,0,3,0,0,0,0,34,0,0,14,27,124,45,161,220,5,5,5,0,0,0,4,623,7,18,23,3,8,9,23,26,0,0,0,0,4,0,3,128,0,0,0,0,4,12,18,14,0,0,5,0,5,0,0,58,0,0,0,0,9,6,18,3,0,0,0,0,0,0,0,39,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,15,0,4,13,18,49,24,61,28,8,18,20,4,12,0,3,250,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,18,7,29,13,10,12,6,24,6,0,0,0,0,0,0,3,100,0,3,20,111,256,212,374,257,19,18,21,41,11,17,29,1390,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,14,19,16,0,0,0,4,0,0,0,61
