SED_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
SED50106,347,1794,1585,11207,165,15102,4,66,32,1112,25,1235,226,5,28,41,0,302,41,14,14,66,0,140,609,189,106,478,9,1391,4564,1831,1518,9815,193,17923,648,8,48,16,3,725,106,24,17,46,0,183,420,112,125,764,13,1431,33,12,0,49,0,98,40,3,8,13,0,66,160,10,12,31,4,209,698,253,216,2106,28,3305,383,158,70,730,8,1349,18,0,8,4,0,24,6,0,4,3,0,13,9,0,3,14,0,30,22,5,4,11,0,38,114,21,26,11,0,182,153,93,53,48,0,349,214,53,26,138,3,427,34,0,6,12,0,50,3,0,0,0,0,3,1022,347,302,2128,17,3822,21,4,0,13,0,44,262,27,25,12,0,331,57,8,6,21,0,91,21,6,5,0,0,33,36,0,4,3,0,41,204,39,45,115,7,408,1349,237,227,374,18,2211,99,28,22,195,2040,2369,9439,3124,2575,20465,2444,38047
SED50202,882,2526,1962,10063,193,15621,16,132,110,1854,68,2172,693,21,49,47,7,816,74,26,16,71,4,185,878,256,174,496,7,1811,6960,2362,1879,8076,245,19525,1457,14,80,31,11,1589,132,22,16,49,4,220,476,128,102,596,11,1320,37,25,16,41,0,113,71,11,3,22,0,104,1486,55,19,25,0,1582,1123,310,214,1703,24,3383,416,209,99,612,9,1339,60,0,0,0,0,70,62,8,6,10,0,86,10,0,6,16,0,28,42,17,3,31,0,97,778,72,81,27,21,983,379,139,85,39,9,649,172,38,15,74,5,303,50,7,11,18,0,86,129,11,3,10,0,144,1437,454,325,1761,34,4012,33,13,0,7,0,51,334,67,27,13,0,444,162,15,16,49,0,235,116,0,3,11,0,131,104,4,8,0,0,117,222,54,37,87,3,399,6524,490,393,521,54,7982,294,40,21,185,2938,3481,20821,4329,3281,18099,3499,50027
SED50304,761,1536,1125,5353,81,8856,15,54,20,411,3,500,2484,57,100,54,17,2710,584,105,54,278,4,1027,255,84,63,131,0,533,3838,1310,950,4613,92,10809,583,6,37,8,3,638,184,16,12,42,0,252,373,88,55,395,4,916,501,106,43,259,3,911,79,12,3,14,0,118,2397,52,23,31,5,2502,1359,278,185,1442,15,3284,3591,780,324,2021,34,6755,123,0,10,0,0,134,52,6,11,9,0,77,1059,105,99,281,4,1543,41,15,11,23,0,85,181,40,19,3,0,246,172,60,36,18,4,295,321,32,33,87,3,474,111,5,8,10,0,138,24,7,0,0,0,29,954,261,185,1131,13,2552,329,20,10,32,0,394,283,26,22,11,0,345,244,15,3,37,0,300,114,7,5,4,0,128,782,19,23,17,4,846,147,38,13,69,0,270,7452,398,413,374,49,8684,345,26,11,64,1756,2207,25391,3312,2265,11486,2043,44493
SED50405,833,2906,2302,11456,78,17570,10,119,64,1168,5,1370,750,31,35,61,4,879,104,42,22,127,8,295,574,162,103,345,3,1191,9957,2578,2121,8775,128,23555,2032,28,103,27,0,2187,180,17,14,39,0,260,569,156,100,680,9,1515,59,20,22,70,5,171,44,9,4,25,0,85,1570,50,19,35,6,1680,1768,321,280,1813,19,4189,432,237,108,918,19,1717,107,4,4,7,0,120,43,15,10,8,0,75,20,3,6,18,0,46,47,22,11,40,0,117,1566,190,115,43,3,1920,615,196,114,56,0,989,170,45,34,91,0,333,90,3,13,11,0,121,196,19,11,0,0,228,2264,509,399,1792,20,4982,141,18,5,15,0,182,915,80,48,14,4,1062,252,30,11,51,0,346,72,3,3,11,0,91,105,10,17,9,0,134,337,55,45,104,3,539,5782,493,480,516,41,7318,359,51,40,199,2000,2650,25120,4762,3759,19410,2284,55335
SED50502,821,1896,1489,7351,95,11657,7,85,51,1124,19,1293,1921,44,89,43,3,2103,254,59,24,163,5,509,325,94,51,175,3,649,4662,1730,1273,6091,102,13856,860,15,85,21,6,978,199,26,16,44,0,279,379,85,74,482,3,1033,103,35,19,97,0,255,64,19,7,24,3,120,1555,68,34,43,8,1710,1220,341,212,1655,24,3451,1010,344,169,1006,12,2545,83,0,17,3,0,108,43,16,0,12,0,73,100,26,13,29,0,167,102,25,11,41,0,181,378,65,41,18,0,495,224,115,50,24,3,418,317,41,33,120,6,521,77,5,8,4,0,101,34,8,0,0,0,43,1134,366,266,1472,25,3258,311,29,10,18,0,363,184,40,24,10,0,254,128,9,6,35,0,183,103,11,8,11,0,138,1477,10,38,22,4,1562,141,27,28,59,3,263,6084,440,387,485,51,7445,388,23,15,106,1517,2057,20289,3502,2597,14064,1816,42268
SED50605,422,1768,1557,7068,43,10862,6,14,11,242,3,283,7190,121,264,110,33,7721,237,76,42,266,0,617,353,107,83,178,3,723,4921,1645,1326,6262,62,14223,315,8,65,9,0,385,239,21,14,38,0,319,474,117,79,521,3,1196,123,42,22,112,0,302,82,15,3,18,0,112,1306,70,56,51,3,1492,1159,277,258,1936,14,3648,1035,310,156,1049,10,2556,408,3,23,4,0,437,73,24,14,12,0,123,38,9,10,20,0,80,48,14,4,29,0,93,85,14,11,5,0,111,158,61,55,22,0,291,211,34,34,82,0,366,106,6,18,15,0,153,24,8,0,0,0,33,1388,365,299,1690,11,3758,122,10,17,8,0,153,517,45,54,4,7,626,128,14,19,41,0,207,260,14,3,10,0,293,246,19,23,3,0,286,223,33,25,100,0,386,5085,377,404,453,35,6347,150,16,18,47,821,1055,22446,3257,2807,13717,1011,43233
SED50702,764,1818,1387,7640,138,11750,13,73,45,1057,25,1219,3519,43,113,64,15,3759,195,42,25,107,3,367,362,105,67,226,0,762,4984,1653,1261,6498,129,14528,1332,28,85,13,3,1455,220,26,13,43,0,296,470,113,82,576,3,1239,102,28,22,88,0,236,92,10,4,16,0,128,1746,46,32,40,0,1865,1370,362,240,1850,31,3850,948,285,115,883,18,2249,361,0,18,4,0,387,99,24,17,23,0,165,58,11,4,45,0,112,42,25,8,38,0,109,548,38,35,22,6,651,314,103,75,28,4,524,291,55,46,120,5,515,119,5,3,20,0,147,101,5,3,9,0,116,1263,292,273,1607,15,3455,73,8,4,15,0,94,270,19,17,9,0,319,211,8,12,25,0,251,217,25,7,7,0,256,497,5,25,13,0,539,175,37,25,94,0,322,8380,421,429,467,62,9758,395,15,23,117,3073,3621,24546,3295,2551,14752,3443,48593
SED50805,342,2217,1725,8515,82,12878,4,32,22,245,8,314,709,50,83,74,8,916,244,116,59,292,3,716,348,120,92,220,0,778,5256,2092,1508,7813,96,16766,140,7,24,4,0,171,203,43,39,92,0,372,473,122,123,644,4,1362,80,27,24,131,0,263,45,7,11,34,4,98,342,66,24,43,0,477,1417,448,309,2802,27,4999,1334,496,205,1454,19,3504,76,4,8,6,0,87,35,5,8,13,0,65,27,4,7,26,0,64,48,19,6,47,0,119,83,15,22,7,0,126,187,86,55,28,0,351,201,51,45,91,4,392,87,9,17,9,0,119,4,0,0,0,0,6,1395,519,362,2241,23,4545,48,3,16,15,0,87,294,45,58,18,0,419,153,4,17,60,4,240,49,15,9,8,0,78,57,5,3,0,0,66,287,54,30,123,0,498,2196,407,391,510,18,3517,82,12,9,81,1105,1285,12554,4035,2962,17136,1344,38031
SED50906,370,1951,1448,11661,139,15572,6,85,42,1378,30,1545,468,15,35,37,4,562,47,28,17,77,0,169,429,135,93,222,5,888,4678,1935,1495,10753,170,19037,799,0,55,19,6,873,115,17,12,83,3,236,427,97,88,755,9,1369,73,32,9,105,6,222,27,6,0,18,0,60,438,12,13,20,3,480,1026,313,235,2587,21,4176,723,316,128,1391,13,2564,74,4,5,3,0,82,62,11,3,3,0,79,7,10,9,25,0,45,21,9,9,12,0,50,437,69,56,28,5,604,230,122,64,44,0,462,205,47,47,125,5,431,107,5,11,7,0,128,28,4,8,0,0,35,1122,371,334,2405,34,4261,27,3,6,7,0,37,506,35,22,20,0,585,101,12,6,45,0,166,34,0,4,3,0,47,75,5,14,3,3,99,153,50,30,128,0,366,2101,235,248,452,38,3071,119,22,19,194,2513,2869,11842,3461,2635,22442,2898,43276
SED51004,674,2082,1820,6691,63,11326,9,61,40,532,12,659,814,13,54,57,3,945,126,36,13,85,0,270,642,101,67,175,0,986,12587,1784,1560,4949,108,20998,463,19,61,16,4,559,236,14,23,53,0,319,778,103,99,401,0,1388,97,29,16,76,0,216,85,6,7,14,0,111,694,35,32,34,0,783,2895,273,275,1258,28,4730,580,198,112,585,7,1484,48,0,3,0,0,54,18,6,3,7,0,40,54,22,7,45,0,126,59,11,19,31,0,114,446,50,48,15,6,567,377,129,68,33,0,612,352,30,36,62,0,481,117,3,18,10,4,139,48,5,6,0,0,60,2887,329,284,1156,23,4677,88,8,0,9,0,104,1531,68,45,11,0,1658,174,14,11,31,0,226,45,9,0,5,0,59,181,8,13,0,0,200,562,65,40,58,4,734,4188,341,348,307,24,5204,296,30,12,95,1212,1642,25026,3339,2875,11443,1446,44131
