SED_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SED50106,0,26,1121,1141,35,159,573,767,546,435,725,1702,923,319,428,1675,1159,293,534,1982,1338,253,607,2198,1330,171,492,1991,828,35,274,1135,251,4,146,402,6404,1698,4897,12996,0,45,982,1027,66,207,448,721,712,476,609,1797,1107,346,546,2010,1325,310,746,2387,1395,275,822,2498,1284,89,778,2151,624,38,669,1332,119,4,348,465,6643,1793,5953,14390,0,67,2103,2166,99,368,1024,1483,1256,910,1328,3498,2036,671,976,3677,2486,602,1282,4371,2732,529,1435,4699,2622,260,1273,4149,1452,74,944,2469,363,5,497,872,13046,3488,10849,27381
SED50202,0,19,1358,1382,53,277,1091,1423,907,897,1540,3346,1659,473,1010,3146,1241,336,1002,2576,1270,216,876,2361,1143,82,609,1838,602,29,292,924,129,10,96,239,6997,2345,7880,17218,0,36,1296,1339,108,407,992,1499,1344,958,1365,3672,1809,470,1083,3362,1307,315,1080,2703,1249,206,1128,2580,1046,79,949,2075,417,19,587,1022,60,0,264,323,7348,2495,8740,18580,0,58,2655,2718,157,682,2082,2918,2248,1861,2910,7014,3474,943,2092,6507,2550,655,2074,5276,2514,423,2004,4940,2190,161,1560,3912,1019,45,880,1944,193,14,359,562,14347,4838,16613,35802
SED50304,0,0,865,871,31,142,956,1133,1277,898,1673,3851,1956,475,1020,3448,1337,201,901,2438,1126,126,809,2061,942,79,517,1540,719,22,250,989,245,7,132,381,7639,1955,7121,16717,0,18,821,840,86,223,964,1279,1716,988,1582,4284,1991,432,1045,3462,1289,181,1027,2500,1120,109,1027,2260,974,53,999,2023,529,19,721,1268,84,5,420,504,7794,2024,8603,18420,5,18,1685,1710,122,370,1919,2415,2996,1885,3257,8140,3948,909,2061,6910,2630,386,1931,4939,2246,240,1837,4321,1917,131,1514,3563,1244,37,975,2259,329,8,554,890,15441,3974,15725,35135
SED50405,0,22,1703,1730,26,284,1123,1433,1386,1148,1387,3922,2565,599,740,3901,1964,343,607,2914,1367,167,431,1970,930,56,274,1264,494,31,158,679,69,5,48,122,8814,2652,6470,17931,0,40,1633,1672,95,453,1072,1623,2091,1372,1324,4781,2891,569,1017,4482,2056,347,837,3241,1345,158,779,2282,856,49,650,1564,368,23,378,765,36,0,106,137,9740,3011,7792,20545,0,60,3340,3399,125,739,2193,3064,3476,2515,2709,8703,5453,1167,1758,8378,4024,689,1446,6151,2712,324,1215,4246,1791,110,923,2825,863,50,530,1450,108,4,152,262,18551,5663,14263,38482
SED50502,0,4,1151,1153,23,117,1144,1283,691,611,1383,2688,1544,421,844,2804,1399,286,786,2471,1491,218,720,2433,1155,101,511,1768,562,17,249,828,127,0,103,236,7007,1777,6884,15664,0,6,1084,1092,58,175,897,1131,1056,720,1024,2797,1755,430,744,2927,1472,300,935,2707,1482,191,936,2606,986,73,932,1994,405,17,558,979,55,0,320,375,7264,1912,7437,16611,0,10,2229,2250,82,292,2037,2417,1749,1330,2405,5480,3298,848,1593,5741,2876,581,1724,5180,2974,406,1664,5040,2145,175,1446,3765,963,35,808,1807,184,5,423,610,14264,3689,14324,32283
SED50605,0,5,1391,1397,14,72,1300,1375,525,379,1220,2123,1808,233,520,2558,1971,150,442,2561,1899,158,411,2474,1844,73,324,2247,1036,32,196,1257,273,8,124,408,9364,1100,5929,16399,0,6,1287,1295,17,110,1121,1251,777,418,892,2087,2120,247,574,2940,2141,158,676,2970,1965,134,729,2831,1764,60,736,2561,725,15,611,1346,122,4,464,594,9629,1159,7092,17876,0,9,2683,2689,22,176,2422,2627,1305,795,2113,4208,3929,474,1095,5501,4111,307,1113,5531,3868,295,1140,5300,3609,136,1063,4812,1756,48,804,2609,399,7,594,1001,18993,2262,13024,34275
SED50702,0,7,1025,1037,28,202,1277,1516,1043,969,2230,4241,1822,496,1103,3419,1377,325,929,2626,1205,238,962,2402,948,105,595,1649,526,34,273,832,141,5,124,272,7086,2390,8516,17996,0,25,889,911,66,343,1094,1498,1539,1072,1610,4222,1937,455,941,3335,1360,302,917,2575,1112,201,993,2303,879,71,900,1848,357,21,595,971,72,6,345,413,7317,2495,8269,18079,0,32,1914,1945,97,548,2368,3013,2583,2047,3839,8466,3763,952,2041,6756,2735,630,1841,5205,2318,433,1951,4708,1828,179,1496,3499,878,52,866,1796,211,11,468,687,14406,4884,16787,36081
SED50805,0,3,1148,1150,0,71,837,905,396,550,742,1691,1374,300,403,2073,1658,280,515,2453,1375,228,516,2112,1146,117,377,1639,622,36,246,905,227,10,155,393,6801,1598,4929,13322,0,9,1187,1189,9,106,869,983,611,618,799,2027,1658,335,574,2569,1758,290,788,2842,1412,211,797,2419,1029,86,787,1904,496,28,666,1186,118,4,464,586,7090,1694,6921,15706,0,12,2331,2343,11,179,1705,1895,1005,1171,1544,3721,3036,638,966,4640,3418,568,1305,5292,2781,437,1307,4529,2180,204,1166,3548,1120,69,907,2095,349,14,616,979,13887,3291,11851,29033
SED50906,4,28,1206,1233,31,228,761,1019,538,617,1019,2172,1228,323,730,2279,1387,280,768,2432,1391,228,715,2334,1239,119,526,1886,711,27,267,1005,169,3,125,298,6691,1852,6102,14648,0,35,1203,1240,52,320,687,1059,853,658,984,2495,1437,378,856,2669,1552,313,981,2850,1390,205,959,2558,1172,76,895,2142,502,23,648,1175,86,0,340,431,7046,2013,7550,16611,3,65,2410,2478,77,554,1443,2073,1390,1274,1993,4661,2664,702,1585,4948,2942,594,1742,5279,2783,438,1672,4894,2415,199,1419,4028,1219,52,908,2180,255,3,466,725,13742,3870,13651,31261
SED51004,0,12,1601,1618,18,140,1330,1498,662,661,1134,2462,1613,388,569,2574,2237,316,561,3119,2001,215,473,2689,1137,61,261,1459,496,20,111,622,88,6,57,148,8253,1818,6102,16173,0,22,1474,1497,34,239,1169,1443,991,771,907,2672,1913,402,664,2979,2537,323,794,3656,1890,172,739,2803,960,52,538,1548,363,14,354,732,42,8,129,175,8737,2000,6771,17512,0,33,3077,3112,61,379,2501,2941,1652,1439,2047,5134,3522,790,1236,5557,4774,640,1354,6773,3897,388,1213,5496,2093,109,800,3002,857,32,460,1351,132,14,180,325,16990,3814,12878,33685
