SED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SED50106,4,0,3,38,14,55,0,0,0,0,0,0,16,15,37,6286,6006,12289,409,505,916,131,0,128,38,8,41,67,21,87,82,27,109,186,180,372,7258,6784,14042,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,7,9,4,0,6,0,0,3,12,9,17,61,44,102,78,55,126,0,0,0,0,0,0,0,3,4,9,0,7,495,667,1162,844,1122,1968,54,33,88,8737,8659,17393
SED50202,228,266,492,83,62,148,0,0,0,0,0,0,40,26,63,8066,6644,14706,526,489,1015,121,11,129,51,0,53,46,9,52,215,62,275,88,89,177,9473,7650,17124,81,131,210,0,0,0,0,0,0,58,75,135,13,17,31,9,8,20,166,235,402,0,0,0,0,0,0,3,3,6,6,7,10,11,6,12,18,16,28,98,41,138,284,290,567,45,70,115,5,0,6,4,6,7,53,74,128,331,512,840,1106,1363,2468,62,44,106,11303,9925,21231
SED50304,197,213,413,376,504,881,0,0,0,0,0,0,62,58,117,8390,7295,15681,340,762,1098,123,3,117,59,8,66,125,34,157,180,45,222,82,100,178,9933,9017,18946,174,224,392,0,0,0,0,0,0,79,94,171,17,17,27,13,3,19,279,337,614,0,0,0,0,0,0,24,37,57,13,23,44,6,12,22,47,72,115,70,56,127,392,463,854,57,61,123,6,12,19,7,4,13,74,72,148,762,921,1684,876,1397,2274,61,35,98,12102,11905,24004
SED50405,414,468,879,126,114,240,0,0,4,0,0,0,31,21,51,9034,8298,17331,533,593,1127,99,0,95,57,5,61,39,7,48,355,74,431,77,94,177,10767,9678,20441,192,272,464,0,0,5,0,0,0,158,146,307,27,45,70,9,8,18,385,472,861,0,0,0,0,0,0,10,9,16,6,14,24,6,0,7,22,25,52,133,49,181,538,548,1091,79,121,203,8,7,14,0,0,0,94,134,222,525,981,1505,1759,1897,3660,48,34,85,13732,13274,27007
SED50502,279,302,586,129,147,271,4,3,6,5,0,5,49,49,97,7378,6281,13655,410,565,972,120,8,129,61,3,65,95,23,113,168,50,217,59,74,135,8758,7499,16254,89,94,185,0,0,0,0,0,0,90,91,184,5,23,28,8,10,19,195,225,417,0,0,0,0,0,0,19,20,31,6,22,22,8,9,13,30,46,70,92,38,134,317,306,623,27,48,79,7,3,9,4,0,7,35,59,91,590,740,1330,934,1234,2173,41,32,72,10682,9871,20551
SED50605,268,199,471,484,320,806,0,0,0,0,0,0,28,34,61,6971,6209,13182,348,607,956,56,0,56,37,0,37,164,44,209,102,32,138,111,121,237,8572,7567,16140,251,209,467,0,0,0,0,0,0,62,37,100,16,25,39,17,3,18,343,273,617,0,0,0,0,0,0,22,15,35,4,8,14,3,7,11,32,33,60,58,34,92,431,342,772,41,46,85,5,0,10,0,3,3,50,54,100,1188,1261,2450,899,1451,2354,38,26,64,11176,10701,21879
SED50702,135,135,270,659,679,1342,0,0,3,0,0,0,116,92,206,8759,7051,15808,463,784,1245,113,0,112,59,9,69,148,20,166,345,101,443,181,141,320,10972,9019,19990,87,85,173,0,0,0,0,0,0,61,71,127,15,7,25,8,0,9,168,168,332,0,0,0,0,0,0,26,33,63,14,41,57,24,19,44,69,90,161,107,52,152,341,305,646,21,52,75,22,17,35,0,3,6,42,74,114,747,835,1582,1408,1507,2909,91,46,135,13602,11781,25383
SED50805,82,63,148,367,297,664,4,0,4,0,0,0,28,15,41,6218,6289,12504,264,377,639,37,3,35,63,12,69,148,43,193,93,33,127,101,141,248,7405,7281,14683,146,114,260,0,0,0,0,0,0,43,55,97,12,11,23,5,5,6,206,186,389,0,0,0,0,0,0,19,28,51,5,13,24,10,0,6,38,52,84,69,31,100,314,262,573,26,26,49,4,0,7,8,4,11,40,27,66,885,1163,2044,873,1403,2275,20,23,47,9530,10164,19690
SED50906,4,9,17,235,52,289,0,0,0,0,0,0,29,24,54,7106,6906,14008,595,664,1257,73,3,80,40,9,48,114,38,150,129,45,174,173,198,373,8491,7952,16441,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,4,6,0,0,0,0,0,0,87,35,122,15,11,22,12,0,15,114,46,160,114,46,166,233,100,331,0,0,3,8,3,11,4,0,8,18,3,24,304,525,825,1070,1333,2406,66,26,92,10182,9941,20118
SED51004,580,544,1123,77,57,124,6,3,9,0,0,0,20,27,47,7686,7166,14854,473,558,1028,171,5,180,47,0,48,40,13,43,236,47,280,60,78,137,9394,8492,17880,193,158,351,0,0,0,0,0,0,150,128,279,29,29,63,16,5,23,390,325,717,0,0,0,0,0,0,3,9,10,0,11,14,6,3,10,11,16,32,76,55,134,481,400,881,67,72,142,6,3,5,0,5,6,73,79,149,811,1133,1947,1318,1592,2909,55,36,85,12137,11726,23858
