SED_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
SED50106,15,911,43,0,973,150,2218,137,0,2504,57,1148,76,0,1280,45,789,85,8,927,68,1766,279,4,2123,46,1740,217,9,2013,69,2047,186,0,2299,120,2219,149,3,2492,159,1959,118,4,2235,252,949,65,4,1274,179,279,27,0,486,1165,16023,1384,31,18606,6,904,38,0,950,79,2182,107,0,2368,36,1073,60,0,1168,29,758,45,0,830,53,1860,124,8,2040,61,2033,110,0,2208,94,2364,126,0,2587,140,2531,128,3,2802,169,2081,106,0,2355,300,1146,73,0,1517,307,312,37,0,657,1269,17252,957,23,19494,21,1814,83,0,1924,230,4400,243,0,4876,92,2216,133,0,2446,74,1545,129,6,1760,122,3632,401,17,4170,106,3777,328,6,4217,159,4411,310,0,4883,261,4748,282,11,5293,328,4042,225,8,4596,555,2091,137,3,2786,485,589,68,4,1142,2432,33271,2342,56,38102
SED50202,28,1790,127,0,1948,280,3232,277,0,3792,89,1308,113,0,1504,67,1394,117,0,1578,94,3306,278,5,3675,98,3096,216,3,3414,148,2473,197,4,2817,177,2200,156,0,2541,220,1632,92,8,1949,211,726,79,0,1019,105,145,50,0,306,1518,21296,1698,22,24544,28,1678,138,0,1844,135,3115,253,0,3512,52,1315,101,5,1474,54,1481,114,0,1653,117,3596,260,3,3975,122,3270,222,0,3602,154,2578,177,0,2912,251,2356,134,17,2749,256,1850,99,11,2213,266,797,92,5,1154,195,187,71,0,452,1630,22222,1661,42,25545,61,3469,268,0,3791,413,6355,534,6,7307,143,2620,210,5,2975,121,2877,231,0,3234,205,6899,537,7,7649,214,6357,432,3,7016,299,5056,374,7,5735,431,4555,293,14,5292,476,3482,193,20,4166,477,1528,165,9,2171,301,329,123,0,760,3152,43516,3358,57,50085
SED50304,28,1329,54,0,1409,83,1868,98,0,2054,32,838,37,4,903,19,1146,86,0,1252,51,3861,210,7,4131,71,3429,177,6,3679,73,2395,133,4,2609,120,1985,109,3,2220,144,1418,70,6,1640,210,813,44,0,1073,222,212,12,0,444,1050,19297,1028,33,21404,12,1273,56,0,1338,41,1971,106,0,2112,19,823,48,0,892,19,1294,52,0,1372,42,4285,240,11,4582,74,3401,155,4,3640,95,2431,107,9,2645,121,2168,102,13,2396,194,1854,76,13,2138,324,1002,61,5,1389,363,283,35,0,679,1313,20785,1032,57,23181,34,2599,114,0,2747,123,3839,206,0,4166,54,1664,78,0,1795,36,2438,139,3,2617,95,8146,455,16,8711,142,6833,332,8,7317,167,4827,240,15,5252,238,4146,209,17,4611,337,3273,143,20,3781,532,1811,107,7,2459,587,498,48,0,1126,2359,40076,2063,90,44589
SED50405,54,2435,119,0,2604,307,4370,228,5,4907,86,1649,72,0,1815,34,1417,64,0,1518,77,3904,163,0,4137,50,3878,162,5,4101,77,2863,100,5,3054,94,1910,65,8,2081,144,1151,64,7,1366,128,564,35,4,734,55,79,23,0,156,1105,24236,1095,33,26470,26,2305,116,0,2453,138,4387,247,9,4776,59,1626,77,0,1762,32,1645,70,0,1746,78,4737,218,4,5034,83,4406,188,0,4685,119,3145,125,8,3391,140,2191,78,21,2422,162,1422,67,13,1665,147,626,55,0,829,77,76,27,0,183,1069,26562,1270,49,28947,79,4745,235,0,5059,443,8762,472,16,9682,148,3280,155,0,3582,72,3065,132,0,3265,149,8638,380,7,9172,138,8281,352,8,8780,195,6008,223,15,6439,241,4101,142,25,4505,308,2574,134,19,3032,278,1191,91,3,1565,129,158,44,0,336,2171,50795,2362,81,55420
SED50502,36,1266,77,0,1372,136,2597,167,0,2897,57,1105,54,0,1209,44,1255,80,0,1382,87,2645,145,0,2879,76,2764,142,6,2987,106,2407,96,3,2610,150,2290,109,6,2548,162,1620,76,3,1872,173,662,42,4,883,111,135,15,0,263,1146,18751,990,28,20902,14,1194,63,0,1273,63,2364,130,0,2559,27,1076,62,0,1165,29,1132,55,3,1218,55,2775,154,13,2993,69,2875,116,5,3066,105,2618,108,7,2833,198,2419,96,15,2725,203,1809,64,13,2092,244,763,40,0,1055,272,171,23,0,463,1270,19201,911,57,21451,52,2459,139,0,2650,197,4958,291,4,5457,81,2178,115,0,2374,75,2388,139,3,2601,139,5421,305,10,5871,149,5635,253,8,6055,205,5022,208,13,5448,347,4716,200,21,5274,365,3435,142,20,3959,421,1431,85,4,1939,381,310,34,0,728,2416,37954,1902,82,42353
SED50605,16,958,33,5,1008,92,2693,56,3,2846,36,1351,34,4,1426,30,1368,39,0,1438,42,2093,79,9,2223,23,2557,82,23,2687,46,2534,76,13,2661,43,2438,70,17,2564,75,2194,49,13,2330,164,1116,31,8,1308,187,243,14,0,450,753,19547,556,94,20945,5,953,25,3,993,56,2596,72,10,2734,32,1270,38,0,1341,33,1253,31,6,1316,39,2108,53,5,2208,27,2918,77,10,3038,41,2942,69,13,3069,71,2797,85,13,2966,107,2478,65,20,2669,211,1169,31,5,1427,380,313,23,0,723,1010,20799,584,85,22475,28,1910,57,6,2007,152,5287,132,13,5584,65,2624,72,6,2768,59,2619,68,6,2755,82,4199,134,18,4430,53,5477,157,36,5719,90,5474,144,24,5725,114,5231,156,29,5533,180,4673,114,37,5003,375,2282,59,13,2732,564,556,45,3,1167,1755,40344,1136,188,43421
SED50702,25,1350,71,0,1442,121,2271,170,0,2562,30,1019,66,0,1115,35,1548,147,11,1751,49,4366,350,25,4786,67,3537,304,14,3924,69,2742,287,23,3124,154,2389,202,31,2771,146,1560,106,9,1825,184,689,70,7,944,143,168,37,0,351,1018,21645,1805,110,24585,10,1324,102,0,1434,51,2185,163,0,2395,17,938,63,0,1019,29,1543,123,6,1698,57,4290,310,16,4673,65,3358,252,9,3680,99,2578,216,4,2900,133,2275,169,20,2601,182,1767,93,9,2057,280,767,91,3,1142,286,226,75,0,585,1210,21243,1665,75,24191,36,2671,167,0,2881,176,4450,331,0,4956,51,1950,130,0,2135,69,3092,274,18,3450,101,8661,661,35,9458,127,6895,558,22,7600,167,5322,510,32,6024,290,4663,372,48,5370,325,3333,203,18,3882,464,1460,158,10,2090,424,394,113,0,937,2230,42888,3475,181,48776
SED50805,15,988,27,0,1024,93,2211,84,9,2393,40,1112,27,0,1181,15,915,25,3,953,28,1728,81,17,1851,35,2086,66,5,2196,41,2434,88,10,2566,63,2101,65,11,2242,98,1585,56,4,1746,151,811,51,0,1017,206,256,44,0,511,769,16232,617,63,17682,10,963,33,0,1005,61,2358,70,6,2488,40,1243,36,0,1320,17,1015,27,0,1054,34,2054,82,10,2169,38,2548,84,3,2674,48,2804,92,7,2947,60,2413,60,0,2539,107,1843,54,5,2015,267,999,76,3,1352,472,325,68,6,869,1160,18570,688,31,20446,19,1951,57,4,2033,153,4571,155,6,4885,78,2354,62,4,2498,30,1926,48,3,2009,63,3776,162,23,4021,71,4639,151,10,4874,88,5239,180,12,5520,123,4515,124,14,4772,214,3426,113,11,3761,420,1815,128,8,2367,676,583,115,0,1381,1927,34799,1297,94,38123
SED50906,16,1136,60,0,1212,194,2626,154,0,2970,66,1213,58,4,1344,52,1031,106,0,1186,81,2232,351,8,2674,62,2354,319,7,2748,91,2456,252,6,2800,136,2341,159,4,2637,185,1773,116,0,2079,201,836,63,3,1101,137,198,34,0,362,1225,18179,1669,35,21100,20,1098,74,0,1189,105,2519,141,0,2759,39,1265,68,0,1368,33,1093,63,0,1195,64,2519,163,8,2764,71,2656,134,5,2876,101,2807,147,3,3061,146,2510,122,4,2785,215,1973,101,4,2291,261,958,67,0,1291,334,247,72,0,655,1396,19654,1155,27,22236,35,2233,132,0,2400,290,5147,293,3,5732,102,2476,128,6,2714,84,2128,172,3,2383,147,4751,518,19,5431,140,5010,460,10,5616,194,5262,394,9,5864,286,4844,274,9,5419,402,3746,220,4,4372,465,1795,130,0,2389,470,446,106,0,1015,2617,37838,2823,60,43336
SED51004,24,1243,59,0,1326,156,3052,130,3,3341,62,1563,41,4,1681,53,1463,57,4,1572,50,2474,94,4,2613,25,2555,112,8,2697,57,3078,97,6,3226,73,2622,81,6,2780,108,1369,39,7,1518,96,530,24,0,646,69,98,13,0,180,767,20038,745,31,21584,8,1241,49,0,1301,80,2796,124,5,3001,48,1452,54,0,1555,32,1439,49,4,1528,38,2679,95,4,2819,49,2946,107,9,3108,95,3549,112,5,3767,117,2690,79,3,2894,106,1456,43,5,1613,166,587,32,0,785,161,88,10,0,254,903,20931,753,44,22621,30,2489,112,0,2629,231,5854,255,6,6345,114,3019,98,0,3233,88,2899,102,6,3099,89,5149,182,9,5435,77,5499,221,11,5804,149,6626,209,8,6991,192,5313,161,10,5674,214,2824,84,11,3130,256,1113,55,0,1431,230,187,20,0,434,1670,40969,1491,76,44208
