SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SED50106,18606,19494,38102,973,950,1924,2504,2368,4876,1280,1168,2446,927,830,1760,2123,2040,4170,2013,2208,4217,2299,2587,4883,2492,2802,5293,2235,2355,4596,1274,1517,2786,486,657,1142,31,23,56,17548,18795,36346,1058,693,1756,776,649,1432,7,13,23,16,7,18,799,669,1472,14153,14559,28713,3400,3992,7393,16140,17256,33397,1115,1285,2406,16238,17419,33660,260,238,496,2332,2215,4543,848,840,1688,133,163,300,313,761,1072,6176,7831,14008,1716,1923,3635,4510,3991,8504,935,814,1754,623,504,1127,76,74,151
SED50202,24544,25545,50085,1948,1844,3791,3792,3512,7307,1504,1474,2975,1578,1653,3234,3675,3975,7649,3414,3602,7016,2817,2912,5735,2541,2749,5292,1949,2213,4166,1019,1154,2171,306,452,760,22,42,57,24347,25251,49596,196,292,489,1048,1102,2155,25,16,43,28,29,51,1099,1149,2243,15544,15650,31195,7367,8254,15617,18587,19085,37680,4229,4743,8975,20372,20959,41332,472,435,913,3455,3206,6653,971,1031,2008,351,471,823,599,1138,1738,8075,9473,17553,2261,2411,4669,5062,4924,9980,1149,1084,2233,613,634,1252,165,184,351
SED50304,21404,23181,44589,1409,1338,2747,2054,2112,4166,903,892,1795,1252,1372,2617,4131,4582,8711,3679,3640,7317,2609,2645,5252,2220,2396,4611,1640,2138,3781,1073,1389,2459,444,679,1126,33,57,90,21216,22922,44135,190,258,450,211,279,491,6,0,9,3,0,3,221,283,505,11476,12315,23794,8932,9841,18771,12700,13535,26234,7642,8549,16190,16791,18234,35026,346,359,706,1933,1994,3922,711,729,1442,489,627,1116,977,1472,2449,11373,12349,23728,1339,1329,2669,2641,2959,5602,594,663,1254,748,998,1739,198,297,495
SED50405,26470,28947,55420,2604,2453,5059,4907,4776,9682,1815,1762,3582,1518,1746,3265,4137,5034,9172,4101,4685,8780,3054,3391,6439,2081,2422,4505,1366,1665,3032,734,829,1565,156,183,336,33,49,81,26387,28810,55207,79,134,215,641,693,1332,13,11,25,32,26,63,686,737,1418,16349,17668,34016,9107,10113,19220,21308,22940,44250,4049,4753,8807,21982,23727,45708,721,659,1380,4623,4493,9115,1307,1354,2669,402,530,933,665,1508,2175,9994,12232,22226,2452,2514,4957,4360,4567,8931,898,935,1838,331,358,685,57,77,140
SED50502,20902,21451,42353,1372,1273,2650,2897,2559,5457,1209,1165,2374,1382,1218,2601,2879,2993,5871,2987,3066,6055,2610,2833,5448,2548,2725,5274,1872,2092,3959,883,1055,1939,263,463,728,28,57,82,20829,21336,42166,74,110,185,621,647,1267,13,24,35,24,31,52,659,700,1357,12994,12921,25921,7026,7650,14678,14761,14776,29539,5191,5685,10876,18035,18359,36391,403,331,735,2718,2372,5085,899,911,1806,440,457,900,627,1017,1639,8956,9891,18848,1630,1574,3204,3577,3441,7016,783,804,1592,642,766,1406,194,275,473
SED50605,20945,22475,43421,1008,993,2007,2846,2734,5584,1426,1341,2768,1438,1316,2755,2223,2208,4430,2687,3038,5719,2661,3069,5725,2564,2966,5533,2330,2669,5003,1308,1427,2732,450,723,1167,94,85,188,20870,22314,43187,74,161,237,130,146,275,5,10,14,4,7,7,140,160,297,12252,12678,24929,8164,9235,17396,15216,15778,31000,5128,6083,11210,17934,19119,37053,341,329,670,2766,2650,5415,1244,1194,2437,802,757,1556,699,954,1652,12615,13346,25959,1098,1166,2266,1986,2567,4551,470,574,1043,265,391,658,54,88,146
SED50702,24585,24191,48776,1442,1434,2881,2562,2395,4956,1115,1019,2135,1751,1698,3450,4786,4673,9458,3924,3680,7600,3124,2900,6024,2771,2601,5370,1825,2057,3882,944,1142,2090,351,585,937,110,75,181,23340,23186,46525,1242,1004,2251,610,632,1242,14,16,28,11,10,27,635,659,1301,13357,12848,26212,9444,9739,19185,15872,15225,31098,6848,7234,14077,18532,18077,36611,340,326,668,2374,2204,4584,795,783,1581,660,666,1322,1067,1546,2609,11910,12345,24256,1833,1634,3467,3534,3233,6767,764,690,1453,557,650,1206,197,199,398
SED50805,17682,20446,38123,1024,1005,2033,2393,2488,4885,1181,1320,2498,953,1054,2009,1851,2169,4021,2196,2674,4874,2566,2947,5520,2242,2539,4772,1746,2015,3761,1017,1352,2367,511,869,1381,63,31,94,17403,19867,37266,277,577,855,168,164,328,3,0,10,3,10,13,176,174,349,12705,14594,27302,4375,5175,9555,15511,17618,33132,1568,2151,3722,16095,18490,34587,310,320,630,2293,2398,4684,993,1167,2159,502,602,1106,520,857,1373,9516,11432,20951,1156,1223,2379,2170,2529,4700,491,561,1057,265,367,635,39,48,84
SED50906,21100,22236,43336,1212,1189,2400,2970,2759,5732,1344,1368,2714,1186,1195,2383,2674,2764,5431,2748,2876,5616,2800,3061,5864,2637,2785,5419,2079,2291,4372,1101,1291,2389,362,655,1015,35,27,60,19973,21691,41661,1128,542,1668,808,858,1667,5,4,16,23,23,44,836,886,1726,15530,16235,31770,4500,4888,9390,17472,18849,36323,1979,2275,4257,17851,19296,37145,336,302,641,2758,2573,5334,899,940,1842,188,285,470,397,885,1276,7000,8633,15635,2018,2142,4157,5066,4774,9838,1044,956,1998,533,580,1114,94,63,155
SED51004,21584,22621,44208,1326,1301,2629,3341,3001,6345,1681,1555,3233,1572,1528,3099,2613,2819,5435,2697,3108,5804,3226,3767,6991,2780,2894,5674,1518,1613,3130,646,785,1431,180,254,434,31,44,76,21537,22507,44046,54,111,161,332,350,675,19,8,22,15,7,24,357,363,722,11228,11397,22624,9693,10547,20239,18084,18579,36665,2793,3279,6069,18391,19144,37534,412,405,812,3182,2860,6044,1252,1207,2458,526,602,1132,499,1013,1512,10022,11587,21609,1851,1889,3741,3472,3163,6630,668,617,1285,240,299,538,38,81,117
