SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED50106,6798,4196,4154,4214,4881,5284,4591,2784,1144,38047
SED50202,11095,6201,7641,7013,5728,5271,4152,2166,760,50027
SED50304,6913,4410,8697,7312,5239,4593,3762,2451,1126,44493
SED50405,14727,6847,9165,8776,6426,4486,3015,1562,333,55335
SED50502,8102,4970,5862,6048,5435,5258,3942,1931,724,42268
SED50605,7569,5513,4415,5681,5700,5500,4964,2717,1166,43233
SED50702,7835,5567,9421,7581,5995,5328,3858,2079,937,48593
SED50805,6903,4502,4000,4860,5506,4766,3753,2363,1381,38031
SED50906,8130,5091,5419,5611,5852,5408,4365,2390,1015,43276
SED51004,8965,6325,5425,5791,6983,5664,3120,1427,434,44131
SED51104,13380,7014,8105,7821,7054,4785,3414,2046,750,54374
SED51205,9683,6587,10074,8141,5600,4901,4054,2124,768,51929
SED51304,8532,4495,3066,5538,5803,4876,5257,2782,848,41192
SED51401,6358,3376,4110,4381,5227,6029,5152,2633,895,38163
SED51504,8621,5294,4873,6190,6223,4729,3613,2393,1304,43222
SED51605,10059,6081,6764,7526,6738,4816,3113,1444,450,46997
SED51706,8706,4471,4710,5330,5559,5781,4841,2527,815,42744
SED51804,7248,5785,4270,4687,5994,5431,4638,3202,1488,42737
SED51902,10782,5425,6058,6414,6096,5324,3821,1757,461,46134
SED52006,6954,4115,3478,4105,4903,5515,6128,3725,1088,40011
SED52102,8580,4887,5577,6190,5189,4793,3676,1869,650,41406
SED52205,6385,4533,6404,6129,5955,5700,4628,2502,1206,43451
SED52301,7752,4517,4548,4730,5092,4986,4048,2152,836,38656
SED52404,8032,4665,4723,5712,5491,5165,4422,1873,554,40633
SED52505,13279,6485,8744,10279,6455,5312,3847,1363,355,56111
SED52604,6890,5500,4565,5031,5811,5973,4115,1827,735,40454
SED52702,7005,4371,2799,4294,5585,5328,4798,2925,980,38092
SED52803,7605,5062,8225,7407,6930,5888,2878,899,229,45130
SED52903,9446,4973,7651,6861,6349,7293,6318,1687,216,50796
SED53004,7781,4531,3936,5616,5290,5095,5105,2345,1002,40692
SED53105,11498,5815,7729,8422,5967,4322,2939,1423,502,48614
SED53204,10935,6330,6264,7709,6593,4842,3059,1423,476,47626
SED53306,8574,4974,5125,5123,5191,5293,5155,3566,1565,44569
SED53402,6882,4416,7507,7083,5559,4635,3562,1851,909,42395
SED53502,8462,5569,6628,6283,5951,5587,4280,2522,1061,46350
SED53602,9423,6308,7286,6520,5697,5228,4143,2153,726,47486
SED53701,6337,3237,3640,4381,5266,6648,6051,2766,678,39009
SED53802,7565,5097,7216,6499,5327,4952,4335,2686,962,44639
SED53902,6159,4639,6650,6018,5256,4711,3819,2733,1618,41604
SED54006,8156,4591,4133,4933,5433,5709,5146,2740,816,41660
SED54104,7559,7107,6839,6256,5766,5260,4872,3108,1264,48038
SED54203,5217,3311,7188,6589,6638,7092,5903,1879,226,44044
SED54304,6199,6266,14225,9769,6880,5717,3776,1692,783,55310
SED54403,11038,5872,13625,13524,11009,7991,3043,693,77,66879
SED54505,9193,5990,3462,6417,6352,4987,4865,2694,1066,45028
SED54605,6298,4444,4721,4498,4999,5657,4876,3100,1287,39875
SED54701,7188,3803,4437,4650,5018,5452,4157,2291,779,37766
SED54804,7507,4507,7890,7219,5572,4512,3586,2324,1251,44359
SED54905,6214,5908,6384,5600,5119,4993,4585,2457,1234,42493
SED55005,11621,6774,6350,8263,6710,4846,3539,1562,607,50268
SED55102,11108,6072,6444,7291,6666,5264,3553,1497,325,48219
SED55202,9675,5863,6485,6935,5777,5065,4404,2567,1028,47783
SED55306,8584,3901,4138,5658,5851,5748,5661,2981,1072,43594
SED55405,6859,7024,10545,7391,5090,4299,3253,1973,1219,47660
SED55504,11093,6098,6487,7271,6241,4806,3596,1922,636,48157
SED55605,11372,6661,5819,6359,6760,5256,2938,1529,465,47150
SED55706,7583,3582,3963,5211,5875,6815,6106,2869,913,42917
SED55802,11838,6670,8826,7841,6122,5231,3096,1607,560,51795
SED55905,6474,5032,5613,5128,5012,5046,4120,2741,1310,40478
SED59797,3,137,518,957,896,533,176,32,0,3250
