SED_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SED50106,74,72,145,870,851,1722,32,26,62,974,950,1925,81,59,138,1032,977,2013,49,43,94,1161,1085,2245,60,92,154,1216,1140,2362,63,60,120,1341,1287,2631,84,68,150,1139,1048,2187,65,52,113,1280,1169,2448,70,42,113,806,754,1561,42,36,76,917,836,1750,100,40,139,865,890,1762,49,36,88,1017,968,1985,64,35,91,965,964,1930,74,65,141,1103,1067,2171,63,37,92,905,1004,1913,47,39,88,1017,1081,2092,43,21,70,896,1051,1949,46,54,102,991,1131,2117,35,44,82,1022,1159,2179,50,53,102,1108,1254,2367,37,45,83,1078,1234,2312,72,50,120,1188,1328,2518,35,40,78,1116,1267,2387,55,59,115,1210,1367,2579,22,19,43,1187,1364,2556,69,50,111,1275,1433,2707,32,53,83,3787,4279,8069,171,192,367,3989,4525,8517,799,669,1472,16892,17989,34883,880,813,1692,18569,19474,38047
SED50202,165,144,311,1680,1585,3268,99,111,208,1948,1844,3790,150,165,309,1697,1599,3296,121,118,239,1965,1882,3846,127,119,251,1580,1410,2981,124,95,222,1832,1626,3454,92,99,193,1312,1275,2587,97,97,195,1504,1473,2975,94,102,190,1389,1452,2844,94,101,198,1578,1655,3231,94,89,175,1599,1731,3329,111,122,229,1799,1936,3734,86,84,166,1677,1829,3500,114,124,236,1865,2033,3906,61,53,113,1681,1807,3487,110,112,218,1847,1978,3822,38,48,88,1443,1496,2941,78,86,161,1566,1626,3192,43,40,82,1300,1320,2619,90,87,174,1432,1441,2878,45,59,105,1254,1334,2586,80,76,158,1382,1470,2849,33,43,73,1215,1295,2514,78,64,145,1335,1404,2733,31,33,60,1113,1251,2368,62,49,110,1212,1331,2543,45,65,103,3070,3548,6614,154,193,353,3267,3812,7076,1099,1149,2243,22003,22933,44937,1423,1422,2847,24519,25508,50027
SED50304,33,22,57,1341,1281,2614,39,34,79,1409,1338,2747,23,27,54,1073,1124,2196,36,60,102,1130,1218,2345,14,21,32,865,856,1721,37,28,69,917,902,1822,16,10,30,855,836,1690,30,39,75,904,889,1792,10,31,43,1158,1288,2448,79,45,126,1243,1370,2614,32,32,64,1796,2003,3793,82,109,193,1907,2149,4053,20,28,43,2105,2311,4414,93,91,182,2218,2424,4645,17,22,37,2014,2009,4022,105,73,172,2130,2096,4232,8,18,25,1481,1464,2944,52,53,108,1540,1542,3077,17,13,32,1266,1271,2537,70,60,126,1347,1340,2691,7,16,22,1195,1244,2443,55,34,85,1258,1295,2551,6,15,25,1061,1153,2211,58,58,113,1125,1222,2348,10,14,26,1037,1108,2146,34,44,76,1086,1158,2245,13,16,27,3031,4023,7051,110,147,255,3150,4191,7332,221,283,505,20271,21961,42235,881,881,1758,21371,23128,44493
SED50405,97,111,209,2408,2255,4657,106,85,191,2604,2452,5053,119,89,213,2407,2315,4720,96,96,192,2622,2505,5126,78,91,172,2108,2058,4168,95,109,203,2280,2261,4545,60,46,107,1687,1652,3334,69,63,136,1815,1762,3582,59,64,120,1415,1623,3036,48,58,104,1518,1746,3265,60,77,136,1776,2068,3842,65,90,149,1903,2232,4136,59,47,105,2092,2655,4746,79,97,179,2230,2804,5031,37,52,90,2151,2525,4673,79,101,177,2262,2673,4944,28,37,67,1741,1918,3653,64,50,115,1830,2006,3834,21,31,50,1496,1699,3196,57,55,112,1568,1787,3357,21,26,48,1421,1521,2940,37,46,81,1473,1598,3067,16,19,40,1107,1279,2389,29,29,61,1155,1327,2481,8,13,26,883,1042,1927,32,30,57,921,1079,2002,18,31,46,2136,2541,4679,86,99,182,2238,2663,4906,686,737,1418,24824,27149,51968,933,1015,1941,26435,28899,55335
SED50502,84,70,149,1241,1160,2403,55,43,97,1372,1273,2650,93,70,171,1353,1173,2522,59,69,128,1510,1310,2816,111,101,209,1228,1107,2336,60,38,91,1395,1244,2638,67,70,141,1104,1043,2142,44,51,93,1209,1161,2375,65,55,120,1267,1125,2389,50,35,87,1382,1214,2597,45,47,95,1263,1288,2548,71,66,133,1375,1396,2774,35,52,82,1412,1480,2888,60,55,110,1505,1587,3090,31,44,76,1479,1587,3059,64,53,122,1574,1682,3253,25,24,49,1334,1314,2648,50,37,87,1411,1377,2789,27,33,60,1228,1349,2584,47,43,90,1304,1430,2736,24,30,53,1251,1324,2578,35,37,68,1303,1396,2700,27,22,46,1305,1328,2625,38,34,75,1368,1380,2750,15,32,51,1118,1257,2378,33,46,80,1174,1335,2507,14,43,58,2875,3431,6302,118,120,237,3006,3596,6603,659,700,1357,19443,19956,39403,777,735,1509,20876,21388,42268
SED50605,14,14,30,970,950,1923,22,21,37,1006,988,1996,8,12,18,1297,1261,2557,20,18,37,1325,1292,2614,6,17,22,1491,1397,2893,20,18,36,1517,1439,2952,25,15,37,1381,1306,2684,22,20,41,1424,1341,2763,16,14,32,1402,1272,2674,19,20,39,1438,1313,2747,14,21,29,1099,1004,2098,24,18,47,1136,1040,2178,5,4,12,1050,1131,2176,25,31,49,1073,1164,2239,8,9,16,1236,1440,2673,29,15,52,1270,1467,2735,11,10,22,1351,1519,2869,33,30,57,1390,1554,2949,5,5,12,1267,1443,2711,29,26,59,1303,1477,2780,6,7,11,1319,1550,2870,23,18,47,1347,1579,2927,10,6,17,1226,1472,2699,23,37,55,1257,1509,2770,4,11,15,1260,1407,2663,32,23,51,1291,1445,2732,5,10,15,3971,4678,8653,88,96,179,4068,4785,8849,140,160,297,20314,21831,42145,393,398,793,20845,22390,43233
SED50702,64,48,112,1321,1310,2632,55,77,132,1442,1434,2881,64,55,119,1260,1180,2438,68,73,146,1389,1304,2698,50,56,106,1052,985,2031,64,54,120,1168,1089,2263,76,51,128,979,905,1887,54,60,116,1115,1019,2135,67,58,120,1551,1534,3081,123,107,230,1739,1696,3434,43,67,112,2162,2019,4182,147,143,289,2349,2234,4579,47,56,102,2225,2245,4469,146,129,274,2411,2425,4845,31,40,66,1996,1881,3874,137,142,281,2161,2065,4224,40,31,71,1569,1496,3068,135,82,218,1747,1610,3356,39,35,73,1368,1373,2739,112,92,208,1517,1501,3023,38,38,80,1391,1257,2653,145,93,245,1576,1398,2972,37,43,74,1275,1204,2475,103,72,171,1418,1311,2728,14,34,46,1239,1161,2399,78,77,152,1328,1273,2597,27,55,77,2937,3548,6487,142,166,310,3106,3765,6873,635,659,1301,22313,22088,44405,1520,1369,2891,24477,24122,48593
SED50805,11,12,30,992,972,1960,26,22,43,1023,1006,2029,15,19,29,1133,1113,2247,35,25,61,1177,1154,2335,25,23,46,1154,1271,2430,28,42,66,1207,1335,2545,18,12,29,1142,1282,2420,18,26,43,1180,1320,2498,11,18,26,925,1008,1934,15,25,34,949,1054,2006,13,15,30,828,970,1804,26,32,61,872,1017,1888,13,9,18,921,1097,2015,39,36,69,963,1139,2111,8,10,22,1043,1240,2287,26,39,70,1079,1294,2371,4,7,20,1069,1342,2413,32,27,63,1109,1380,2485,10,5,22,1200,1429,2630,35,41,79,1244,1479,2726,16,3,21,1274,1432,2701,30,26,58,1317,1468,2779,11,7,15,1111,1293,2404,25,18,48,1145,1318,2466,4,3,11,1047,1181,2229,25,31,56,1076,1219,2296,15,14,24,3126,4042,7173,124,173,296,3261,4233,7495,176,174,349,16961,19674,36629,482,568,1050,17613,20412,38031
SED50906,96,89,191,1071,1047,2117,43,58,99,1212,1189,2405,86,75,168,1284,1195,2481,71,45,121,1446,1321,2771,87,86,172,1374,1287,2660,62,66,125,1522,1437,2959,76,108,179,1216,1206,2420,44,59,107,1336,1367,2709,82,87,167,1047,1047,2092,58,62,121,1185,1192,2385,78,73,147,1137,1173,2307,71,79,151,1284,1322,2607,70,53,118,1229,1314,2545,80,68,148,1379,1437,2810,45,53,102,1267,1322,2588,60,65,131,1377,1446,2817,40,37,74,1257,1331,2591,68,51,125,1368,1425,2788,40,56,97,1300,1391,2693,65,57,125,1407,1503,2916,39,42,82,1283,1451,2739,58,58,118,1385,1550,2938,31,39,64,1237,1287,2528,59,53,114,1327,1378,2709,16,29,53,1233,1316,2550,50,55,107,1301,1400,2700,43,60,101,3325,3963,7284,170,210,384,3534,4237,7771,836,886,1726,19262,20334,39592,974,989,1960,21069,22210,43276
SED51004,40,41,81,1238,1221,2463,44,36,85,1326,1301,2627,58,56,113,1462,1376,2834,46,47,91,1563,1478,3039,53,49,103,1661,1433,3093,64,41,102,1778,1522,3298,37,38,74,1597,1483,3084,38,36,73,1671,1553,3229,29,21,50,1502,1454,2954,44,49,88,1570,1524,3090,22,22,47,1271,1251,2523,41,40,82,1339,1312,2653,20,22,38,1218,1431,2657,38,47,82,1275,1501,2776,13,24,40,1298,1451,2750,47,47,96,1359,1525,2886,18,22,35,1271,1515,2782,45,43,82,1331,1571,2901,16,28,44,1469,1751,3221,36,53,91,1524,1833,3355,18,19,34,1648,1869,3520,40,37,75,1704,1921,3626,5,12,19,1542,1628,3164,33,37,75,1584,1670,3254,14,9,21,1149,1185,2335,29,27,46,1192,1212,2407,12,10,22,2269,2562,4838,47,70,122,2335,2648,4980,357,363,722,20599,21617,42212,598,599,1190,21553,22578,44131
