SED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SED50106,0,0,0,0,1278,1280,49,0,0,0,864,917,652,23,33,0,1411,2116,1065,100,91,3,744,2007,1325,125,272,11,561,2299,1524,130,400,51,393,2486,1505,92,370,99,171,2234,928,30,127,135,46,1267,291,4,29,143,12,484,17,0,0,3,8,33,7355,505,1323,451,5492,15125,0,0,0,0,1166,1169,74,3,0,3,758,836,783,51,47,0,1155,2033,1204,145,176,20,663,2208,1444,154,402,50,534,2583,1590,123,589,135,356,2800,1421,87,414,312,119,2356,722,26,196,540,31,1515,153,11,50,439,8,659,6,3,0,0,5,23,7400,600,1876,1506,4795,16174,6,0,0,0,2446,2448,117,4,0,0,1625,1750,1434,78,74,3,2566,4154,2272,239,268,24,1404,4214,2770,279,674,64,1098,4881,3116,252,988,190,748,5284,2929,176,781,413,289,4591,1648,52,324,676,84,2784,449,15,84,579,19,1144,23,0,3,6,16,52,14752,1110,3190,1959,10289,31301
SED50202,0,0,0,0,1500,1504,52,0,0,4,1514,1578,1001,73,49,0,2546,3674,1794,172,195,4,1237,3406,1336,190,357,26,897,2817,1352,162,475,66,477,2540,1193,121,366,94,173,1943,658,44,149,119,52,1016,170,9,34,92,5,306,5,4,4,0,3,22,7572,778,1634,414,8392,18797,5,0,0,0,1468,1473,124,13,3,4,1509,1655,1464,147,102,12,2247,3972,1943,236,307,33,1076,3602,1421,230,518,81,661,2909,1329,184,723,200,306,2736,1106,107,511,387,95,2208,469,34,185,436,22,1151,89,9,31,315,7,452,17,3,0,9,4,38,7955,962,2392,1475,7402,20190,4,0,0,0,2969,2975,176,18,0,6,3020,3231,2470,216,158,13,4794,7641,3740,415,509,39,2312,7013,2759,427,876,105,1556,5728,2680,346,1201,266,778,5271,2296,225,879,479,265,4152,1124,78,331,555,77,2166,261,11,66,414,12,760,20,9,4,9,15,54,15528,1747,4024,1895,15797,38993
SED50304,4,0,0,0,901,904,51,0,0,4,1194,1243,1469,53,65,0,2533,4126,2099,117,181,5,1269,3674,1425,114,303,10,753,2601,1197,117,400,31,466,2210,989,71,324,70,175,1636,753,28,124,98,60,1068,274,10,18,122,10,444,16,3,7,6,12,33,8276,519,1423,348,7374,17946,0,0,0,0,887,889,117,9,5,3,1241,1370,1909,103,111,0,2450,4574,2095,165,265,17,1098,3641,1377,156,438,45,617,2638,1203,112,580,116,370,2382,1040,78,501,322,187,2122,567,27,236,497,55,1385,101,3,63,504,7,679,20,7,7,9,15,57,8430,659,2203,1508,6931,19729,9,0,0,0,1789,1792,161,8,0,6,2433,2614,3379,157,173,3,4979,8697,4198,284,443,21,2369,7312,2800,270,744,61,1369,5239,2401,234,978,148,834,4593,2035,144,822,390,364,3762,1321,57,366,588,118,2451,375,15,87,624,23,1126,37,5,9,19,21,90,16708,1174,3629,1861,14308,37678
SED50405,0,0,0,0,1812,1815,35,5,0,0,1477,1518,1459,98,74,3,2497,4134,2680,194,216,5,1004,4094,2047,174,343,8,466,3042,1424,99,322,40,199,2079,992,59,196,56,53,1359,541,23,72,84,15,734,83,3,16,44,4,153,21,0,4,3,8,31,9281,656,1238,241,7542,18956,0,0,0,0,1761,1762,107,11,0,0,1629,1746,2201,167,134,10,2514,5028,2997,289,352,24,1017,4683,2142,219,532,49,437,3383,1447,136,520,156,146,2403,928,70,321,294,47,1654,391,19,112,302,7,830,50,7,8,123,0,183,18,3,7,12,9,41,10283,914,1985,963,7574,21721,0,0,0,0,3577,3582,142,16,4,0,3106,3265,3666,266,209,12,5016,9165,5679,480,568,27,2020,8776,4196,391,876,66,903,6426,2868,236,833,195,348,4486,1924,126,520,344,101,3015,930,41,178,383,22,1562,133,4,24,162,6,333,33,6,9,8,17,76,19566,1565,3221,1205,15116,40673
SED50502,0,0,0,0,1210,1209,27,3,0,0,1346,1382,778,43,49,0,2008,2879,1662,117,142,8,1062,2984,1472,139,295,16,688,2605,1559,114,394,42,433,2542,1208,94,283,98,170,1862,596,29,118,101,36,882,143,9,16,84,15,264,13,5,3,0,4,23,7459,546,1307,350,6964,16632,0,0,0,0,1159,1161,65,8,0,0,1138,1214,1148,94,88,5,1657,2984,1837,154,234,18,827,3061,1528,179,480,51,591,2826,1548,132,519,146,363,2709,1049,81,473,325,148,2075,433,20,182,377,33,1052,66,0,42,348,11,463,17,6,5,12,18,59,7694,676,2020,1282,5949,17616,0,0,4,0,2373,2375,99,7,5,0,2488,2597,1925,136,132,4,3666,5862,3494,267,373,24,1884,6048,2998,324,776,61,1271,5435,3107,246,919,186,799,5258,2260,174,760,425,317,3942,1027,58,300,480,71,1931,214,12,53,433,24,724,32,8,9,12,23,81,15151,1225,3325,1626,12919,34248
SED50605,3,0,0,0,1419,1424,8,0,0,0,1428,1438,569,20,31,0,1590,2212,1890,83,130,0,558,2665,2049,100,195,5,306,2648,1978,78,257,31,210,2548,1900,54,207,66,92,2318,1067,26,83,99,29,1301,296,7,21,123,6,448,64,4,3,0,14,83,9827,365,917,331,5652,17088,0,0,0,0,1334,1341,16,0,0,0,1289,1313,834,32,55,0,1277,2205,2217,126,180,11,493,3028,2230,148,343,32,302,3052,2122,107,429,94,198,2954,1864,65,350,268,106,2649,765,28,166,428,34,1419,141,3,42,513,22,725,46,3,5,12,15,76,10223,518,1574,1360,5075,18743,0,0,0,0,2757,2763,28,0,0,0,2719,2747,1406,50,89,0,2866,4415,4103,209,311,13,1050,5681,4270,247,538,39,607,5700,4097,188,686,124,409,5500,3762,118,557,329,199,4964,1832,52,247,531,62,2717,436,11,65,639,27,1166,109,10,8,15,23,161,20055,883,2484,1692,10723,35834
SED50702,0,0,0,0,1113,1115,47,5,4,0,1684,1739,1289,59,83,6,3326,4765,2152,145,244,3,1367,3907,1692,200,386,13,805,3097,1459,154,528,40,564,2744,1056,94,370,91,207,1814,584,29,151,117,58,939,176,9,39,101,29,351,60,4,15,0,31,110,8521,694,1813,365,9180,20579,0,0,0,0,1017,1019,94,3,7,0,1591,1696,1732,95,110,3,2720,4657,2146,183,272,29,1045,3675,1557,185,471,66,619,2896,1323,158,615,140,350,2581,983,99,494,327,137,2043,427,25,177,450,55,1134,92,6,35,430,20,585,30,0,4,14,22,75,8377,751,2195,1467,7569,20360,0,0,0,0,2130,2135,133,8,8,0,3275,3434,3023,152,189,3,6052,9421,4294,331,523,33,2409,7581,3251,377,863,77,1422,5995,2783,309,1145,181,908,5328,2042,192,861,421,344,3858,1007,58,332,562,117,2079,272,16,69,537,43,937,90,0,15,22,50,180,16898,1443,4009,1836,16757,40938
SED50805,0,0,0,0,1180,1180,6,0,0,0,947,949,430,14,17,0,1378,1834,1446,49,114,3,580,2187,1716,107,253,11,478,2561,1439,77,322,32,355,2228,1215,55,248,44,184,1741,689,30,130,106,58,1014,282,5,28,175,18,511,22,0,8,0,25,57,7235,341,1111,371,5202,14256,0,0,0,0,1322,1320,12,0,3,0,1038,1054,651,33,35,0,1444,2165,1731,96,172,14,659,2672,1814,159,418,35,522,2947,1488,110,506,79,354,2535,1090,68,450,228,178,2011,553,36,249,441,66,1351,175,8,55,606,24,867,10,0,0,4,8,23,7527,513,1890,1406,5613,16943,0,0,0,0,2501,2498,14,0,3,0,1986,2006,1077,45,52,0,2823,4000,3176,142,286,14,1242,4860,3529,261,667,45,997,5506,2917,192,838,111,705,4766,2307,123,693,271,358,3753,1248,61,379,551,131,2363,458,18,86,780,38,1381,31,8,10,8,36,84,14762,851,3002,1775,10814,31207
SED50906,0,0,0,0,1332,1336,36,5,0,0,1145,1185,669,50,29,0,1912,2667,1442,133,170,4,990,2740,1563,179,348,16,687,2796,1576,146,483,48,375,2633,1365,111,376,95,132,2079,778,33,136,120,29,1094,207,8,23,110,11,362,7,0,3,0,18,28,7636,671,1568,395,6645,16916,7,0,0,0,1359,1367,52,0,0,0,1142,1192,924,93,78,4,1654,2753,1546,197,236,24,869,2865,1655,231,506,68,608,3054,1506,156,681,135,297,2779,1256,98,485,330,113,2289,557,28,176,502,34,1291,116,10,41,475,13,655,7,0,0,4,17,27,7632,809,2205,1547,6097,18284,7,0,0,0,2693,2709,87,6,0,3,2291,2385,1591,146,110,6,3567,5419,2989,327,406,26,1865,5611,3218,404,855,89,1294,5852,3083,303,1162,189,676,5408,2620,212,869,427,243,4365,1335,61,310,623,68,2390,326,18,58,590,22,1015,15,0,3,4,32,56,15266,1478,3771,1944,12740,35200
SED51004,0,0,0,0,1672,1671,24,3,0,0,1539,1570,693,45,32,0,1845,2614,1684,112,145,3,747,2689,2308,158,287,23,445,3228,2064,100,360,37,213,2774,1174,62,167,53,52,1507,517,17,52,54,10,646,107,3,14,51,0,180,14,4,0,0,8,28,8585,501,1065,222,6538,16916,0,0,0,0,1552,1553,45,0,0,0,1474,1524,1051,72,60,3,1631,2812,1995,150,250,27,675,3099,2621,208,458,42,430,3756,1955,131,519,125,163,2889,998,73,311,192,33,1605,394,10,111,251,9,782,49,4,14,188,0,254,14,9,4,9,13,38,9119,656,1736,835,5977,18316,0,0,0,0,3226,3229,70,7,0,0,3011,3090,1741,119,90,5,3472,5425,3681,265,400,24,1425,5791,4931,369,744,63,874,6983,4022,234,875,159,377,5664,2172,130,479,246,81,3120,909,23,166,309,19,1427,157,12,30,240,0,434,29,5,7,9,20,65,17705,1162,2802,1050,12508,35231
