SED_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SED50106,14153,14559,28713,3,0,3,0,0,4,59,68,123,33,51,78,5,6,13,5,3,7,7,3,15,80,131,206,3,6,5,11,11,20,72,59,129,18,52,70,4,5,9,0,0,3,31,37,69,76,71,142,8,17,26,5,11,16,0,3,3,44,42,85,3,4,6,109,122,233,330,329,659,0,4,9,239,360,597,21,22,45,13,24,37,220,244,467,20,19,38,5,14,19,59,89,148,1474,1713,3185,59,84,143,20,16,41,368,371,742,1023,925,1940,31,23,56,18606,19494,38102
SED50202,15544,15650,31195,104,85,188,24,10,36,40,47,86,45,86,134,12,6,26,11,12,21,8,14,24,94,114,211,4,7,7,19,16,31,767,733,1505,86,153,238,40,28,69,34,26,61,63,64,128,78,62,141,18,40,58,15,31,49,21,14,36,101,174,281,18,16,34,170,214,386,929,906,1833,71,71,143,559,739,1297,15,36,48,107,110,222,239,235,477,147,141,291,9,32,40,137,249,385,2041,2276,4316,61,68,125,27,61,88,1249,1374,2622,1611,1603,3213,22,42,57,24544,25545,50085
SED50304,11476,12315,23794,37,37,66,18,13,32,45,59,102,288,418,706,138,161,295,30,31,68,9,10,18,50,86,142,151,165,314,91,110,195,1190,1072,2259,64,132,194,142,141,281,78,75,159,283,222,501,761,827,1589,38,121,161,40,67,104,16,14,32,257,325,577,104,88,188,40,37,75,392,368,762,137,77,221,195,316,507,76,111,190,114,120,238,244,275,525,87,87,171,48,94,140,51,149,195,1099,1022,2119,69,81,157,289,374,659,2259,2564,4822,970,965,1932,33,57,90,21404,23181,44589
SED50405,16349,17668,34016,4,0,5,24,20,45,56,44,98,54,106,166,30,24,56,19,17,36,43,45,87,83,86,172,5,8,11,20,25,40,772,741,1515,52,113,166,25,25,51,11,9,13,167,148,310,48,32,82,12,52,64,34,36,75,3,10,13,107,134,242,28,37,66,77,78,161,1525,1579,3107,43,26,74,770,1028,1794,32,32,61,86,111,199,651,689,1340,39,39,82,3,29,31,18,139,161,3026,3235,6258,87,76,165,37,62,99,1110,1262,2369,980,1119,2100,33,49,81,26470,28947,55420
SED50502,12994,12921,25921,156,125,283,27,19,36,27,30,60,181,262,446,62,71,140,33,18,50,17,14,29,70,81,155,23,15,38,43,67,106,739,708,1442,53,101,156,86,74,151,119,115,231,158,135,292,194,183,371,19,47,66,24,43,65,10,9,18,245,281,529,34,40,81,64,49,113,583,544,1129,94,53,143,298,445,746,66,87,158,92,105,198,159,176,340,90,77,166,21,54,69,63,160,225,1277,1295,2570,57,40,102,552,721,1267,1287,1420,2703,856,816,1672,28,57,82,20902,21451,42353
SED50605,12252,12678,24929,6,3,10,29,24,54,46,73,115,512,723,1239,38,39,77,30,26,59,12,15,26,73,87,161,19,14,28,195,217,414,493,470,960,531,723,1255,190,205,399,29,36,65,115,110,225,166,159,329,33,88,120,149,164,314,17,17,29,919,1095,2019,22,20,53,67,60,127,326,324,644,44,24,72,123,194,318,35,47,81,447,537,981,393,417,816,132,158,291,56,94,148,48,120,173,1698,1625,3322,121,121,239,88,116,206,957,1072,2028,438,469,909,94,85,188,20945,22475,43421
SED50702,13357,12848,26212,170,82,251,127,124,253,31,51,81,495,658,1156,39,31,76,42,29,72,15,20,36,96,97,191,20,15,27,113,139,250,864,696,1556,144,261,403,84,63,148,51,50,102,221,175,394,195,180,370,34,88,123,149,170,326,38,28,66,409,489,896,174,135,305,60,49,106,831,735,1563,327,207,529,475,734,1208,65,83,143,222,255,469,215,215,428,198,151,351,76,131,213,74,219,291,1459,1300,2756,72,83,154,168,251,421,1699,1737,3429,1666,1528,3196,110,75,181,24585,24191,48776
SED50805,12705,14594,27302,0,0,0,5,5,8,59,79,137,58,108,162,44,38,83,21,18,43,4,3,10,73,115,187,21,16,35,16,32,47,106,139,244,51,104,156,33,39,74,5,4,6,133,165,298,184,237,423,22,39,59,23,37,60,8,12,17,84,124,206,4,4,6,56,64,120,341,360,701,11,7,14,32,94,132,17,50,72,75,100,175,229,256,481,27,22,45,10,12,19,25,78,104,1881,1869,3753,104,112,217,16,26,41,603,808,1411,525,644,1171,63,31,94,17682,20446,38123
SED50906,15530,16235,31770,0,0,3,16,17,33,40,57,90,42,73,117,10,11,20,14,13,26,0,3,7,72,88,159,11,10,18,12,18,37,218,180,401,32,60,91,15,11,23,6,7,20,104,98,198,115,118,229,25,22,43,44,28,69,23,20,41,57,72,129,24,31,49,71,65,137,595,562,1157,43,27,74,316,441,758,19,39,63,27,36,61,444,457,900,33,29,58,34,54,93,23,79,99,1422,1463,2889,66,49,111,29,48,81,497,595,1093,1043,1081,2119,35,27,60,21100,22236,43336
SED51004,11228,11397,22624,53,63,119,9,11,18,46,72,115,95,136,229,18,18,36,55,49,106,8,9,15,81,113,197,7,10,15,19,41,59,211,206,420,35,97,132,59,55,107,15,20,34,305,316,623,63,61,128,12,41,58,18,20,39,3,7,15,107,141,250,9,7,18,53,46,100,710,679,1390,33,32,61,145,257,399,84,106,188,112,119,226,1166,1212,2382,29,22,48,7,29,39,32,108,143,4967,5064,10035,86,98,186,58,87,148,972,1200,2170,632,631,1262,31,44,76,21584,22621,44208
