SED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SED50106,225,8,0,0,0,233,137,5,0,0,0,141,78,9,0,0,0,88,176,4,0,0,0,185,261,5,0,3,0,272,936,21,0,0,0,962,1036,11,0,0,0,1054,957,13,0,0,3,972,310,8,0,0,0,321,214,4,0,0,0,220,124,3,0,0,0,130,250,10,0,0,0,259,4704,89,12,7,9,4818
SED50202,292,20,0,0,0,316,152,20,3,0,0,173,123,17,3,0,0,139,284,46,0,6,0,342,456,68,0,0,0,525,1650,140,11,0,0,1800,2072,96,5,0,0,2170,1795,32,0,0,0,1826,465,6,0,0,0,476,239,3,0,0,0,245,159,8,0,0,0,168,408,18,0,0,0,428,8108,479,24,7,0,8621
SED50304,195,106,9,0,0,311,47,34,9,0,0,88,53,37,13,0,0,104,72,71,20,0,0,164,117,136,14,0,0,266,383,481,76,0,0,945,533,630,60,0,0,1226,776,539,33,0,0,1347,426,161,3,0,0,592,471,119,4,0,0,594,343,49,4,0,0,392,219,110,11,0,0,346,3642,2472,260,0,0,6373
SED50405,212,10,0,0,0,220,86,0,0,0,0,91,80,4,0,0,0,87,184,5,0,0,0,190,254,12,0,0,0,269,1362,41,5,3,0,1412,2664,30,4,0,0,2696,3488,32,3,0,0,3522,1142,7,0,0,0,1147,549,6,0,0,0,551,344,4,0,0,0,349,541,11,0,0,0,556,10910,155,14,4,9,11089
SED50502,331,40,3,0,0,377,116,14,0,0,0,135,94,5,0,0,0,106,189,26,10,0,0,225,271,40,8,0,0,316,897,124,37,0,0,1058,1264,132,24,0,0,1420,1590,82,10,0,0,1686,565,24,0,0,3,599,379,19,5,0,0,399,210,5,4,0,0,219,363,21,3,0,0,389,6267,540,107,0,6,6917
SED50605,280,38,4,0,0,323,62,13,4,0,0,74,65,11,0,0,0,81,70,14,0,0,0,85,97,16,6,0,0,116,287,73,19,0,0,377,324,84,41,0,0,449,684,137,48,0,0,869,538,90,31,0,0,654,802,85,14,0,0,902,840,82,19,0,0,935,273,48,11,0,0,332,4324,678,199,0,0,5202
SED50702,229,32,22,0,0,287,77,9,5,0,0,89,50,8,3,0,0,70,126,25,13,0,0,168,166,47,31,0,0,248,587,193,128,0,0,907,914,203,161,0,3,1283,1207,180,138,0,0,1530,525,65,49,0,0,641,438,48,59,0,0,544,232,27,38,0,0,297,251,35,41,0,0,327,4815,878,690,0,11,6390
SED50805,220,48,9,0,0,281,66,10,4,0,0,82,58,15,0,0,0,74,89,39,9,0,0,137,101,33,22,0,0,156,283,158,64,0,0,503,329,232,81,0,0,641,706,296,46,0,0,1045,565,125,14,0,0,706,753,94,11,0,0,861,849,65,6,0,4,924,261,63,11,0,0,332,4273,1178,285,0,5,5735
SED50906,233,23,3,0,0,262,94,14,0,0,0,112,104,14,0,0,0,115,200,17,6,0,0,226,329,30,3,0,0,372,1143,95,9,0,0,1256,1317,49,3,5,3,1373,1176,36,8,0,0,1221,394,20,0,0,0,418,298,13,4,0,0,312,179,10,4,0,0,188,284,23,3,0,4,310,5754,346,51,0,15,6165
SED51004,299,15,0,0,0,313,91,3,0,0,0,101,87,3,3,0,0,101,159,9,0,0,0,164,253,6,5,0,0,266,909,50,27,0,0,983,1422,60,19,0,0,1502,2111,49,7,0,0,2169,994,12,9,0,0,1017,833,9,5,0,0,844,518,6,4,0,0,531,456,17,6,0,0,476,8137,246,77,0,9,8463
