SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED54104,129,224,354,40,95,134,47,187,235,38,380,416,105,606,707,122,575,700,247,397,644,309,453,760,424,539,965,496,515,1008,370,492,868,504,382,889,1027,831,1854,793,94,891,774,265,1038,599,58,654,4520,676,5194,828,149,981,55,150,212,11430,7065,18495
SED54203,38,188,232,16,75,91,28,133,164,29,211,240,105,432,536,84,294,383,235,556,784,188,542,730,206,676,886,224,605,834,176,345,526,225,420,645,490,825,1313,371,256,626,362,364,729,246,136,386,588,615,1204,566,113,681,104,692,793,4282,7495,11777
SED54304,147,394,537,37,98,133,51,292,344,43,560,598,122,770,886,123,616,738,316,496,811,354,626,982,497,908,1404,588,840,1425,503,873,1379,555,790,1346,1375,1628,3004,1192,219,1408,1149,554,1706,827,118,947,3663,965,4628,951,379,1322,64,469,534,12544,11606,24148
SED54403,45,127,174,15,39,54,25,109,128,38,146,187,76,133,212,70,120,190,129,229,359,137,249,387,194,347,543,203,397,603,221,428,656,314,469,787,846,1095,1941,835,114,953,1057,442,1503,811,79,892,3110,697,3806,1033,116,1148,121,627,746,9305,5964,15266
SED54505,133,120,254,76,59,134,70,106,177,58,200,258,178,542,719,170,365,534,490,228,712,477,265,744,686,232,914,760,191,955,551,174,723,595,106,701,1387,201,1593,1120,28,1156,1137,54,1196,739,15,751,2711,93,2796,1037,44,1083,71,81,158,12448,3102,15547
SED54605,133,182,313,42,73,117,64,226,288,70,499,564,238,1158,1388,287,777,1075,849,418,1263,720,512,1235,792,524,1313,772,399,1171,619,347,965,601,255,853,1175,375,1555,869,40,913,702,88,792,430,17,446,963,102,1063,1143,98,1242,137,268,406,10605,6347,16952
SED54701,97,138,234,58,72,126,47,194,247,54,302,352,188,788,973,165,464,633,595,337,934,500,423,921,594,533,1127,685,357,1040,493,291,782,590,211,798,1202,384,1586,803,48,841,652,109,763,317,22,339,885,165,1046,1134,78,1217,170,315,486,9228,5217,14450
SED54804,92,185,274,32,84,115,54,213,264,48,363,409,132,803,928,165,523,686,368,393,766,418,419,830,508,503,1009,552,491,1045,417,454,868,463,420,888,1206,835,2045,1095,119,1214,1135,276,1415,790,71,861,3128,421,3549,1077,303,1384,87,176,258,11771,7044,18819
SED54905,118,268,390,43,97,137,68,191,258,48,333,382,141,681,822,179,599,773,357,382,733,360,470,833,473,564,1044,604,489,1089,463,491,953,498,384,884,1119,734,1851,899,94,991,882,215,1101,615,37,649,3285,418,3707,817,206,1026,77,166,241,11052,6823,17872
SED55005,126,126,256,37,32,74,45,74,118,74,204,274,179,418,600,227,310,537,630,192,822,547,241,795,669,316,985,892,241,1130,780,204,984,788,180,975,1797,266,2067,1463,27,1490,1236,51,1282,718,13,731,1753,69,1825,1264,71,1336,108,87,192,13334,3137,16467
