SA3_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
50101,1187,135,1332,9582,3061,549,13197,29755,3362,46314
50102,1742,371,2133,17267,6517,996,24779,55710,6330,86826
50103,461,52,508,3203,1174,158,4536,13693,1694,19922
50201,2585,489,3095,15273,6624,814,22705,59960,6141,88811
50301,1901,245,2184,11920,4941,496,17359,39315,2656,59324
50302,1922,278,2226,15688,5223,594,21501,67508,6524,95536
50401,1721,204,1949,13396,4618,481,18498,48525,3690,70713
50402,692,164,870,6676,2945,363,9983,22549,3844,36378
50403,1434,216,1678,27148,7957,1083,36184,73073,6710,115971
50501,2517,244,2794,28584,12052,1290,41928,83833,4903,130669
50502,4952,493,5514,34043,11641,1215,46902,116144,9513,172558
50503,2192,394,2616,39218,11718,1690,52633,101444,8441,162511
50601,851,134,1006,18199,5083,803,24092,43761,4239,72096
50602,1123,179,1318,11134,3507,359,14995,44090,4700,63786
50603,1731,435,2191,16448,5305,488,22241,54684,4568,81486
50604,1561,284,1869,21949,6815,799,29565,63618,6928,100107
50605,1150,133,1292,10124,4012,451,14588,30430,2385,47399
50606,222,22,249,6433,1963,339,8741,13828,1645,24215
50607,968,249,1233,6165,2723,257,9144,25967,2093,37202
50701,1441,322,1782,21217,6707,920,28846,59585,4815,93241
50702,941,153,1107,6023,2615,322,8956,22776,2209,33939
50703,382,35,416,8735,2247,391,11371,20821,3261,35457
50704,2940,373,3363,17992,7657,700,26347,57725,3693,87766
50705,1682,377,2083,23979,8089,1294,33357,65730,7159,106248
50901,1411,222,1644,8919,3278,538,12744,33742,4288,50772
50902,991,191,1196,7125,3006,378,10505,30510,5625,46644
50903,376,92,471,2739,1006,101,3851,10257,1755,15859
51001,101,38,139,4729,2262,624,7625,14536,4714,26876
51002,34,3,39,4113,1074,364,5552,10230,4204,19985
51003,11,3,19,5592,1013,348,6951,11018,4260,22223
51101,279,26,315,2360,815,138,3316,8107,1434,12856
51102,66,22,90,1249,373,113,1736,4907,1158,7794
51103,199,36,236,5960,1738,346,8044,17511,4733,30285
51104,899,197,1108,7584,2867,437,10888,28039,5745,44672
59797,0,0,0,40,5,3,45,248,221,516
59999,12,23,30,613,205,45,861,3063,3361,7285
