SA3_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
50101,204,30,579,215,117,117,77,163,21,1520,3,0,5,6,0,8,0,0,0,25,35,56,36,33,15,25,14,28,10,261,69,45,107,62,46,59,55,82,52,574,2653,4368,3767,2303,1662,1136,890,1605,260,18646
50102,163,47,557,309,204,200,201,242,21,1940,3,6,0,15,0,7,7,17,0,55,38,77,92,58,48,15,106,57,16,501,89,65,211,91,61,71,135,152,154,1031,3180,6923,7517,4251,3278,1591,2467,2638,509,32368
50103,43,9,113,51,40,35,28,63,3,377,0,0,4,0,0,0,0,3,0,12,25,11,12,12,3,0,17,7,3,89,47,18,40,21,25,14,40,37,30,265,1256,1257,1223,774,577,305,443,641,110,6589
50201,222,52,617,346,182,243,165,218,16,2053,3,0,7,8,5,10,0,11,0,45,33,63,79,58,32,9,61,29,16,381,78,51,157,104,67,63,132,118,128,897,2963,5502,6252,4224,2666,1574,2160,1931,447,27731
50301,96,20,145,76,60,42,9,30,4,492,0,7,6,0,0,5,0,3,0,16,71,123,14,43,39,22,12,7,12,332,59,94,33,35,35,22,8,20,65,372,5855,14391,1306,1802,2495,1175,283,556,420,28290
50302,253,60,812,372,161,116,56,157,20,2016,3,3,3,15,3,7,9,18,0,57,118,216,71,86,98,36,31,54,26,732,101,144,102,80,75,37,47,77,140,812,8229,24328,4473,4620,5074,2184,1075,2289,618,52887
50401,199,54,608,303,208,137,109,154,16,1778,0,4,3,4,0,5,0,11,0,28,67,114,83,62,67,38,27,42,9,518,61,75,136,96,73,38,77,69,129,764,4214,11039,4683,3707,3748,1569,1254,1560,444,32217
50402,71,27,212,126,103,73,50,69,0,744,0,0,3,0,4,5,3,0,0,16,31,42,39,39,23,5,23,12,7,236,43,31,73,46,27,23,44,39,68,378,1822,3836,2801,1704,1566,614,675,641,228,13890
50403,324,86,996,597,439,330,327,291,36,3434,0,4,9,10,12,11,7,15,0,68,75,96,131,140,88,53,115,67,21,784,130,88,246,169,145,94,157,155,280,1465,5352,10196,9619,7236,6011,2774,3460,3022,806,48479
50501,352,119,820,481,438,285,117,182,19,2813,4,0,4,10,8,5,5,13,0,54,111,182,113,106,106,49,36,34,20,754,133,147,251,148,147,85,74,121,216,1320,9169,19877,10147,6704,7340,2843,1806,2371,797,61046
