SA3_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
50101,9,63,0,477,3,9,0,6,0,4,0,6,3,21,510,558,3,0,0,4,0,4,0,4,0,37,41,100,945,498,83,1029,103,417,86,538,87,2624,601,7016
50102,17,33,4,898,7,7,0,6,4,12,4,3,8,34,806,880,11,0,3,4,0,10,0,3,0,62,72,170,2050,473,106,1761,210,1160,130,882,200,4380,948,12296
50103,0,5,0,169,5,0,0,3,0,0,0,6,0,10,232,254,8,0,0,0,0,0,0,0,0,21,30,63,531,214,43,489,62,272,40,244,51,1170,284,3401
50201,26,90,8,896,8,0,7,11,8,10,0,8,6,64,1025,1148,8,7,9,12,0,0,0,0,0,130,100,260,1514,441,97,1410,181,1148,109,901,211,6651,1204,13868
50301,16,369,0,2237,4,4,5,3,3,8,6,3,0,30,361,420,0,0,0,0,0,0,0,5,0,33,20,61,1047,422,32,860,87,711,46,820,68,2670,394,7149
50302,20,136,5,3220,14,0,9,9,10,11,3,3,4,24,806,892,3,0,8,7,5,4,0,0,0,23,34,84,4174,898,87,2262,245,1302,97,871,121,2382,880,13311
50401,9,22,0,1104,6,5,6,7,4,4,5,4,7,24,572,635,4,0,0,4,0,6,5,0,0,27,41,92,2454,415,55,1429,172,838,62,582,91,2595,655,9348
50402,3,36,0,479,0,0,0,3,0,7,0,5,3,21,323,375,0,0,3,0,0,4,0,0,0,27,28,75,881,198,50,673,89,499,41,406,69,1744,363,5006
50403,9,36,0,979,16,3,3,10,10,13,0,9,4,28,946,1043,14,0,11,10,4,4,0,4,5,54,78,183,3178,552,109,2016,260,1406,128,826,133,3336,1066,13001
50501,25,113,0,2086,8,4,6,6,11,10,0,7,0,44,976,1078,11,7,10,5,4,7,4,14,6,78,61,200,3258,874,124,2377,302,1657,157,1458,231,6380,1097,17908
