SA3_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
50101,97,26,24,0,144,58,0,4,3,74,48,0,26,0,80,32,6,40,3,90,191,16,90,0,299,139,23,161,4,327,720,69,230,5,1029,519,93,253,17,883,666,197,298,11,1170,706,338,199,10,1253,366,365,141,9,881,442,367,92,10,912,821,858,161,14,1855,532,772,69,0,1367,350,628,36,3,1016,196,371,8,6,581,477,835,34,7,1355,558,1117,192,3,1877,100,51,22,3,176,7016,6135,2085,115,15347
50102,214,21,59,3,299,96,7,25,0,132,75,12,62,0,148,69,5,139,4,218,343,32,232,16,618,252,51,435,8,753,1524,121,448,22,2117,906,186,544,37,1668,952,341,567,28,1891,1025,536,443,39,2047,555,590,291,31,1468,695,678,249,26,1654,1419,1698,398,38,3553,1014,1498,167,22,2704,823,1311,103,13,2248,387,814,37,3,1249,898,1775,78,11,2762,880,1909,417,18,3234,170,88,65,8,333,12296,11703,4762,335,29091
50103,68,9,6,0,91,48,3,8,0,55,28,5,8,0,46,18,5,26,0,48,137,10,50,3,200,88,16,62,0,162,443,31,88,7,572,294,64,90,6,460,291,118,80,9,503,316,132,73,6,531,141,128,46,8,325,193,150,29,5,373,360,330,44,9,747,220,278,13,0,510,173,202,12,0,393,89,108,8,0,203,169,215,10,0,401,254,375,78,4,709,63,13,12,3,97,3401,2199,744,71,6416
50201,286,32,84,5,416,122,5,35,3,168,98,6,65,8,175,81,15,137,9,241,424,30,248,15,711,306,76,537,20,936,2081,135,511,30,2760,1352,209,578,47,2177,1266,358,560,39,2224,1219,487,452,34,2193,577,487,293,17,1372,624,540,250,17,1438,1255,1337,378,42,3019,847,1143,184,13,2191,676,1094,109,10,1894,339,691,43,6,1081,896,1790,116,12,2813,1148,2126,409,16,3697,260,81,69,9,424,13868,10656,5062,349,29933
50301,117,35,58,3,216,60,15,24,7,104,38,8,25,8,77,20,12,25,0,57,110,18,46,9,181,76,21,67,6,177,257,46,59,6,370,267,51,129,19,457,391,79,142,22,629,456,104,134,21,722,263,112,122,24,521,373,166,119,23,681,643,420,228,16,1311,535,411,111,9,1077,496,511,93,14,1113,318,458,34,5,820,2237,5764,322,17,8333,420,903,180,8,1513,61,40,9,0,116,7149,9167,1938,221,18477
50302,188,24,76,22,308,57,4,19,3,77,53,18,31,9,112,33,10,60,0,106,144,26,77,15,258,122,48,130,17,320,460,62,174,16,710,446,93,210,42,796,613,184,266,56,1123,824,250,233,63,1369,567,261,237,36,1095,685,310,222,43,1259,1581,847,372,82,2886,1353,746,128,61,2293,1133,919,142,26,2222,845,732,51,14,1637,3220,4765,313,51,8356,892,784,217,16,1903,84,43,21,7,149,13311,10123,2967,573,26979
50401,169,35,72,9,282,74,8,20,6,104,23,13,49,5,92,39,11,88,9,148,225,31,142,12,414,168,52,215,14,441,895,117,282,22,1314,545,177,339,37,1096,578,321,369,44,1314,706,467,330,51,1554,398,436,263,38,1139,463,493,228,38,1220,1095,1204,368,79,2749,881,1079,181,49,2190,741,1132,129,25,2029,515,774,48,11,1351,1104,2167,104,22,3406,635,895,258,17,1794,92,55,35,8,186,9348,9460,3519,487,22816
50402,70,14,29,0,110,31,0,8,0,36,50,7,32,0,92,20,3,33,0,56,114,7,76,6,202,92,23,105,5,220,502,36,109,9,658,350,44,156,15,568,416,121,168,4,711,428,193,147,29,796,224,177,94,13,502,264,254,125,3,657,553,625,199,6,1385,420,587,89,11,1105,337,586,65,9,998,211,384,30,0,627,479,1166,59,0,1707,375,861,166,7,1400,75,32,25,7,132,5006,5118,1709,135,11967
50403,283,54,125,6,474,87,9,48,4,147,63,28,88,4,182,40,33,156,3,237,246,78,236,12,574,218,109,504,16,840,1171,229,575,32,2009,733,365,722,57,1870,879,712,767,54,2415,986,1092,723,59,2854,648,1165,511,64,2387,744,1260,421,62,2489,1832,3115,734,101,5779,1312,2585,348,44,4285,974,1971,185,25,3155,576,1252,76,17,1921,979,2883,142,34,4037,1043,2565,466,28,4098,183,157,91,10,438,13001,19656,6910,629,40197
50501,320,44,69,10,440,155,12,39,5,215,116,19,48,10,194,87,21,115,8,228,410,46,187,10,659,301,40,304,13,668,1502,125,332,26,1983,1237,173,459,44,1909,1446,366,624,50,2483,1506,550,543,36,2640,898,689,466,35,2084,948,761,402,32,2151,1926,2327,754,60,5066,1603,2538,303,37,4482,1293,2755,266,18,4336,799,2079,97,11,2993,2086,7013,298,22,9413,1078,2724,510,14,4331,200,152,48,9,404,17908,22425,5869,453,46665
