SA3_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
50101,310,8,0,0,3,326,140,8,0,0,0,152,105,10,0,0,0,116,218,12,0,0,0,235,296,21,0,0,0,322,996,50,3,4,0,1053,1449,50,3,3,0,1509,1772,43,0,0,0,1820,711,14,3,0,0,729,527,12,0,0,0,545,321,14,0,0,3,337,378,19,0,0,0,401,7231,269,14,16,5,7536
50102,577,28,3,0,3,609,286,15,5,0,0,306,288,18,7,0,0,305,523,23,3,3,0,551,831,46,3,5,0,878,2786,119,11,6,5,2922,3511,65,8,3,3,3588,3343,47,9,3,5,3407,1164,21,0,0,0,1190,786,18,4,0,0,810,488,18,4,0,0,508,809,30,3,3,4,840,15384,436,63,20,17,15922
50103,185,0,0,0,0,185,116,0,0,0,0,114,61,0,0,0,0,70,170,3,0,0,0,174,229,3,0,0,0,235,610,5,0,4,3,628,449,0,0,6,0,451,490,0,0,0,0,494,180,0,0,0,0,180,160,0,0,0,0,160,97,0,0,0,0,98,161,0,0,0,3,168,2909,19,3,18,13,2956
50201,563,43,13,0,0,621,254,25,5,5,0,291,229,28,6,0,0,266,448,39,7,3,0,492,598,58,14,3,0,679,2264,128,30,0,0,2423,3023,78,18,4,0,3121,3529,59,19,0,0,3609,1267,23,10,0,5,1300,919,16,21,0,0,954,596,11,11,0,0,619,855,31,12,0,0,896,14544,539,165,19,5,15271
50301,407,44,43,0,0,493,70,3,12,0,0,83,47,9,9,0,0,71,74,14,21,0,0,111,88,25,28,0,0,144,258,48,83,0,0,386,214,70,87,0,0,372,537,113,96,0,0,739,389,70,53,0,0,504,846,143,48,0,0,1041,2671,138,56,0,0,2866,463,44,18,0,0,530,6059,720,545,0,3,7326
50302,358,97,168,0,0,626,111,27,54,0,0,195,82,22,65,0,0,168,112,38,132,0,0,281,164,82,211,0,0,459,399,229,708,0,0,1344,449,309,874,5,0,1626,931,458,807,5,0,2192,854,288,340,4,0,1486,1346,284,305,5,0,1945,1698,204,191,3,3,2099,317,109,164,0,0,594,6803,2150,4024,18,12,13010
50401,499,101,17,0,0,618,156,39,14,0,0,206,133,22,21,0,0,176,243,71,40,0,0,356,328,93,57,0,0,472,1057,346,194,0,0,1599,1622,436,127,0,0,2181,2618,366,85,0,0,3073,1278,130,20,0,3,1439,1050,97,11,0,0,1162,541,57,12,0,0,608,567,75,28,0,0,664,10084,1842,620,4,10,12552
50402,327,6,0,0,0,328,114,4,0,0,0,115,106,4,0,0,0,110,189,5,0,0,0,194,281,17,0,0,0,297,804,25,0,0,0,825,1225,21,0,0,0,1243,1845,12,4,0,0,1866,857,0,0,0,0,857,664,0,0,0,0,665,399,0,0,0,0,405,406,3,0,0,0,413,7218,92,5,0,0,7318
50403,890,44,4,0,0,937,311,18,5,0,0,331,265,17,3,0,0,289,491,46,15,0,0,548,777,68,5,0,0,855,3286,260,37,0,4,3588,5445,263,21,0,4,5729,7462,241,15,3,7,7722,3026,58,3,0,4,3091,1826,42,3,0,0,1878,1093,10,0,0,4,1106,1420,44,4,0,6,1473,26286,1116,116,10,21,27549
50501,1184,81,13,0,0,1278,385,31,7,0,0,421,311,16,5,0,0,331,508,44,12,0,0,566,732,45,16,0,0,796,2168,199,79,0,0,2444,3187,319,74,0,0,3581,6184,297,23,0,0,6507,3572,117,18,0,0,3709,3028,71,9,0,0,3109,2031,48,4,0,0,2089,1430,72,11,0,0,1512,24727,1349,270,6,3,26348
