SA3_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
50101,0,0,0,10,0,0,0,0,0,15,0,0,0,20,7,9,0,3,0,42,0,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,3,0,0,7,0,60,51,377,378,496,551,349,119,2385,0,0,0,0,4,3,0,0,0,10,0,0,0,51,17,10,7,0,0,91,3,0,10,100,36,21,36,23,5,236,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,7,3,0,0,23,0,0,0,42,6,12,4,6,3,86,3,7,3,46,22,3,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,45,17,16,26,14,7,134,0,4,0,54,3,3,4,6,3,83,0,0,0,41,9,3,0,0,0,64,0,0,0,42,0,3,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,4,13,3,14,9,0,0,46
50102,0,0,0,5,4,0,0,0,0,12,0,7,13,93,34,19,5,0,0,176,0,0,0,0,0,3,3,0,4,13,0,0,0,5,0,0,0,0,0,10,5,52,123,377,467,823,622,455,155,3080,0,0,0,4,0,0,0,0,0,8,0,0,0,16,7,8,6,6,0,44,0,4,14,38,26,30,61,38,14,222,0,0,0,3,0,0,4,4,0,16,0,3,3,16,0,8,0,0,0,30,3,25,13,181,18,12,14,16,3,299,0,9,4,63,19,7,8,3,0,114,0,0,0,15,0,0,0,0,0,20,0,3,3,10,3,3,0,0,0,23,0,9,21,57,32,29,26,10,3,191,0,0,0,10,9,23,78,79,49,249,0,0,0,23,10,0,5,0,0,41,0,0,5,47,3,0,0,0,0,58,0,0,0,6,0,3,3,4,0,21,3,5,4,65,22,19,15,8,0,137
50103,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,88,113,247,238,155,41,893,0,0,0,0,5,0,0,0,0,5,0,0,0,12,0,0,0,3,0,13,0,0,0,21,11,15,12,10,3,74,0,0,0,0,0,0,0,9,0,7,0,0,0,6,0,0,0,0,0,9,0,0,0,7,5,3,5,5,0,31,0,0,0,6,5,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,10,0,9,0,37,0,0,0,3,0,3,24,12,10,58,0,0,0,5,0,5,0,0,0,13,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,7,0,0,22
50201,0,0,0,8,5,0,4,0,0,17,0,4,3,49,56,31,7,0,0,153,0,0,0,0,0,3,12,6,0,29,0,0,0,5,0,3,3,0,0,11,6,117,364,779,870,1276,1254,1098,309,6074,0,0,6,6,4,3,6,0,0,26,0,0,0,21,5,0,8,0,0,38,0,4,9,34,21,46,71,48,16,242,0,0,0,0,0,4,6,3,0,16,0,0,0,10,3,4,11,4,0,36,0,30,25,163,27,41,26,24,0,332,6,12,10,93,55,22,19,0,0,221,0,8,0,13,6,4,3,0,0,34,0,0,0,0,0,0,0,0,0,4,0,19,15,73,34,26,41,17,5,235,0,0,0,11,11,10,32,31,4,101,0,0,3,15,23,0,9,3,0,52,0,0,4,28,4,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3,14,40,29,28,33,11,5,150
50301,0,7,9,24,3,0,0,0,0,48,0,53,164,346,134,89,49,26,14,885,0,0,0,4,5,6,6,0,6,37,0,5,0,0,6,0,11,6,0,25,17,140,230,406,431,512,361,277,143,2513,0,0,0,7,0,0,0,0,0,11,0,17,13,46,23,16,4,0,0,118,0,12,12,61,37,31,39,33,10,234,0,3,0,4,3,0,4,9,11,37,5,34,52,37,34,25,31,12,5,228,3,19,50,139,85,49,31,29,12,416,11,17,46,83,45,25,25,12,3,262,0,4,10,54,16,15,10,3,3,119,0,0,0,3,4,0,0,0,0,8,5,15,11,139,33,40,34,18,14,303,0,9,11,28,18,14,21,30,15,150,3,21,20,52,34,27,15,3,0,176,0,7,5,29,13,3,4,0,0,59,0,0,0,3,3,10,0,0,0,10,3,24,56,175,150,112,126,55,18,729
50302,0,7,9,59,10,0,0,0,0,95,8,39,259,740,153,126,69,33,13,1448,0,0,0,34,8,17,22,13,13,100,0,6,0,19,0,3,10,10,10,56,11,93,218,900,468,608,410,225,113,3049,0,0,0,10,3,5,0,0,6,25,4,5,21,152,18,11,17,4,3,233,0,3,22,118,45,39,40,16,7,299,0,0,0,16,6,16,22,32,50,144,0,12,55,155,32,21,29,3,5,312,43,92,80,770,62,54,61,44,21,1229,7,18,65,257,73,27,31,13,3,483,3,11,15,161,19,21,11,13,0,261,0,0,5,11,0,0,0,4,0,16,0,13,30,322,52,62,46,44,49,615,0,10,22,138,22,39,129,188,187,731,19,40,30,276,95,30,17,4,0,507,0,18,26,301,44,13,3,0,0,414,0,0,0,12,4,0,3,3,0,22,8,27,109,509,134,122,123,37,17,1078
50401,0,0,0,15,5,4,4,0,0,31,3,17,66,364,147,141,72,17,19,839,0,0,0,25,3,21,35,25,10,118,0,5,5,7,0,6,4,8,0,36,5,22,69,490,288,462,402,296,124,2160,0,0,0,5,4,11,3,0,0,18,0,0,3,52,11,12,5,8,0,93,0,0,6,69,30,26,56,37,11,236,0,3,7,7,3,13,33,31,27,112,3,7,3,103,23,29,16,5,0,189,4,75,74,567,103,137,145,100,36,1243,0,9,11,134,45,26,17,6,0,251,0,9,13,63,5,16,7,0,0,120,0,8,9,46,8,9,3,0,0,79,4,5,16,203,32,32,33,20,3,353,0,0,9,69,25,59,214,189,129,692,3,4,6,91,46,9,11,7,0,181,0,4,3,119,20,6,3,0,0,161,0,0,0,5,5,4,0,5,0,23,3,11,29,236,77,102,123,50,12,652
50402,0,0,0,0,0,0,0,0,0,6,0,6,0,17,17,15,8,6,0,65,0,0,0,0,5,9,13,3,3,35,0,0,0,0,0,0,3,3,0,10,6,44,62,244,320,552,420,284,98,2025,0,0,0,0,0,3,0,3,0,11,0,0,5,14,8,7,9,0,0,42,0,0,0,26,26,14,44,23,4,145,0,0,0,0,3,0,3,3,0,10,0,7,0,8,3,4,3,0,0,18,0,8,6,44,14,28,16,21,10,156,0,0,3,15,6,3,4,5,0,32,0,0,0,6,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,4,18,24,17,25,8,0,105,0,0,0,0,3,16,42,31,14,110,0,0,0,13,13,6,0,3,0,36,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,3,13,6,22,15,8,3,69
50403,0,0,0,12,9,9,0,5,0,43,0,5,26,199,97,80,36,4,6,452,0,0,4,26,28,37,47,28,13,183,0,5,10,14,5,4,3,0,0,50,7,81,234,744,813,1100,697,452,167,4283,0,0,3,13,12,8,6,0,0,43,0,0,5,33,9,8,5,0,0,65,0,3,11,76,36,44,43,35,14,254,0,0,7,7,6,4,3,6,3,33,0,6,14,65,21,20,13,0,0,136,20,145,167,1783,272,236,191,78,26,2927,6,16,23,153,57,41,14,4,3,314,0,9,25,100,22,14,10,0,0,182,4,21,26,158,52,23,15,3,0,296,0,20,7,161,40,32,22,24,4,320,4,3,10,32,22,54,98,70,62,362,4,5,5,48,30,8,7,0,0,102,0,4,5,49,12,4,0,3,0,82,0,0,0,15,11,10,5,0,0,36,3,26,46,173,120,129,104,27,9,633
50501,0,0,0,20,11,3,10,3,0,54,0,26,31,218,88,83,69,7,12,532,0,0,0,6,11,26,19,15,10,79,0,3,6,30,18,37,26,8,6,136,30,477,1010,2115,2121,2390,1772,992,370,11280,0,3,5,6,7,10,5,5,0,28,0,5,12,67,20,14,6,11,4,130,0,11,21,115,86,72,93,59,13,479,0,0,3,9,0,20,20,18,0,70,0,5,7,34,27,42,34,5,3,161,0,19,33,192,82,130,102,74,26,659,4,13,21,114,59,33,32,9,0,289,0,10,19,122,28,22,20,0,3,229,0,0,5,6,11,0,4,0,0,23,7,79,83,502,186,199,153,62,15,1279,6,4,10,70,32,47,113,61,38,381,4,10,9,72,63,28,11,3,3,207,0,0,8,54,15,10,6,0,0,93,0,0,0,3,4,11,9,0,0,27,0,19,31,135,90,117,148,45,13,598
