SA3_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
50101,3790,4642,4821,3284,2565,2484,1750,3455,422,27214
50102,4734,7342,9323,5700,5359,4054,5430,6648,849,49439
50103,2175,1346,1590,1056,982,691,1104,1668,184,10802
50201,4220,5961,8240,5890,4434,4029,4937,4721,759,43190
50301,6687,15059,1674,3481,3430,2386,557,1292,548,35109
50302,9670,25457,5465,6571,6798,3869,1817,3849,834,64338
50401,5328,11773,6038,5117,5841,3273,2598,3586,681,44234
50402,2512,4154,3581,2375,2636,1614,1609,1662,394,20535
50403,7563,11188,12661,9908,10060,6536,7494,7695,1368,74467
50501,11484,21262,12744,9617,11721,6818,3590,5668,1191,84100
50502,13963,30388,13399,12406,13242,8497,5360,8607,1766,107619
50503,10773,17114,18198,13927,13856,9379,8131,11038,1825,104251
50601,4253,7912,7445,5586,5741,3575,4604,4526,809,44453
50602,4754,10761,5668,4794,5097,2867,2946,3450,701,41031
50603,4731,12708,6494,6307,5761,3846,3500,4901,873,49120
50604,4848,9817,9809,7286,7434,4916,6217,6947,1116,58391
50605,3443,5442,5011,3138,4186,2198,2690,2378,491,28979
50606,1698,2030,3236,1922,2206,1217,1878,1558,341,16089
50607,3507,8629,1962,2360,2709,1645,724,1187,355,23087
50701,7008,13798,10342,7091,8121,4754,4126,5327,1029,61612
50702,3285,7733,2166,2345,1927,1253,600,1119,280,20713
50703,1679,3181,3915,2829,2613,1791,2465,2575,340,21377
50704,8107,17619,5519,5135,7017,4239,1798,2998,747,53172
50705,6050,8990,12233,9169,7292,5361,6046,6742,1145,63025
50901,4899,4310,4039,3348,2753,2210,1966,3965,445,27938
50902,5254,2695,3725,2336,2602,1549,2754,3270,457,24641
50903,2583,946,1131,778,822,469,933,1217,154,9034
51001,1922,3073,1690,2229,1653,812,741,1380,370,13873
51002,1046,1551,3304,952,1172,575,2400,1338,302,12640
51003,1473,2009,3807,1295,1537,720,2233,1549,337,14957
51101,1391,908,1142,632,809,554,956,931,180,7499
51102,761,601,672,577,518,348,288,661,106,4545
51103,1662,2618,4028,1703,1960,1115,3425,1730,330,18575
51104,3326,3700,3940,2973,2612,1946,2468,2919,421,24307
59797,9,33,83,9,10,0,31,98,6,277
59999,107,257,272,223,150,77,213,292,33,1614
