SA3_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
50101,44,1733,761,360,1867,0.7,1477,2.5
50102,41,1616,745,300,1962,0.7,1550,2.5
50103,49,1387,655,250,1613,0.7,1236,2.3
50201,45,1733,630,300,1664,0.7,1286,2.4
50301,42,3293,1122,450,3945,0.8,2790,2.6
50302,36,2167,1155,390,2945,0.9,2093,2.1
50401,39,1855,868,340,2236,0.8,1737,2.3
50402,43,1950,806,330,2219,0.7,1838,2.6
50403,35,1842,844,340,2116,0.8,1858,2.8
50501,41,2080,907,400,2529,0.7,2166,2.7
50502,38,1950,904,350,2313,0.8,1784,2.4
50503,35,1898,816,350,2147,0.8,1892,2.8
50601,35,1750,815,305,2061,0.8,1774,2.8
50602,36,1842,948,350,2259,0.8,1758,2.3
50603,36,1820,760,350,2125,0.8,1800,2.7
50604,36,1733,727,330,1930,0.8,1656,2.8
50605,40,1907,835,370,2215,0.7,1866,2.6
50606,34,1971,909,380,2241,0.8,2096,3
50607,39,2200,1009,360,2761,0.8,2004,2.2
50701,36,1950,919,370,2340,0.8,1988,2.6
50702,43,2167,988,379,2694,0.8,1955,2.3
50703,33,1724,812,315,1996,0.8,1716,2.7
50704,42,2200,909,400,2654,0.7,2104,2.6
50705,36,1733,786,330,2077,0.7,1724,2.6
50901,45,1490,709,280,1723,0.7,1323,2.4
50902,47,1425,709,231,1759,0.7,1349,2.3
50903,46,1105,774,200,1858,0.7,1372,2.3
51001,33,2167,864,200,1950,1,1762,2.8
51002,33,1480,1604,180,3164,0.9,2764,2.7
51003,33,2000,1618,220,3426,0.9,3114,2.8
51101,42,1517,817,260,2014,0.7,1538,2.4
51102,39,1733,852,240,1998,0.9,1552,2.4
51103,35,1517,1154,280,2663,0.8,2200,2.5
51104,42,1517,766,250,1908,0.7,1455,2.4
59797,40,1733,2123,0,1375,0.7,2250,1.7
59999,0,0,0,0,0,0,0,0
