SA3_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
50101,..,5150,5150,7465,447,7912,2882,114,2992,3071,51,3118,1224,6,1232,430,5,433,15066,5777,20841
50102,..,10384,10384,13702,871,14575,5595,132,5725,5698,35,5734,2453,13,2465,1083,20,1099,28531,11451,39978
50103,..,2625,2625,3633,163,3804,1011,17,1031,992,5,997,478,0,478,202,5,210,6326,2824,9142
50201,..,11472,11472,15313,802,16118,5536,114,5655,5209,25,5231,2202,11,2217,1042,0,1047,29308,12429,41734
50301,..,6236,6236,7815,557,8372,3428,237,3664,4485,134,4614,2042,26,2074,490,6,493,18258,7196,25459
50302,..,17360,17360,14598,2185,16780,5436,718,6153,4992,217,5207,1443,37,1482,311,15,323,26775,20525,47305
50401,..,10151,10151,10554,1099,11645,5223,291,5513,4591,84,4676,1422,34,1452,623,19,641,22405,11677,34084
50402,..,3372,3372,5317,253,5572,2446,42,2485,2367,8,2382,1061,0,1065,449,0,446,11638,3679,15316
50403,..,10579,10579,14497,1107,15599,9043,204,9243,9206,51,9259,3866,22,3884,2296,9,2301,38902,11969,50874
50501,..,10739,10739,19302,907,20216,9743,194,9934,11497,74,11566,4063,22,4082,1198,17,1215,45800,11953,57751
50502,..,24984,24984,24804,2459,27266,12005,761,12770,11773,230,11998,3904,54,3961,1596,28,1621,54082,28524,82612
50503,..,13590,13590,20191,1207,21394,12931,239,13172,14033,59,14088,5811,16,5833,2928,13,2942,55904,15125,71023
50601,..,6955,6955,9238,715,9950,5604,101,5710,6002,24,6029,2489,6,2496,1409,10,1417,24740,7810,32549
50602,..,10168,10168,9287,1382,10669,4251,509,4755,3443,157,3599,1121,63,1181,549,21,569,18647,12298,30940
50603,..,7950,7950,9222,928,10143,5652,521,6170,6270,291,6556,2491,121,2610,1214,65,1280,24845,9865,34710
50604,..,9334,9334,11413,958,12369,7242,242,7487,7702,95,7798,3471,34,3507,2172,17,2184,31996,10678,42675
50605,..,4623,4623,7062,386,7446,3370,59,3428,3535,15,3552,1554,5,1554,641,6,648,16165,5090,21248
50606,..,1542,1542,3048,172,3218,1791,25,1808,2053,5,2057,1007,5,1006,597,0,597,8492,1739,10232
50607,..,5651,5651,5735,626,6357,2284,237,2523,2176,60,2232,700,19,719,200,9,209,11092,6598,17690
50701,..,9937,9937,12891,1008,13900,7336,267,7604,7533,76,7605,2628,21,2648,1034,5,1040,31427,11318,42742
50702,..,5179,5179,5135,531,5667,2145,190,2331,2036,80,2117,631,11,645,177,6,183,10119,6001,16121
50703,..,3588,3588,4271,437,4706,2721,70,2788,2677,22,2695,1193,10,1200,679,0,681,11540,4123,15666
50704,..,9477,9477,12575,667,13237,6083,245,6334,6941,89,7027,2532,39,2573,795,16,812,28923,10530,39453
50705,..,11283,11283,14792,980,15771,7941,155,8098,8045,30,8077,3527,11,3540,1656,0,1660,35958,12471,48428
50901,..,6822,6822,8308,449,8756,2896,81,2976,2748,17,2765,1258,6,1259,672,7,676,15882,7380,23262
50902,..,5914,5914,7634,416,8049,2406,44,2453,2200,17,2218,1151,5,1154,605,0,608,14002,6395,20393
50903,..,2212,2212,2677,129,2800,788,18,804,772,11,782,435,0,439,165,0,167,4842,2369,7212
51001,..,2610,2610,2634,277,2908,1419,83,1499,1430,29,1454,788,9,793,769,6,780,7035,3008,10043
51002,..,1695,1695,1700,167,1868,996,30,1029,1018,7,1028,525,0,527,367,0,368,4604,1903,6508
51003,..,1738,1738,2088,177,2265,1219,46,1268,1569,7,1582,743,4,750,277,6,287,5904,1984,7888
51101,..,1721,1721,1993,131,2131,698,17,719,712,4,717,334,0,332,150,0,150,3894,1882,5777
51102,..,1024,1024,1051,103,1151,373,32,406,421,14,437,166,12,171,92,4,99,2104,1185,3291
51103,..,3489,3489,3497,327,3829,1813,65,1885,1733,12,1747,831,9,841,488,3,494,8373,3905,12275
51104,..,5632,5632,6786,421,7207,2584,60,2639,2375,6,2377,1090,0,1095,548,0,550,13382,6115,19497
59797,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
