SA3_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
50101,68,91,187,206,222,145,46,0,0,967,67,62,145,234,241,179,72,24,3,1045,1868,1438,4245,6263,6464,5010,1672,216,27,27214
50102,121,221,424,377,420,294,79,11,0,1959,134,174,371,409,367,288,109,33,6,1889,3403,3843,9027,10494,11103,8901,2353,290,26,49439
50103,22,28,68,63,74,68,22,0,0,350,33,34,73,71,76,96,55,28,0,467,602,599,1457,1943,2422,2539,1016,214,16,10802
50201,136,168,390,308,334,269,89,14,4,1706,127,173,355,362,385,296,116,35,7,1859,2941,3715,7544,8585,9639,8344,2152,250,22,43190
50301,84,136,135,138,148,121,73,17,0,852,88,141,208,250,390,238,108,41,8,1482,2434,3692,5340,6210,8152,6104,2545,577,53,35109
50302,61,189,520,394,265,231,95,8,3,1779,69,250,778,598,395,252,104,24,0,2474,2040,5864,19895,15126,10712,7748,2599,333,25,64338
50401,53,179,443,379,332,255,101,9,0,1753,65,172,565,479,370,293,85,24,5,2049,1782,3821,11080,10444,8546,6488,1869,193,12,44234
50402,47,99,192,191,191,154,56,8,0,941,64,96,173,194,251,177,64,18,3,1034,1340,1699,3289,3896,4729,4222,1199,154,6,20535
50403,168,382,912,771,639,448,119,12,0,3444,181,414,899,953,769,507,147,19,8,3889,4309,6801,17213,17520,15008,10753,2582,257,24,74467
50501,180,350,611,691,657,561,198,18,0,3264,192,271,595,701,739,612,194,26,0,3337,5423,7248,13429,18030,19472,15765,4352,359,22,84100
50502,165,400,1183,938,745,549,201,40,4,4222,159,454,1289,1192,913,593,211,65,10,4873,4574,9236,27650,25582,20583,14837,4520,605,40,107619
50503,243,538,1253,1082,966,608,128,20,0,4829,265,562,1139,1256,1045,660,141,31,4,5102,6448,9964,22315,24536,22939,14597,3156,273,22,104251
50601,84,193,471,450,334,202,59,6,0,1791,120,219,650,622,456,282,72,17,7,2444,2317,3799,10371,12042,8338,5989,1443,155,9,44453
50602,44,177,427,344,234,187,71,6,0,1490,41,175,577,442,333,192,64,8,7,1832,1447,4164,12429,9508,6890,5024,1428,127,16,41031
50603,73,216,433,352,326,239,91,23,0,1760,112,323,747,569,483,294,103,22,9,2664,2496,5710,11783,11130,9258,6621,1907,206,13,49120
50604,126,295,570,600,505,351,110,11,0,2565,148,373,821,867,659,465,119,18,4,3471,3184,5796,12233,14594,12076,8195,2145,167,10,58391
50605,86,151,283,273,255,227,75,8,0,1355,60,127,267,293,270,218,72,16,7,1320,1751,2454,5057,6472,6454,5058,1537,163,16,28979
50606,52,94,224,152,138,113,24,0,0,800,60,73,192,201,133,116,29,10,0,826,1056,1346,3784,3768,3217,2309,545,61,3,16089
50607,29,87,192,122,124,91,47,12,0,700,43,90,219,205,160,122,72,17,5,929,1088,2619,5411,4717,4248,3459,1337,200,10,23087
50701,146,289,628,557,482,382,76,4,0,2560,137,289,726,782,628,367,133,14,3,3092,3247,5602,14330,14963,12537,8624,2117,169,12,61612
50702,42,65,151,124,139,100,38,5,0,662,35,61,201,197,181,136,52,14,0,882,927,1639,4223,4387,4346,3806,1209,165,11,20713
50703,40,99,262,207,132,81,18,7,0,847,54,112,305,280,224,134,36,0,0,1139,1119,2011,5458,5621,4142,2473,508,38,4,21377
50704,115,168,329,356,331,291,120,12,0,1719,103,213,401,509,470,386,138,44,8,2267,3346,4925,9172,11356,11684,9182,3115,376,30,53172
50705,160,242,595,485,470,313,71,10,0,2338,179,282,659,658,605,442,98,15,6,2952,4223,5850,13358,13935,13775,9840,1890,143,11,63025
50901,78,111,212,193,178,194,75,9,0,1050,95,85,145,171,217,200,92,31,8,1043,1804,1881,4476,5267,6139,5850,2128,359,38,27938
50902,64,91,170,184,161,159,61,4,0,890,77,75,161,144,207,245,113,37,11,1063,1211,1547,3808,4375,5399,5720,2116,418,54,24641
50903,30,35,49,68,56,61,12,0,0,312,22,19,51,35,60,63,26,21,10,308,364,585,1400,1666,1924,1994,872,211,28,9034
51001,20,44,123,140,110,66,17,0,0,524,38,52,176,162,129,96,31,11,0,691,619,959,3477,3186,2756,2113,679,68,6,13873
51002,29,38,115,100,67,40,7,0,0,395,28,43,108,105,80,63,10,3,0,439,521,903,3598,3335,2344,1651,272,19,0,12640
51003,37,49,127,131,78,33,10,0,0,469,36,74,180,191,138,71,21,0,0,702,705,987,3868,4256,3042,1766,316,18,0,14957
