SA3_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
50101,325,348,226,141,178,14,3,1249,262,346,210,114,165,10,4,1116,334,426,227,133,140,19,5,1277,1522,1791,1171,760,791,79,24,6134,10,19,19,3,5,0,0,59,2461,2930,1855,1155,1284,118,32,9830,8,36,28,14,26,4,0,122,34,62,76,52,41,0,0,264,14,63,69,46,45,3,0,247,218,415,306,243,292,16,0,1490,11,21,9,13,6,0,0,51,280,593,480,363,416,26,4,2174,2737,3525,2339,1514,1701,146,38,11998
50102,716,762,535,344,436,71,29,2898,396,402,239,184,198,23,9,1451,452,475,257,157,213,22,11,1587,3142,3551,2120,1478,1735,174,60,12262,18,27,19,13,4,0,0,71,4721,5223,3161,2171,2577,289,113,18264,65,84,63,55,80,14,4,364,93,162,87,67,83,15,0,508,72,108,65,57,84,10,0,400,719,1031,767,574,567,54,12,3716,20,34,20,18,7,0,0,107,977,1422,1007,770,821,86,18,5100,5696,6647,4164,2944,3404,376,135,23365
50103,77,68,57,33,40,3,0,275,66,60,59,42,46,5,0,277,91,113,74,41,35,8,0,371,667,788,455,306,313,23,10,2560,6,13,3,0,0,0,0,21,904,1045,648,426,433,32,11,3500,0,0,4,9,6,0,0,19,14,33,16,9,14,0,0,86,12,10,8,8,15,0,0,54,105,137,105,92,101,6,0,540,9,4,3,0,0,0,0,21,133,182,139,115,139,9,0,716,1038,1225,788,537,575,48,14,4218
50201,712,866,632,427,614,201,113,3569,430,399,230,165,199,65,21,1493,552,504,265,201,214,53,15,1799,2497,2558,1627,1040,1125,267,104,9217,23,32,25,10,8,0,0,91,4205,4359,2778,1839,2155,589,249,16175,59,134,115,80,136,41,20,583,135,195,133,59,72,22,11,637,98,147,85,71,72,23,7,500,758,1104,710,507,514,99,43,3728,32,29,25,16,7,0,0,106,1083,1615,1060,735,795,180,83,5552,5289,5968,3838,2571,2950,767,334,21725
50301,653,979,667,484,664,411,239,4086,352,509,350,225,300,197,100,2041,368,569,355,260,315,189,90,2150,1273,1611,1192,793,1230,757,314,7179,4,3,0,6,0,0,0,21,2658,3677,2565,1763,2517,1554,745,15480,19,86,88,55,98,71,54,478,20,52,48,45,64,45,14,295,14,50,36,44,63,41,16,272,66,142,147,121,202,112,70,861,0,3,0,3,0,0,0,16,126,338,326,269,428,270,156,1918,2782,4013,2885,2035,2949,1830,906,17394
50302,1558,1418,760,419,458,269,138,5024,558,518,299,195,251,159,54,2035,613,572,287,163,221,98,51,2019,1844,1613,1001,610,736,433,167,6415,17,7,10,8,0,0,0,43,4591,4131,2361,1394,1673,961,420,15528,77,175,145,120,127,71,62,767,73,106,80,63,88,49,17,478,33,79,57,44,56,38,20,323,104,223,164,144,192,81,66,977,16,11,7,0,0,0,0,42,299,595,452,371,465,239,165,2578,4893,4725,2815,1765,2138,1193,583,18109
50401,1437,1300,637,391,540,354,212,4869,514,421,231,169,195,96,36,1669,597,446,223,129,168,64,44,1669,1738,1306,790,509,605,270,113,5323,11,11,5,6,0,0,0,36,4300,3479,1890,1197,1514,779,405,13568,123,197,122,107,132,86,45,802,79,113,73,81,69,27,14,455,59,85,60,47,37,24,12,331,221,346,259,196,244,67,49,1380,10,24,4,5,9,3,0,53,492,769,516,434,486,205,119,3024,4785,4243,2403,1640,2005,987,526,16588
50402,212,272,206,134,206,83,50,1165,207,261,163,118,156,41,17,947,257,241,143,81,115,48,26,905,1134,1177,716,509,605,167,80,4388,5,3,4,0,0,4,0,26,1811,1954,1242,848,1083,337,164,7436,19,20,34,17,38,8,11,152,35,43,42,24,38,10,9,194,22,41,25,30,32,11,4,166,158,249,200,146,180,38,15,984,9,4,8,0,0,0,0,28,242,365,313,215,284,73,39,1523,2055,2317,1550,1062,1371,405,205,8958
50403,3670,3671,1845,1158,1533,764,432,13064,880,803,409,265,307,119,61,2844,880,763,406,279,303,102,54,2784,3533,3226,1853,1220,1436,378,157,11812,55,57,36,19,14,4,0,181,9016,8520,4553,2937,3588,1374,705,30685,273,422,314,214,283,139,84,1731,170,298,157,107,134,33,17,911,99,155,108,88,117,28,24,614,853,1183,688,508,571,145,60,4011,44,51,36,16,12,0,0,158,1436,2109,1306,934,1107,350,178,7426,10452,10626,5855,3874,4696,1721,886,38113
50501,2185,2559,1787,1309,1805,922,548,11120,1092,1213,723,415,588,245,139,4417,1112,1159,657,446,536,216,100,4228,3262,3602,2280,1514,1796,721,304,13481,26,28,14,16,3,0,0,82,7683,8563,5462,3701,4727,2114,1089,33333,98,265,208,194,308,150,100,1321,105,201,158,123,168,47,30,830,101,172,130,103,126,39,32,702,300,601,484,331,449,170,96,2425,30,22,13,12,3,0,0,76,624,1263,988,769,1053,410,255,5363,8308,9822,6452,4467,5773,2522,1340,38695
50502,4479,4049,2021,1213,1654,1013,576,15016,1234,938,516,362,495,238,116,3896,1225,1105,556,360,448,200,118,4004,3750,3354,1985,1258,1710,777,422,13251,50,44,24,7,7,6,0,142,10736,9489,5105,3204,4308,2229,1236,36306,360,570,377,277,384,227,184,2388,156,263,177,151,198,84,44,1073,112,203,153,101,131,63,42,806,445,790,551,375,502,197,106,2962,51,78,23,11,8,0,3,172,1121,1903,1285,914,1220,573,380,7395,11857,11393,6393,4112,5529,2802,1618,43698
50503,4785,5319,3253,2229,3008,1413,870,20876,1594,1430,713,435,541,171,81,4976,1477,1394,687,396,463,141,59,4622,4274,4140,2245,1436,1579,388,233,14300,55,73,30,18,10,3,0,197,12188,12362,6932,4511,5608,2121,1250,44973,422,693,542,407,601,266,192,3119,267,391,251,177,206,54,25,1372,229,342,197,158,185,43,37,1192,918,1354,877,639,672,149,80,4697,66,58,44,28,18,7,0,228,1897,2843,1913,1404,1679,524,335,10600,14088,15204,8845,5917,7292,2647,1582,55574
50601,2788,2938,1408,795,949,458,224,9567,545,549,293,205,249,61,31,1934,496,512,224,164,156,52,20,1624,2287,2102,1074,677,745,176,91,7156,25,27,13,10,0,0,0,82,6149,6132,3020,1854,2103,740,364,20365,162,223,165,123,163,70,46,949,114,157,112,76,80,23,17,589,80,121,82,55,58,12,12,418,589,734,470,369,346,56,24,2595,27,36,23,11,15,6,0,119,972,1272,853,638,660,165,111,4672,7120,7406,3876,2492,2757,913,471,25034
