SA3_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
50101,4,18,0,25,3,0,51,0,15,0,14,3,0,28,0,209,23,45,34,0,312,20,129,37,71,30,4,296,38,35,9,112,26,0,224,56,67,12,142,37,0,318,329,55,7,320,55,0,769,1019,24,0,572,43,4,1665,566,0,0,183,17,4,773,134,0,0,60,5,0,196,29,0,0,10,13,0,58,3,0,0,4,3,0,17,4,0,0,5,0,0,7,6,0,0,7,0,0,13,34,25,3,87,44,6,199,2254,578,103,1647,312,20,4921
50102,0,25,0,15,9,0,51,3,62,14,15,11,0,97,31,423,45,108,22,8,633,70,259,141,165,58,10,695,178,119,54,265,38,4,656,606,136,35,504,79,12,1373,1586,70,24,956,90,9,2733,1857,17,25,611,68,12,2598,373,0,0,91,6,0,480,68,0,0,30,4,0,103,16,0,0,9,0,0,28,5,3,0,5,0,0,11,0,0,0,6,0,0,6,7,0,0,6,0,0,12,77,76,19,113,63,24,373,4889,1189,363,2881,456,69,9850
50103,5,7,3,18,18,0,51,0,8,0,4,0,0,20,17,80,3,49,13,4,160,65,45,48,88,21,4,276,71,18,11,71,16,0,190,113,34,5,111,25,0,281,237,23,8,150,18,0,435,158,3,0,60,9,0,226,19,0,0,7,4,0,30,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,18,3,44,24,6,102,685,238,78,611,154,12,1785
50201,12,22,6,21,4,0,62,0,35,5,9,7,0,57,20,235,72,98,21,9,451,156,209,134,158,40,4,700,182,82,50,237,33,8,590,792,79,48,520,59,7,1504,2029,25,32,882,74,11,3052,1853,15,37,586,72,9,2584,486,3,5,129,18,3,639,115,0,0,36,4,3,149,34,0,0,3,0,0,38,9,0,0,0,3,0,24,3,0,0,0,0,0,5,8,0,0,8,0,0,15,78,52,33,132,22,29,349,5779,766,415,2812,359,76,10209
50301,9,21,4,4,0,0,36,0,25,5,0,0,0,34,6,169,9,34,12,0,235,29,57,28,51,7,5,178,83,12,7,53,3,3,166,279,28,14,104,90,0,515,498,18,9,191,66,3,782,708,13,12,253,30,0,1017,645,8,13,226,19,3,906,460,0,0,130,10,0,599,351,0,0,101,3,5,455,296,0,0,59,5,0,363,222,0,0,43,0,0,271,604,0,0,116,8,0,725,60,18,3,76,30,9,187,4243,375,109,1438,294,21,6478
50302,14,70,3,13,0,3,106,0,114,20,17,0,0,146,36,675,39,112,7,6,881,155,185,160,181,30,0,710,402,42,27,223,20,0,720,1444,69,48,465,81,7,2119,2378,42,32,761,72,8,3288,4566,21,19,1121,89,13,5828,3103,0,6,708,44,4,3861,1446,5,5,311,19,0,1777,690,0,6,149,12,0,853,376,0,0,85,4,0,469,211,4,0,36,4,4,263,254,0,0,60,9,0,331,182,62,21,145,47,35,484,15252,1299,377,4390,436,92,21838
50401,7,32,4,20,3,0,67,0,59,10,6,0,0,87,29,442,36,78,7,9,594,82,184,51,119,17,0,448,224,74,14,195,20,3,529,645,102,29,362,48,0,1186,1499,70,25,741,76,0,2412,2252,23,13,791,77,10,3168,962,6,0,260,20,4,1252,218,0,0,57,4,0,288,59,0,0,17,3,0,73,24,0,0,5,6,0,37,8,0,0,6,0,0,12,12,0,0,8,0,0,18,69,80,23,131,21,21,343,6098,1068,199,2794,299,53,10520
50402,3,12,5,6,0,0,30,0,16,0,3,0,0,23,0,125,8,27,3,0,158,9,53,17,38,8,0,122,17,18,0,38,3,0,76,55,16,0,84,7,0,170,232,20,4,189,6,0,455,334,5,19,190,31,9,574,144,0,3,56,4,0,210,54,0,0,17,0,0,73,17,0,0,0,0,0,18,4,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,4,17,17,3,46,4,9,102,889,287,56,697,73,20,2025
50403,3,36,5,11,0,0,65,4,60,0,6,0,0,73,20,399,25,80,16,0,543,92,224,62,113,7,3,499,88,90,14,118,18,0,322,459,142,36,294,64,0,993,1915,123,33,848,78,11,3005,2591,53,21,969,112,10,3742,821,7,3,220,28,0,1080,160,0,0,46,3,0,216,45,0,0,18,0,0,62,21,3,0,12,0,0,36,8,0,0,3,0,0,3,11,0,0,8,4,0,22,95,80,30,138,43,32,415,6327,1218,232,2867,379,63,11088
50501,4,10,4,16,0,0,29,0,15,3,9,0,0,24,9,120,6,72,3,0,216,41,67,31,104,7,3,244,32,24,12,101,11,0,175,89,43,13,188,17,0,345,693,30,17,509,28,8,1286,2241,15,8,1054,51,14,3378,1355,0,0,427,22,0,1812,637,0,0,152,3,0,799,283,5,0,68,4,0,361,163,0,0,24,3,0,195,65,0,0,15,0,0,83,76,0,0,13,6,0,93,82,30,7,129,15,18,278,5778,359,101,2875,174,51,9328
