SA3_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
50701,0,0,4,29,110,93,801,1103,190,112,113,130,38,20,31,2775,3,0,0,17,157,39,36,39,7,5,3,8,3,0,4,323,0,5,17,41,113,157,347,124,19,29,16,17,9,3,8,914,0,3,14,85,236,321,774,338,44,24,49,54,36,3,15,2006,0,3,3,11,43,41,99,74,22,3,6,6,6,0,3,337,0,0,0,0,12,22,43,77,9,3,9,10,4,0,0,185,0,0,0,7,39,27,109,83,16,21,13,21,14,4,16,371,107,278,1592,1182,1309,846,2019,1246,109,97,86,97,39,22,171,9204,0,4,6,19,69,67,106,61,27,14,6,27,10,4,10,443,0,0,0,37,57,32,47,44,8,9,11,4,6,0,4,269,29,94,597,670,973,1069,1601,990,136,151,133,132,64,20,124,6784,299,1183,3421,2904,4603,4380,10346,7400,961,841,818,970,442,148,742,39473
50702,0,0,0,0,22,18,33,28,0,6,18,6,4,3,9,148,3,0,4,6,43,15,5,4,0,0,0,0,0,0,5,87,5,6,7,10,11,15,28,16,3,3,10,3,0,0,0,127,0,3,25,34,73,69,122,28,3,6,5,7,0,9,4,384,0,0,0,7,3,0,4,4,0,0,0,0,0,0,5,24,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,17,0,0,0,0,12,5,25,12,6,0,4,3,8,3,6,83,60,141,662,612,617,426,808,428,46,46,48,79,52,16,95,4142,0,7,25,27,44,49,54,76,22,14,25,19,13,13,8,383,0,0,0,10,8,8,4,9,0,3,0,0,5,0,4,41,18,39,256,226,209,220,380,249,48,58,52,97,53,12,47,1962,166,678,1415,1282,1567,1206,2087,1301,207,207,267,334,202,77,271,11272
50703,0,0,0,3,59,56,850,1136,178,138,72,126,31,26,19,2700,0,0,0,3,23,5,13,10,0,0,0,0,0,0,0,51,0,0,4,14,24,28,92,38,4,5,0,0,0,0,3,212,0,0,0,19,51,67,361,115,28,7,22,23,14,5,23,736,0,0,4,0,4,7,47,45,0,3,3,5,4,0,10,137,0,0,0,0,3,0,13,12,5,0,3,0,0,0,0,40,0,0,0,0,14,12,62,38,4,0,5,15,4,0,15,179,41,129,1035,539,409,272,545,331,13,18,25,15,5,0,104,3468,0,0,9,8,9,9,34,30,0,3,0,0,5,0,6,119,0,0,0,7,17,16,21,16,0,7,0,11,3,0,9,106,3,20,128,101,205,207,830,359,69,56,53,44,21,8,93,2190,79,256,1338,889,1189,1151,4950,3619,484,416,380,437,179,68,482,15915
50704,0,0,4,30,88,37,132,169,26,24,25,30,20,10,24,616,10,3,0,21,93,24,17,9,5,0,0,0,3,0,3,202,8,22,48,141,363,287,456,199,32,48,29,58,31,11,14,1740,0,8,30,141,248,294,645,199,29,27,36,39,40,12,15,1763,0,5,5,20,138,133,138,60,3,8,6,17,15,0,6,552,0,0,0,0,42,49,43,64,9,11,9,10,7,0,6,257,0,4,0,14,39,30,119,68,13,22,15,17,18,3,10,363,145,387,1590,1326,1518,855,1628,831,87,79,88,69,52,28,138,8825,0,8,32,57,68,70,117,81,16,11,11,21,17,18,23,542,0,0,0,79,81,39,47,29,3,29,20,13,3,3,13,359,69,81,393,440,653,577,999,604,92,111,108,145,105,8,72,4458,424,1206,3033,3387,6423,4893,8190,4641,770,768,753,914,608,147,632,36781
50705,0,0,0,17,125,100,440,437,67,72,41,55,20,12,24,1418,8,0,5,12,39,21,25,20,0,11,0,7,0,0,4,142,0,4,16,38,23,37,74,30,0,6,6,0,0,0,6,244,0,3,26,77,146,239,1164,535,72,58,57,60,33,6,29,2507,0,3,3,0,10,5,20,12,4,3,0,0,3,0,0,67,0,0,0,0,0,3,14,13,0,3,0,6,0,0,4,39,0,0,0,4,34,40,127,127,26,8,18,17,15,6,15,454,153,526,3867,2838,2414,1528,4686,2943,182,153,151,139,68,13,339,19995,4,6,21,33,63,57,112,65,11,18,8,11,8,4,3,432,3,0,0,5,26,24,75,51,12,7,11,11,9,3,8,239,37,69,332,343,382,472,1211,632,103,84,63,71,36,25,79,3937,301,1046,4874,4092,4537,3736,11303,7563,733,624,622,633,316,168,766,41310
50901,0,0,0,12,36,34,307,191,61,45,43,53,29,4,20,830,9,3,9,3,22,6,0,0,3,0,0,0,0,0,0,58,0,3,4,20,11,0,9,3,3,0,4,4,0,0,3,69,0,9,17,34,58,64,287,107,14,20,31,45,6,0,12,698,3,11,4,0,0,7,3,10,0,0,10,0,5,0,0,52,0,0,0,0,0,0,3,4,4,0,0,4,0,0,8,28,0,0,0,3,0,10,93,60,32,8,14,5,9,0,5,241,143,365,1526,998,620,319,423,164,26,14,25,34,4,0,181,4833,0,3,21,46,35,32,47,16,4,0,4,9,6,0,3,225,0,0,0,3,0,8,10,16,0,3,4,9,6,0,17,74,20,40,120,114,143,80,305,140,44,30,35,33,33,75,48,1273,265,768,2016,1533,1415,893,2058,1068,246,172,248,265,135,123,503,11709
50902,0,0,0,9,21,28,132,223,55,25,35,42,25,4,17,616,11,0,0,10,16,0,6,0,0,3,0,0,0,0,3,50,0,4,7,11,10,6,19,0,0,0,0,0,0,0,0,48,0,0,7,17,39,55,196,64,16,7,9,7,0,3,10,433,4,0,0,0,7,3,8,3,0,0,0,0,0,0,19,43,0,0,0,0,0,0,10,6,3,0,17,31,13,0,0,73,0,0,0,0,9,5,23,16,3,0,10,11,7,0,7,84,84,246,1116,709,499,289,587,203,13,15,16,14,7,0,177,3979,4,0,14,28,19,15,19,17,5,4,0,4,0,0,4,121,0,0,0,5,15,9,7,9,0,0,8,0,0,0,36,95,25,46,150,102,101,77,161,92,21,19,14,54,23,89,128,1113,228,529,1547,1246,1167,843,1586,982,181,110,171,240,109,112,701,9739
50903,0,0,0,0,9,4,41,61,9,8,24,39,7,8,5,206,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,7,3,0,0,0,0,0,0,0,0,21,0,0,4,6,3,19,70,24,3,3,9,8,16,10,5,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,6,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0,19,25,80,307,148,89,38,98,43,8,6,6,7,5,0,50,903,0,3,4,5,3,4,3,9,5,0,0,0,0,0,0,34,0,0,0,0,3,0,0,5,4,0,0,0,0,0,0,12,8,5,36,21,21,23,47,37,14,9,7,14,0,19,12,260,65,159,413,280,285,183,439,308,66,36,59,101,32,42,118,2583
51001,0,0,0,0,23,10,69,118,23,8,21,22,16,0,9,319,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,0,4,7,4,10,3,5,0,0,0,0,0,0,0,31,0,0,3,9,12,22,70,30,0,5,4,7,0,0,0,156,0,0,0,0,5,0,19,10,0,0,6,4,0,0,0,45,0,0,0,0,0,0,7,26,0,4,4,0,0,0,0,43,0,0,0,0,7,16,22,24,0,6,7,15,0,0,7,102,4,31,166,112,112,94,203,108,12,9,20,37,14,0,30,945,0,3,7,10,8,10,22,14,4,3,8,8,0,0,0,86,0,0,0,0,3,0,15,13,4,6,4,0,0,3,5,47,0,10,26,43,41,50,142,105,23,42,38,139,62,33,22,790,11,84,268,287,350,341,903,717,114,137,174,359,140,62,137,4087
51002,0,0,0,3,16,23,153,259,59,30,46,48,16,4,15,674,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,3,18,7,13,5,0,0,11,0,0,0,0,62,0,0,0,5,14,23,147,48,0,5,9,22,15,3,10,300,0,0,0,0,0,0,13,7,6,0,9,11,4,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,12,46,46,6,3,8,7,4,0,7,151,0,10,99,91,105,47,168,74,16,11,8,19,13,3,29,705,0,0,0,0,0,10,11,6,0,4,5,4,0,0,0,46,0,0,0,0,4,0,6,16,0,9,3,6,0,0,0,41,0,4,28,18,46,59,271,170,22,39,38,62,32,12,32,838,3,32,178,229,474,420,1555,1173,176,189,224,348,122,57,171,5334
