SA3_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
50101,5021,4259,1939,582,29681
50102,8556,6044,2652,893,50756
50103,2309,2014,872,193,11480
50201,8575,7455,4238,1441,50461
50301,7574,5990,3589,1428,44200
50302,9004,6237,2653,1072,73773
50401,6044,4391,2098,691,45890
50402,3951,2991,1435,431,21862
50403,9198,5124,2206,691,68477
50501,15375,10947,4088,1207,86636
50502,14647,10557,5912,2311,115535
50503,12890,7241,3410,1173,96973
50601,5457,3545,1547,423,44561
50602,4981,3177,1322,525,43564
50603,6779,4776,2519,1062,54336
50604,7137,4788,2252,768,57919
50605,4507,3549,1883,633,29184
50606,1967,1062,411,89,14449
50607,3971,3188,1544,750,26962
50701,7806,4704,1933,727,59925
50702,4302,3134,1375,527,24564
50703,2230,1278,492,145,20817
50704,9968,7979,3917,1642,60988
50705,9423,5397,2844,920,63713
50901,5525,4417,2112,729,29637
50902,4948,4027,1780,466,25579
50903,1534,1160,518,168,8411
51001,2329,1118,296,60,16112
51002,1675,386,84,13,13450
51003,1737,440,92,10,15559
51101,1175,773,487,111,7251
51102,754,469,180,33,4798
51103,2576,1166,368,100,17778
51104,4381,3107,1373,476,25952
59797,48,15,0,0,428
59999,876,505,105,20,5668
